carrier_2,region_2,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length,comment
electricity_central,DEA5,DEA2,capaExcResi,0.98,costExpExc,226,costOprExc,3.39,lossExc,0.0049,98.908,
electricity_central,DEA5,DEB1,capaExcResi,4.87,costExpExc,279.76,costOprExc,4.2,lossExc,0.0061,122.435,
electricity_central,DE25,DE24,capaExcResi,3.4,costExpExc,202.98,costOprExc,3.04,lossExc,0.0044,88.833,
electricity_central,DE25,DE11,capaExcResi,0,costExpExc,210.98,costOprExc,3.16,lossExc,0.0046,92.333,
electricity_central,DE25,DE23,capaExcResi,0.49,costExpExc,221.49,costOprExc,3.32,lossExc,0.0048,96.932,
electricity_central,DE25,DE26,capaExcResi,4.87,costExpExc,217.6,costOprExc,3.26,lossExc,0.0048,95.231,
electricity_central,DE25,DE21,capaExcResi,4.38,costExpExc,355.53,costOprExc,5.33,lossExc,0.0078,155.595,
electricity_central,DE72,DE73,capaExcResi,3.4,costExpExc,137.08,costOprExc,2.06,lossExc,0.003,59.993,
electricity_central,DE72,DEB1,capaExcResi,8.5,costExpExc,238,costOprExc,3.57,lossExc,0.0052,104.157,
electricity_central,DEB1,DEC0_,capaExcResi,0,costExpExc,237.37,costOprExc,3.56,lossExc,0.0052,103.881,
electricity_central,DEB1,DEB3,capaExcResi,0.49,costExpExc,214.56,costOprExc,3.22,lossExc,0.0047,93.9,
electricity_central,DEB1,DEA2,capaExcResi,9.97,costExpExc,185.15,costOprExc,2.78,lossExc,0.0041,81.03,
electricity_central,DEB1,DEB2,capaExcResi,0.49,costExpExc,150,costOprExc,2.25,lossExc,0.0033,65.645,
electricity_central,DE94,DE93,capaExcResi,3.89,costExpExc,347.19,costOprExc,5.21,lossExc,0.0076,151.943,
electricity_central,DE94,DE50,capaExcResi,3.89,costExpExc,161.56,costOprExc,2.42,lossExc,0.0035,70.704,
electricity_central,DE94,DEA3,capaExcResi,10.95,costExpExc,252.72,costOprExc,3.79,lossExc,0.0055,110.599,
electricity_central,DE40,DE30,capaExcResi,14.58,costExpExc,244.86,costOprExc,3.67,lossExc,0.0054,107.158,
electricity_central,DE40,DE93,capaExcResi,0,costExpExc,322.11,costOprExc,4.83,lossExc,0.007,140.967,
electricity_central,DE40,DE80,capaExcResi,7.78,costExpExc,167.9,costOprExc,2.52,lossExc,0.0037,73.481,
electricity_central,DE40,DED2,capaExcResi,10.2,costExpExc,575.15,costOprExc,8.63,lossExc,0.0126,251.705,
electricity_central,DE40,DEE0,capaExcResi,13.6,costExpExc,281.08,costOprExc,4.22,lossExc,0.0062,123.012,
electricity_central,DE40,DED5,capaExcResi,0,costExpExc,446.48,costOprExc,6.7,lossExc,0.0098,195.397,
electricity_central,DE93,DE80,capaExcResi,0,costExpExc,411.84,costOprExc,6.18,lossExc,0.009,180.237,
electricity_central,DE93,DEF0,capaExcResi,11.18,costExpExc,277.99,costOprExc,4.17,lossExc,0.0061,121.657,
electricity_central,DE93,DEE0,capaExcResi,0,costExpExc,358.88,costOprExc,5.38,lossExc,0.0079,157.06,
electricity_central,DE93,DE60,capaExcResi,3.4,costExpExc,138.43,costOprExc,2.08,lossExc,0.003,60.58,
electricity_central,DE93,DE50,capaExcResi,0.49,costExpExc,194.2,costOprExc,2.91,lossExc,0.0042,84.991,
electricity_central,DEA3,DEA1,capaExcResi,8.27,costExpExc,182.03,costOprExc,2.73,lossExc,0.004,79.662,
electricity_central,DE24,DED4,capaExcResi,0,costExpExc,290.22,costOprExc,4.35,lossExc,0.0064,127.01,
electricity_central,DE24,DEG0,capaExcResi,6.8,costExpExc,225.12,costOprExc,3.38,lossExc,0.0049,98.522,
electricity_central,DE24,DE23,capaExcResi,2.19,costExpExc,205.15,costOprExc,3.08,lossExc,0.0045,89.779,
electricity_central,DE24,DE26,capaExcResi,3.4,costExpExc,236.52,costOprExc,3.55,lossExc,0.0052,103.508,
electricity_central,DEB2,DEC0_,capaExcResi,3.89,costExpExc,154.2,costOprExc,2.31,lossExc,0.0034,67.482,
electricity_central,DEB2,DEA2,capaExcResi,3.4,costExpExc,217.28,costOprExc,3.26,lossExc,0.0048,95.09,
electricity_central,DE80,DEF0,capaExcResi,3.4,costExpExc,408.26,costOprExc,6.12,lossExc,0.0089,178.67,
electricity_central,DE14,DE12,capaExcResi,0,costExpExc,264.52,costOprExc,3.97,lossExc,0.0058,115.765,
electricity_central,DE14,DE11,capaExcResi,17.98,costExpExc,225.34,costOprExc,3.38,lossExc,0.0049,98.619,
electricity_central,DE14,DE13,capaExcResi,5.59,costExpExc,220.55,costOprExc,3.31,lossExc,0.0048,96.519,
electricity_central,DE21,DE23,capaExcResi,0,costExpExc,333.5,costOprExc,5,lossExc,0.0073,145.954,
electricity_central,DE21,DE22,capaExcResi,11.67,costExpExc,234.29,costOprExc,3.51,lossExc,0.0051,102.536,
electricity_central,DE13,DE12,capaExcResi,6.08,costExpExc,263.13,costOprExc,3.95,lossExc,0.0058,115.155,
electricity_central,DE12,DE11,capaExcResi,6.08,costExpExc,159,costOprExc,2.39,lossExc,0.0035,69.586,
electricity_central,DE12,DEB3,capaExcResi,3.66,costExpExc,165.06,costOprExc,2.48,lossExc,0.0036,72.235,
electricity_central,DE12,DE26,capaExcResi,1.7,costExpExc,328.94,costOprExc,4.93,lossExc,0.0072,143.957,
electricity_central,DE73,DEG0,capaExcResi,3.4,costExpExc,254.09,costOprExc,3.81,lossExc,0.0056,111.201,
electricity_central,DE73,DE26,capaExcResi,0,costExpExc,275.63,costOprExc,4.13,lossExc,0.006,120.627,
electricity_central,DE11,DE26,capaExcResi,5.1,costExpExc,258.71,costOprExc,3.88,lossExc,0.0057,113.222,
electricity_central,DE22,DE23,capaExcResi,2.19,costExpExc,210.7,costOprExc,3.16,lossExc,0.0046,92.209,
electricity_central,DEC0_,DEB3,capaExcResi,4.38,costExpExc,165.34,costOprExc,2.48,lossExc,0.0036,72.358,
electricity_central,DEE0,DEG0,capaExcResi,3.4,costExpExc,301.21,costOprExc,4.52,lossExc,0.0066,131.822,
electricity_central,DEE0,DED5,capaExcResi,0,costExpExc,226,costOprExc,3.39,lossExc,0.0049,98.904,
electricity_central,DED4,DED2,capaExcResi,6.8,costExpExc,239.58,costOprExc,3.59,lossExc,0.0052,104.85,
electricity_central,DED4,DEG0,capaExcResi,1.47,costExpExc,291.93,costOprExc,4.38,lossExc,0.0064,127.759,
electricity_central,DED4,DED5,capaExcResi,0.49,costExpExc,160.78,costOprExc,2.41,lossExc,0.0035,70.364,
electricity_central,DEA2,DEA1,capaExcResi,22.85,costExpExc,157.24,costOprExc,2.36,lossExc,0.0034,68.812,
electricity_central,DEF0,DE60,capaExcResi,6.8,costExpExc,140.54,costOprExc,2.11,lossExc,0.0031,61.504,
electricity_central,DEG0,DED5,capaExcResi,1.47,costExpExc,287.83,costOprExc,4.32,lossExc,0.0063,125.966,
electricity_central,DEG0,DE26,capaExcResi,0,costExpExc,286.86,costOprExc,4.3,lossExc,0.0063,125.54,
electricity_central,DED5,DED2,capaExcResi,3.4,costExpExc,236.57,costOprExc,3.55,lossExc,0.0052,103.53,
hydrogen,DE21,DE27,capaExcResiDir,43.76,,,,,,,,
hydrogen,DE27,DE21,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE21,DE22,capaExcResiDir,97.85,,,,,,,,
hydrogen,DE22,DE23,capaExcResiDir,62.79,,,,,,,,
hydrogen,DE80,DE93,capaExcResiDir,37.98,,,,,,,,
hydrogen,DE93,DE94,capaExcResiDir,97.65,,,,,,,,
hydrogen,DE40,DEE0,capaExcResiDir,162.04,,,,,,,,
hydrogen,DEE0,DEG0,capaExcResiDir,32.55,,,,,,,,
hydrogen,DED4,DEG0,capaExcResiDir,41.81,,,,,,,,
hydrogen,DEG0,DED4,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE73,DEG0,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEA4,DE94,capaExcResiDir,27.13,,,,,,,,
hydrogen,DEA4,DE92,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE73,DEA4,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE73,DE71,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE94,DE93,capaExcResiDir,36.76,,,,,,,,
hydrogen,DEA4,DEA3,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEA3,DEA5,capaExcResiDir,64.72,,,,,,,,
hydrogen,DEA5,DEA1,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEA1,DEA2,capaExcResiDir,64.11,,,,,,,,
hydrogen,DEA2,DEA1,capaExcResiDir,89.31,,,,,,,,
hydrogen,DE23,DE25,capaExcResiDir,89.51,,,,,,,,
hydrogen,DE25,DE26,capaExcResiDir,89.51,,,,,,,,
hydrogen,DE26,DE71,capaExcResiDir,86.8,,,,,,,,
hydrogen,DE71,DEB3,capaExcResiDir,56.96,,,,,,,,
hydrogen,DEA2,DEB2,capaExcResiDir,74.08,,,,,,,,
hydrogen,DEB2,DEB1,capaExcResiDir,74.08,,,,,,,,
hydrogen,DEB1,DEB3,capaExcResiDir,74.08,,,,,,,,
hydrogen,DEB3,DE12,capaExcResiDir,76.03,,,,,,,,
hydrogen,DE12,DE13,capaExcResiDir,74.08,,,,,,,,
hydrogen,DE71,DE12,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE12,DEB3,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEF0,DE93,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE93,DEF0,capaExcResiDir,1.71,,,,,,,,
hydrogen,DEF0,DE80,capaExcResiDir,1.71,,,,,,,,
hydrogen,DE94,DE50,capaExcResiDir,1.71,,,,,,,,
hydrogen,DE93,DE92,capaExcResiDir,54.25,,,,,,,,
hydrogen,DE92,DE93,capaExcResiDir,28.83,,,,,,,,
hydrogen,DE92,DE91,capaExcResiDir,1.71,,,,,,,,
hydrogen,DE94,DE92,capaExcResiDir,28.25,,,,,,,,
hydrogen,DE92,DEA4,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE92,DE94,capaExcResiDir,0.83,,,,,,,,
hydrogen,DE27,DE25,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE23,DE22,capaExcResiDir,42.99,,,,,,,,
hydrogen,DE22,DE21,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE71,DE26,capaExcResiDir,54.25,,,,,,,,
hydrogen,DE73,DE72,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE71,DE72,capaExcResiDir,27.13,,,,,,,,
hydrogen,DE72,DEB1,capaExcResiDir,35.06,,,,,,,,
hydrogen,DE71,DEB1,capaExcResiDir,85.97,,,,,,,,
hydrogen,DE94,DEA3,capaExcResiDir,86.8,,,,,,,,
hydrogen,DEA3,DEA4,capaExcResiDir,0.83,,,,,,,,
hydrogen,DEA1,DEA3,capaExcResiDir,27.13,,,,,,,,
hydrogen,DEA3,DEA1,capaExcResiDir,1.71,,,,,,,,
hydrogen,DEA2,DEA5,capaExcResiDir,35.89,,,,,,,,
hydrogen,DE25,DE11,capaExcResiDir,0.83,,,,,,,,
hydrogen,DEB3,DEC0_,capaExcResiDir,42.99,,,,,,,,
hydrogen,DE72,DEA5,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEA5,DEA3,capaExcResiDir,67.61,,,,,,,,
hydrogen,DEB1,DEA2,capaExcResiDir,35.06,,,,,,,,
hydrogen,DEB1,DE71,capaExcResiDir,42.99,,,,,,,,
hydrogen,DEA3,DE94,capaExcResiDir,0.83,,,,,,,,
hydrogen,DED2,DE40,capaExcResiDir,102.07,,,,,,,,
hydrogen,DE40,DED2,capaExcResiDir,71.82,,,,,,,,
