value,parameter,region_2,technology_1,technology_2
0.0,capaConvFix,DE92,,rooftop_c
0.0,capaConvFix,DE93,,rooftop_c
0.0,capaConvFix,DE94,,rooftop_c
0.0,capaConvFix,DEA1,,rooftop_c
0.0,capaConvFix,DEA2,,rooftop_c
0.0,capaConvFix,DEA3,,rooftop_c
0.0,capaConvFix,DEA4,,rooftop_c
0.0,capaConvFix,DEA5,,rooftop_c
0.0,capaConvFix,DEB1,,rooftop_c
0.712974505,capaConvFix,DEB2,,rooftop_c
1.609165008,capaConvFix,DEB3,,rooftop_c
1.45503861,capaConvFix,DEC0_,,rooftop_c
0.0,capaConvFix,DED2,,rooftop_c
2.116107525,capaConvFix,DED4,,rooftop_c
0.131688103,capaConvFix,DED5,,rooftop_c
2.675977632,capaConvFix,DEE0,,rooftop_c
0.516141272,capaConvFix,DEF0,,rooftop_c
0.0,capaConvFix,DEG0,,rooftop_c
0.9655923570456814,capaConvFix,DE11,,openspace_a
1.0262274289100892,capaConvFix,DE12,,openspace_a
1.7007181810179863,capaConvFix,DE13,,openspace_a
1.430551643891131,capaConvFix,DE14,,openspace_a
3.171667512856536,capaConvFix,DE21,,openspace_a
3.3714136464234414,capaConvFix,DE22,,openspace_a
1.2064478381733679,capaConvFix,DE23,,openspace_a
1.4050644348970098,capaConvFix,DE24,,openspace_a
0.47372236568491677,capaConvFix,DE25,,openspace_a
1.8628062080111127,capaConvFix,DE26,,openspace_a
1.866064257393475,capaConvFix,DE27,,openspace_a
0.014019718290234429,capaConvFix,DE30,,openspace_a
2.1279852002112376,capaConvFix,DE40,,openspace_a
0.007197699639970799,capaConvFix,DE50,,openspace_a
0.0386404997628927,capaConvFix,DE60,,openspace_a
0.996236558791924,capaConvFix,DE71,,openspace_a
0.6853727774563643,capaConvFix,DE72,,openspace_a
0.8940701823255568,capaConvFix,DE73,,openspace_a
2.903576270795134,capaConvFix,DE80,,openspace_a
0.7953790537739733,capaConvFix,DE91,,openspace_a
0.31924504467515813,capaConvFix,DE92,,openspace_a
1.2186317199549406,capaConvFix,DE93,,openspace_a
9.232937546657434,capaConvFix,DE94,,openspace_a
0.9289077601713854,capaConvFix,DEA1,,openspace_a
0.48513932205510807,capaConvFix,DEA2,,openspace_a
7.32982979298584,capaConvFix,DEA3,,openspace_a
8.03133113492794,capaConvFix,DEA4,,openspace_a
0.5727190365473118,capaConvFix,DEA5,,openspace_a
0.581439423014238,capaConvFix,DEB1,,openspace_a
0.6528030669104545,capaConvFix,DEB2,,openspace_a
0.5088452874883138,capaConvFix,DEB3,,openspace_a
0.3260605809895283,capaConvFix,DEC0_,,openspace_a
1.61695294000995,capaConvFix,DED2,,openspace_a
1.0803986575147824,capaConvFix,DED4,,openspace_a
0.7933868350592639,capaConvFix,DED5,,openspace_a
2.622770522581937,capaConvFix,DEE0,,openspace_a
1.630552640105647,capaConvFix,DEF0,,openspace_a
0.7980635733137268,capaConvFix,DEG0,,openspace_a
15.05,capaConvFix,AT,,openspace_a
14.59,capaConvFix,BE,,openspace_a
