value,parameter,region_2,technology_1,technology_2
3.5929746486324765,capaConvLow,DE94,,rooftop_c
3.7554333797967745,capaConvLow,DEA1,,rooftop_c
1.6837654738939407,capaConvLow,DEA2,,rooftop_c
1.8789616653492187,capaConvLow,DEA3,,rooftop_c
2.3491921614836064,capaConvLow,DEA4,,rooftop_c
0.8241205455321112,capaConvLow,DEA5,,rooftop_c
1.0271430267582384,capaConvLow,DEB1,,rooftop_c
0.1798084549237864,capaConvLow,DEB2,,rooftop_c
0.7190173180616215,capaConvLow,DEB3,,rooftop_c
0.34618675826825435,capaConvLow,DEC0_,,rooftop_c
1.598636159850668,capaConvLow,DED2,,rooftop_c
0.363846781640127,capaConvLow,DED4,,rooftop_c
0.057553301254368076,capaConvLow,DED5,,rooftop_c
2.9587768683351006,capaConvLow,DEE0,,rooftop_c
3.677697437871398,capaConvLow,DEF0,,rooftop_c
2.226519619798142,capaConvLow,DEG0,,rooftop_c
1.468046619924183,capaConvLow,DE11,,openspace_a
0.24917442690972594,capaConvLow,DE12,,openspace_a
0.21028108991822952,capaConvLow,DE13,,openspace_a
1.5749802069322312,capaConvLow,DE14,,openspace_a
0.46681489192303244,capaConvLow,DE21,,openspace_a
0.3725749889209344,capaConvLow,DE22,,openspace_a
1.2069943279159578,capaConvLow,DE23,,openspace_a
1.4059566128385887,capaConvLow,DE24,,openspace_a
1.15690910091643,capaConvLow,DE25,,openspace_a
0.733171384599992,capaConvLow,DE26,,openspace_a
3.215909573956091,capaConvLow,DE27,,openspace_a
0.015011282890042308,capaConvLow,DE30,,openspace_a
5.426824317896847,capaConvLow,DE40,,openspace_a
0.011790759183029263,capaConvLow,DE50,,openspace_a
0.04033597442418114,capaConvLow,DE60,,openspace_a
0.9990073508377896,capaConvLow,DE71,,openspace_a
0.3161166163983368,capaConvLow,DE72,,openspace_a
0.9262486396640852,capaConvLow,DE73,,openspace_a
3.561253690884293,capaConvLow,DE80,,openspace_a
0.7939202893634238,capaConvLow,DE91,,openspace_a
4.700802124515505,capaConvLow,DE92,,openspace_a
3.7081680983770218,capaConvLow,DE93,,openspace_a
4.275949497691999,capaConvLow,DE94,,openspace_a
0.9535200498575331,capaConvLow,DEA1,,openspace_a
1.3305864148930289,capaConvLow,DEA2,,openspace_a
0.38689740675362755,capaConvLow,DEA3,,openspace_a
2.053971139539472,capaConvLow,DEA4,,openspace_a
0.4509509173322014,capaConvLow,DEA5,,openspace_a
1.074646824767991,capaConvLow,DEB1,,openspace_a
0.5585739988306606,capaConvLow,DEB2,,openspace_a
0.5137441558997942,capaConvLow,DEB3,,openspace_a
0.31261900390188674,capaConvLow,DEC0_,,openspace_a
0.7759003879021379,capaConvLow,DED2,,openspace_a
1.0874763599060582,capaConvLow,DED4,,openspace_a
0.7975185819118907,capaConvLow,DED5,,openspace_a
6.216311491898232,capaConvLow,DEE0,,openspace_a
4.069915997816153,capaConvLow,DEF0,,openspace_a
0.9879297364978535,capaConvLow,DEG0,,openspace_a
2.6061720839688736,capaConvLow,DE11,,onshore_a
1.823071732956167,capaConvLow,DE12,,onshore_a
2.221304875880486,capaConvLow,DE13,,onshore_a
1.97389856895658,capaConvLow,DE14,,onshore_a
6.536671662851323,capaConvLow,DE21,,onshore_a
0.03345757165312834,capaConvLow,DE22,,onshore_a
2.084189606965899,capaConvLow,DE23,,onshore_a
2.564223397799398,capaConvLow,DE24,,onshore_a
1.9496280279705767,capaConvLow,DE25,,onshore_a
3.206902279961494,capaConvLow,DE26,,onshore_a
0.158881230083957,capaConvLow,DE27,,onshore_a
0.029863467955858734,capaConvLow,DE30,,onshore_a
5.587513129970936,capaConvLow,DE40,,onshore_a
0.162409,capaConvLow,DE50,,onshore_a
0.13103806698743178,capaConvLow,DE60,,onshore_a
2.0740274879423746,capaConvLow,DE71,,onshore_a
1.580391211778239,capaConvLow,DE72,,onshore_a
3.6976112738210785,capaConvLow,DE73,,onshore_a
11.42057760999273,capaConvLow,DE80,,onshore_a
1.9223916429784043,capaConvLow,DE91,,onshore_a
5.429526485990495,capaConvLow,DE92,,onshore_a
5.8631766829943155,capaConvLow,DE93,,onshore_a
4.487999423997974,capaConvLow,DE94,,onshore_a
0.384526041,capaConvLow,DEA1,,onshore_a
2.7663578759865755,capaConvLow,DEA2,,onshore_a
4.626818455989539,capaConvLow,DEA3,,onshore_a
1.2910142,capaConvLow,DEA4,,onshore_a
0.7459302769389848,capaConvLow,DEA5,,onshore_a
2.1494383079801045,capaConvLow,DEB1,,onshore_a
0.9185564779346093,capaConvLow,DEB2,,onshore_a
2.0258638019686566,capaConvLow,DEB3,,onshore_a
0.7702417639797521,capaConvLow,DEC0_,,onshore_a
3.5992470829817416,capaConvLow,DED2,,onshore_a
2.187893594981223,capaConvLow,DED4,,onshore_a
0.4101554879689828,capaConvLow,DED5,,onshore_a
5.64027603098484,capaConvLow,DEE0,,onshore_a
8.478651296997723,capaConvLow,DEF0,,onshore_a
3.2643648059753914,capaConvLow,DEG0,,onshore_a
2.767323347477088,capaConvLow,DE11,,onshore_b
0.0,capaConvLow,DE12,,onshore_b
0.0,capaConvLow,DE13,,onshore_b
0.0,capaConvLow,DE14,,onshore_b
0.0,capaConvLow,DE21,,onshore_b
5.784660398952809,capaConvLow,DE22,,onshore_b
2.8479538556064403,capaConvLow,DE23,,onshore_b
1.46681832997435,capaConvLow,DE24,,onshore_b
1.6152367728883974,capaConvLow,DE25,,onshore_b
0.0,capaConvLow,DE26,,onshore_b
6.716064297946269,capaConvLow,DE27,,onshore_b
0.028055894976267107,capaConvLow,DE30,,onshore_b
11.026577179986532,capaConvLow,DE40,,onshore_b
0.162409,capaConvLow,DE50,,onshore_b
0.03913183398041615,capaConvLow,DE60,,onshore_b
1.057342333967898,capaConvLow,DE71,,onshore_b
0.784705065973159,capaConvLow,DE72,,onshore_b
1.0266133389799637,capaConvLow,DE73,,onshore_b
3.618541127983842,capaConvLow,DE80,,onshore_b
0.7840464739173069,capaConvLow,DE91,,onshore_b
4.828332869973417,capaConvLow,DE92,,onshore_b
3.6277285119830696,capaConvLow,DE93,,onshore_b
5.7894058659869065,capaConvLow,DE94,,onshore_b
2.0364504919888238,capaConvLow,DEA1,,onshore_b
1.2284531279658633,capaConvLow,DEA2,,onshore_b
0.40617900297907006,capaConvLow,DEA3,,onshore_b
3.8929946979770653,capaConvLow,DEA4,,onshore_b
1.8400799219832893,capaConvLow,DEA5,,onshore_b
1.8042139139096631,capaConvLow,DEB1,,onshore_b
1.8364221339822442,capaConvLow,DEB2,,onshore_b
1.6228806917456342,capaConvLow,DEB3,,onshore_b
0.4569113239323983,capaConvLow,DEC0_,,onshore_b
1.1333594339623476,capaConvLow,DED2,,onshore_b
1.0757962469535187,capaConvLow,DED4,,onshore_b
1.6609487429797583,capaConvLow,DED5,,onshore_b
12.613080139968652,capaConvLow,DEE0,,onshore_b
3.071038999989527,capaConvLow,DEF0,,onshore_b
3.2346858516685346,capaConvLow,DEG0,,onshore_b
0.9962319579160618,capaConvLow,DE11,,openspace_b
1.043852149922787,capaConvLow,DE12,,openspace_b
1.889236896938335,capaConvLow,DE13,,openspace_b
0.7059861309700292,capaConvLow,DE14,,openspace_b
3.1294253189706427,capaConvLow,DE21,,openspace_b
3.3621642279460193,capaConvLow,DE22,,openspace_b
0.9263734029042566,capaConvLow,DE23,,openspace_b
0.3969166146461039,capaConvLow,DE24,,openspace_b
0.44203807890774094,capaConvLow,DE25,,openspace_b
1.8595363748958458,capaConvLow,DE26,,openspace_b
0.0022152798815867707,capaConvLow,DE27,,openspace_b
0.0021437078827333932,capaConvLow,DE30,,openspace_b
2.285431331880896,capaConvLow,DE40,,openspace_b
0.00031535658040399356,capaConvLow,DE50,,openspace_b
0.043502896647693225,capaConvLow,DE60,,openspace_b
0.415989754523823,capaConvLow,DE71,,openspace_b
0.6861129524913339,capaConvLow,DE72,,openspace_b
1.178874625500644,capaConvLow,DE73,,openspace_b
3.7682298568607187,capaConvLow,DE80,,openspace_b
0.3643800403212687,capaConvLow,DE91,,openspace_b
0.3248966551582835,capaConvLow,DE92,,openspace_b
0.9406256046999477,capaConvLow,DE93,,openspace_b
0.8777049478312116,capaConvLow,DE94,,openspace_b
0.2236916077561267,capaConvLow,DEA1,,openspace_b
0.5063893127395291,capaConvLow,DEA2,,openspace_b
2.09037647382905,capaConvLow,DEA3,,openspace_b
0.3472503692164088,capaConvLow,DEA4,,openspace_b
0.5727190364986509,capaConvLow,DEA5,,openspace_b
0.5934160343383473,capaConvLow,DEB1,,openspace_b
0.6530417936518165,capaConvLow,DEB2,,openspace_b
1.1129538549168494,capaConvLow,DEB3,,openspace_b
0.21794080987748457,capaConvLow,DEC0_,,openspace_b
1.440136343909691,capaConvLow,DED2,,openspace_b
0.5017402408900616,capaConvLow,DED4,,openspace_b
0.19460069690221926,capaConvLow,DED5,,openspace_b
2.8333167728098174,capaConvLow,DEE0,,openspace_b
2.00127477087064,capaConvLow,DEF0,,openspace_b
1.9137781758146768,capaConvLow,DEG0,,openspace_b
1.448656981,capaConvLow,DE11,,rooftop_b
0.25903250064769967,capaConvLow,DE12,,rooftop_b
0.6708219751750127,capaConvLow,DE13,,rooftop_b
0.5765233775071656,capaConvLow,DE14,,rooftop_b
0.06530566648031409,capaConvLow,DE21,,rooftop_b
0.8690842299999999,capaConvLow,DE22,,rooftop_b
0.9749341334626851,capaConvLow,DE23,,rooftop_b
1.006642040397935,capaConvLow,DE24,,rooftop_b
0.5732526577622079,capaConvLow,DE25,,rooftop_b
0.895732200656196,capaConvLow,DE26,,rooftop_b
1.544439347,capaConvLow,DE27,,rooftop_b
2.8884098449278457,capaConvLow,DE30,,rooftop_b
3.3146405583290193,capaConvLow,DE40,,rooftop_b
0.19184783539067565,capaConvLow,DE50,,rooftop_b
0.24774436110577344,capaConvLow,DE60,,rooftop_b
1.258151798053129,capaConvLow,DE71,,rooftop_b
1.031664809354243,capaConvLow,DE72,,rooftop_b
0.671345830125414,capaConvLow,DE73,,rooftop_b
1.8507260104634173,capaConvLow,DE80,,rooftop_b
1.4616042919437096,capaConvLow,DE91,,rooftop_b
0.7491804268588348,capaConvLow,DE92,,rooftop_b
0.4648048399285734,capaConvLow,DE93,,rooftop_b
0.4693129215943925,capaConvLow,DE94,,rooftop_b
0.009510305529108256,capaConvLow,DEA1,,rooftop_b
2.011713509678984,capaConvLow,DEA2,,rooftop_b
0.75069151,capaConvLow,DEA3,,rooftop_b
1.9372098493792504,capaConvLow,DEA4,,rooftop_b
3.2854791773692216,capaConvLow,DEA5,,rooftop_b
0.4397508496866197,capaConvLow,DEB1,,rooftop_b
0.682198643111328,capaConvLow,DEB2,,rooftop_b
1.1856399238215554,capaConvLow,DEB3,,rooftop_b
0.5006181412614871,capaConvLow,DEC0_,,rooftop_b
2.100775270144635,capaConvLow,DED2,,rooftop_b
1.6340842058445575,capaConvLow,DED4,,rooftop_b
0.7695740903493876,capaConvLow,DED5,,rooftop_b
2.7759487509221663,capaConvLow,DEE0,,rooftop_b
0.533726106887925,capaConvLow,DEF0,,rooftop_b
0.9966412445940839,capaConvLow,DEG0,,rooftop_b
3.469392381320249,capaConvLow,DE11,,rooftop_a
1.7340244303445034,capaConvLow,DE12,,rooftop_a
2.693303118644866,capaConvLow,DE13,,rooftop_a
1.21144334,capaConvLow,DE14,,rooftop_a
5.11322127610573,capaConvLow,DE21,,rooftop_a
1.4007253648453697,capaConvLow,DE22,,rooftop_a
0.696411084,capaConvLow,DE23,,rooftop_a
1.2401572977390223,capaConvLow,DE24,,rooftop_a
1.268093699,capaConvLow,DE25,,rooftop_a
1.215547745,capaConvLow,DE26,,rooftop_a
0.687592198,capaConvLow,DE27,,rooftop_a
0.21137117722312054,capaConvLow,DE30,,rooftop_a
4.284672702163701,capaConvLow,DE40,,rooftop_a
0.7102537896628022,capaConvLow,DE50,,rooftop_a
1.9135124417893576,capaConvLow,DE60,,rooftop_a
1.0061845610746065,capaConvLow,DE71,,rooftop_a
0.47026187999999997,capaConvLow,DE72,,rooftop_a
0.671345843,capaConvLow,DE73,,rooftop_a
1.189736025,capaConvLow,DE80,,rooftop_a
0.45995315000000003,capaConvLow,DE91,,rooftop_a
2.143556377215125,capaConvLow,DE92,,rooftop_a
1.8064001436480748,capaConvLow,DE93,,rooftop_a
2.654043550905872,capaConvLow,DE94,,rooftop_a
2.896881990103829,capaConvLow,DEA1,,rooftop_a
3.065944632554849,capaConvLow,DEA2,,rooftop_a
2.883869073302938,capaConvLow,DEA3,,rooftop_a
0.8033441659999999,capaConvLow,DEA4,,rooftop_a
1.4075109972051363,capaConvLow,DEA5,,rooftop_a
1.9126969712924915,capaConvLow,DEB1,,rooftop_a
0.39205453222138154,capaConvLow,DEB2,,rooftop_a
1.621973001519981,capaConvLow,DEB3,,rooftop_a
1.446213086560586,capaConvLow,DEC0_,,rooftop_a
0.77957928,capaConvLow,DED2,,rooftop_a
2.2942141377109175,capaConvLow,DED4,,rooftop_a
1.3847974969378434,capaConvLow,DED5,,rooftop_a
1.1577896207386882,capaConvLow,DEE0,,rooftop_a
1.9223642625641486,capaConvLow,DEF0,,rooftop_a
2.4154517178348613,capaConvLow,DEG0,,rooftop_a
0.22218702711610083,capaConvLow,DE11,fermenter,
0.10288600673812437,capaConvLow,DE12,fermenter,
0.11345811965493463,capaConvLow,DE13,fermenter,
0.11275310828544405,capaConvLow,DE14,fermenter,
0.24758154728976525,capaConvLow,DE21,fermenter,
0.2228928922720914,capaConvLow,DE22,fermenter,
0.1570025590098382,capaConvLow,DE23,fermenter,
0.13995241383443932,capaConvLow,DE24,fermenter,
0.13818926348672195,capaConvLow,DE25,fermenter,
0.14445141691860325,capaConvLow,DE26,fermenter,
0.24817409115746078,capaConvLow,DE27,fermenter,
0.031927343272285365,capaConvLow,DE30,fermenter,
0.7258059756738247,capaConvLow,DE40,fermenter,
0.021091021194944916,capaConvLow,DE50,fermenter,
0.02658753428766671,capaConvLow,DE60,fermenter,
0.13369249078028878,capaConvLow,DE71,fermenter,
0.08926017347375742,capaConvLow,DE72,fermenter,
0.16439404612364586,capaConvLow,DE73,fermenter,
1.1254712180563406,capaConvLow,DE80,fermenter,
0.12825433449976248,capaConvLow,DE91,fermenter,
0.44832408581309274,capaConvLow,DE92,fermenter,
0.4593283332804792,capaConvLow,DE93,fermenter,
