carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_equality
electricity,electricity_central,2,1,1,1,no
electricity,electricity_decentral,2,1,1,1,yes
heatResidental,,2,1,1,1,yes
heatIndustry,,2,1,1,1,yes
mobility,,2,1,1,1,yes
gas,hydrogen,2,1,1,1,no
gas,synthGas,2,1,1,1,no
biomass,,1,1,1,1,yes
