timestep_4,technology_2,technology_3,parameter,value
h7454,offshore,offshore_a,avaConv,0.541244879
h7455,offshore,offshore_a,avaConv,0.666826294
h7456,offshore,offshore_a,avaConv,0.717690153
h7457,offshore,offshore_a,avaConv,0.786590211
h7458,offshore,offshore_a,avaConv,0.861386607
h7459,offshore,offshore_a,avaConv,0.878249158
h7460,offshore,offshore_a,avaConv,0.875633091
h7461,offshore,offshore_a,avaConv,0.882784166
h7462,offshore,offshore_a,avaConv,0.893391761
h7463,offshore,offshore_a,avaConv,0.894005863
h7464,offshore,offshore_a,avaConv,0.891821487
h7465,offshore,offshore_a,avaConv,0.888334924
h7466,offshore,offshore_a,avaConv,0.886280995
h7467,offshore,offshore_a,avaConv,0.887855874
h7468,offshore,offshore_a,avaConv,0.888950667
h7469,offshore,offshore_a,avaConv,0.793315226
h7470,offshore,offshore_a,avaConv,0.785357984
h7471,offshore,offshore_a,avaConv,0.764048196
h7472,offshore,offshore_a,avaConv,0.731547118
h7473,offshore,offshore_a,avaConv,0.703706147
h7474,offshore,offshore_a,avaConv,0.680465597
h7475,offshore,offshore_a,avaConv,0.625090774
h7476,offshore,offshore_a,avaConv,0.602453604
h7477,offshore,offshore_a,avaConv,0.552507113
h7478,offshore,offshore_a,avaConv,0.48188725
h7479,offshore,offshore_a,avaConv,0.495123686
h7480,offshore,offshore_a,avaConv,0.48553052
h7481,offshore,offshore_a,avaConv,0.468662377
h7482,offshore,offshore_a,avaConv,0.457225569
h7483,offshore,offshore_a,avaConv,0.412991499
h7484,offshore,offshore_a,avaConv,0.510418125
h7485,offshore,offshore_a,avaConv,0.470232723
h7486,offshore,offshore_a,avaConv,0.442618481
h7487,offshore,offshore_a,avaConv,0.437285194
h7488,offshore,offshore_a,avaConv,0.4388121
h7489,offshore,offshore_a,avaConv,0.41348193
h7490,offshore,offshore_a,avaConv,0.385171581
h7491,offshore,offshore_a,avaConv,0.37425002
h7492,offshore,offshore_a,avaConv,0.369611912
h7493,offshore,offshore_a,avaConv,0.389418809
h7494,offshore,offshore_a,avaConv,0.361924579
h7495,offshore,offshore_a,avaConv,0.31091156
h7496,offshore,offshore_a,avaConv,0.287270452
h7497,offshore,offshore_a,avaConv,0.271826306
h7498,offshore,offshore_a,avaConv,0.23374619
h7499,offshore,offshore_a,avaConv,0.216514577
h7500,offshore,offshore_a,avaConv,0.205069782
h7501,offshore,offshore_a,avaConv,0.185099347
h7502,offshore,offshore_a,avaConv,0.163298021
h7503,offshore,offshore_a,avaConv,0.164207813
h7504,offshore,offshore_a,avaConv,0.186528098
h7505,offshore,offshore_a,avaConv,0.186385455
h7506,offshore,offshore_a,avaConv,0.226771583
h7507,offshore,offshore_a,avaConv,0.272661886
h7508,offshore,offshore_a,avaConv,0.319379945
h7509,offshore,offshore_a,avaConv,0.350140986
h7510,offshore,offshore_a,avaConv,0.374352781
h7511,offshore,offshore_a,avaConv,0.40698598
h7512,offshore,offshore_a,avaConv,0.400540415
h7513,offshore,offshore_a,avaConv,0.421097614
h7514,offshore,offshore_a,avaConv,0.402429522
h7515,offshore,offshore_a,avaConv,0.393543992
h7516,offshore,offshore_a,avaConv,0.37177975
h7517,offshore,offshore_a,avaConv,0.316828404
h7518,offshore,offshore_a,avaConv,0.293293055
h7519,offshore,offshore_a,avaConv,0.32335453
h7520,offshore,offshore_a,avaConv,0.346100519
h7521,offshore,offshore_a,avaConv,0.324014724
h7522,offshore,offshore_a,avaConv,0.314936254
h7523,offshore,offshore_a,avaConv,0.269312275
h7524,offshore,offshore_a,avaConv,0.19694616
h7525,offshore,offshore_a,avaConv,0.163753214
h7526,offshore,offshore_a,avaConv,0.144883078
h7527,offshore,offshore_a,avaConv,0.121478244
h7528,offshore,offshore_a,avaConv,0.133589652
h7529,offshore,offshore_a,avaConv,0.166622426
h7530,offshore,offshore_a,avaConv,0.20602351
h7531,offshore,offshore_a,avaConv,0.228200447
h7532,offshore,offshore_a,avaConv,0.251267557
h7533,offshore,offshore_a,avaConv,0.260850894
h7534,offshore,offshore_a,avaConv,0.247910094
h7535,offshore,offshore_a,avaConv,0.209817872
h7536,offshore,offshore_a,avaConv,0.162994226
h7537,offshore,offshore_a,avaConv,0.136742973
h7538,offshore,offshore_a,avaConv,0.125633436
h7539,offshore,offshore_a,avaConv,0.120604168
h7540,offshore,offshore_a,avaConv,0.140188879
h7541,offshore,offshore_a,avaConv,0.148555693
h7542,offshore,offshore_a,avaConv,0.15978809
h7543,offshore,offshore_a,avaConv,0.190642719
h7544,offshore,offshore_a,avaConv,0.187240544
h7545,offshore,offshore_a,avaConv,0.196389728
h7546,offshore,offshore_a,avaConv,0.229625113
h7547,offshore,offshore_a,avaConv,0.24915608
h7548,offshore,offshore_a,avaConv,0.222984069
h7549,offshore,offshore_a,avaConv,0.23617696
h7550,offshore,offshore_a,avaConv,0.230400452
h7551,offshore,offshore_a,avaConv,0.300512654
h7552,offshore,offshore_a,avaConv,0.346739958
h7553,offshore,offshore_a,avaConv,0.448582524
h7554,offshore,offshore_a,avaConv,0.514584081
h7555,offshore,offshore_a,avaConv,0.556436193
h7556,offshore,offshore_a,avaConv,0.588328797
h7557,offshore,offshore_a,avaConv,0.601303075
h7558,offshore,offshore_a,avaConv,0.581582234
h7559,offshore,offshore_a,avaConv,0.588245729
h7560,offshore,offshore_a,avaConv,0.571939976
h7561,offshore,offshore_a,avaConv,0.565610169
h7562,offshore,offshore_a,avaConv,0.541331266
h7563,offshore,offshore_a,avaConv,0.542712582
h7564,offshore,offshore_a,avaConv,0.462356034
h7565,offshore,offshore_a,avaConv,0.487528844
h7566,offshore,offshore_a,avaConv,0.461425221
h7567,offshore,offshore_a,avaConv,0.440431703
h7568,offshore,offshore_a,avaConv,0.396049385
h7569,offshore,offshore_a,avaConv,0.421777897
h7570,offshore,offshore_a,avaConv,0.354475977
h7571,offshore,offshore_a,avaConv,0.318271762
h7572,offshore,offshore_a,avaConv,0.251019582
h7573,offshore,offshore_a,avaConv,0.203293007
h7574,offshore,offshore_a,avaConv,0.158404743
h7575,offshore,offshore_a,avaConv,0.152029063
h7576,offshore,offshore_a,avaConv,0.12112897
h7577,offshore,offshore_a,avaConv,0.127174987
h7578,offshore,offshore_a,avaConv,0.125976769
h7579,offshore,offshore_a,avaConv,0.152499805
h7580,offshore,offshore_a,avaConv,0.187098157
h7581,offshore,offshore_a,avaConv,0.188377812
h7582,offshore,offshore_a,avaConv,0.187240544
h7583,offshore,offshore_a,avaConv,0.220354268
h7584,offshore,offshore_a,avaConv,0.264129663
h7585,offshore,offshore_a,avaConv,0.289129839
h7586,offshore,offshore_a,avaConv,0.338059925
h7587,offshore,offshore_a,avaConv,0.402330199
h7588,offshore,offshore_a,avaConv,0.447165913
h7589,offshore,offshore_a,avaConv,0.464029281
h7590,offshore,offshore_a,avaConv,0.488617215
h7591,offshore,offshore_a,avaConv,0.518557946
h7592,offshore,offshore_a,avaConv,0.566286932
h7593,offshore,offshore_a,avaConv,0.613088264
h7594,offshore,offshore_a,avaConv,0.66651301
h7595,offshore,offshore_a,avaConv,0.685112345
h7596,offshore,offshore_a,avaConv,0.70690959
h7597,offshore,offshore_a,avaConv,0.707290497
h7598,offshore,offshore_a,avaConv,0.706071254
h7599,offshore,offshore_a,avaConv,0.687738929
h7600,offshore,offshore_a,avaConv,0.699194444
h7601,offshore,offshore_a,avaConv,0.722222457
h7602,offshore,offshore_a,avaConv,0.743199352
h7603,offshore,offshore_a,avaConv,0.757276177
h7604,offshore,offshore_a,avaConv,0.761622362
h7605,offshore,offshore_a,avaConv,0.7668371
h7606,offshore,offshore_a,avaConv,0.757571204
h7607,offshore,offshore_a,avaConv,0.757718697
h7608,offshore,offshore_a,avaConv,0.733944404
h7609,offshore,offshore_a,avaConv,0.694131167
h7610,offshore,offshore_a,avaConv,0.653212608
h7611,offshore,offshore_a,avaConv,0.635224279
h7612,offshore,offshore_a,avaConv,0.635064025
h7613,offshore,offshore_a,avaConv,0.648856574
h7614,offshore,offshore_a,avaConv,0.623151827
h7615,offshore,offshore_a,avaConv,0.581582234
h7616,offshore,offshore_a,avaConv,0.565694785
h7617,offshore,offshore_a,avaConv,0.516175354
h7618,offshore,offshore_a,avaConv,0.488073172
h7619,offshore,offshore_a,avaConv,0.486075901
h7620,offshore,offshore_a,avaConv,0.450844735
h7621,offshore,offshore_a,avaConv,0.376917517
h7622,offshore,offshore_a,avaConv,0.328618514
h7623,offshore,offshore_a,avaConv,0.276466462
h7624,offshore,offshore_a,avaConv,0.25039914
h7625,offshore,offshore_a,avaConv,0.26425073
h7626,offshore,offshore_a,avaConv,0.283534562
h7627,offshore,offshore_a,avaConv,0.316272443
h7628,offshore,offshore_a,avaConv,0.359414878
h7629,offshore,offshore_a,avaConv,0.396049385
h7630,offshore,offshore_a,avaConv,0.409550774
h7631,offshore,offshore_a,avaConv,0.41837129
h7632,offshore,offshore_a,avaConv,0.428649033
h7633,offshore,offshore_a,avaConv,0.453946586
h7634,offshore,offshore_a,avaConv,0.446787793
h7635,offshore,offshore_a,avaConv,0.464772035
h7636,offshore,offshore_a,avaConv,0.531266548
h7637,offshore,offshore_a,avaConv,0.599575336
h7638,offshore,offshore_a,avaConv,0.640980809
h7639,offshore,offshore_a,avaConv,0.668469905
h7640,offshore,offshore_a,avaConv,0.72244872
h7641,offshore,offshore_a,avaConv,0.77444563
h7642,offshore,offshore_a,avaConv,0.804822871
h7643,offshore,offshore_a,avaConv,0.818815153
h7644,offshore,offshore_a,avaConv,0.82520257
h7645,offshore,offshore_a,avaConv,0.825485915
h7646,offshore,offshore_a,avaConv,0.825981658
h7647,offshore,offshore_a,avaConv,0.826477261
h7648,offshore,offshore_a,avaConv,0.823572449
h7649,offshore,offshore_a,avaConv,0.823359712
h7650,offshore,offshore_a,avaConv,0.823997844
h7651,offshore,offshore_a,avaConv,0.824139619
h7652,offshore,offshore_a,avaConv,0.812404207
h7653,offshore,offshore_a,avaConv,0.798719145
h7654,offshore,offshore_a,avaConv,0.767496931
h7655,offshore,offshore_a,avaConv,0.729896839
h7656,offshore,offshore_a,avaConv,0.719731351
h7657,offshore,offshore_a,avaConv,0.701260816
h7658,offshore,offshore_a,avaConv,0.674402403
h7659,offshore,offshore_a,avaConv,0.632015584
h7660,offshore,offshore_a,avaConv,0.62048113
h7661,offshore,offshore_a,avaConv,0.641140365
h7662,offshore,offshore_a,avaConv,0.643212895
h7663,offshore,offshore_a,avaConv,0.690206704
h7664,offshore,offshore_a,avaConv,0.702560397
h7665,offshore,offshore_a,avaConv,0.705537524
h7666,offshore,offshore_a,avaConv,0.757866177
h7667,offshore,offshore_a,avaConv,0.775540109
h7668,offshore,offshore_a,avaConv,0.76984084
h7669,offshore,offshore_a,avaConv,0.693823743
h7670,offshore,offshore_a,avaConv,0.615855317
h7671,offshore,offshore_a,avaConv,0.586084005
h7672,offshore,offshore_a,avaConv,0.566878788
h7673,offshore,offshore_a,avaConv,0.499618483
h7674,offshore,offshore_a,avaConv,0.437476195
h7675,offshore,offshore_a,avaConv,0.357947073
h7676,offshore,offshore_a,avaConv,0.284002811
h7677,offshore,offshore_a,avaConv,0.292601124
h7678,offshore,offshore_a,avaConv,0.296053138
h7679,offshore,offshore_a,avaConv,0.280364299
h7680,offshore,offshore_a,avaConv,0.277413756
h7681,offshore,offshore_a,avaConv,0.302105917
h7682,offshore,offshore_a,avaConv,0.329491983
h7683,offshore,offshore_a,avaConv,0.37064496
h7684,offshore,offshore_a,avaConv,0.412402621
h7685,offshore,offshore_a,avaConv,0.474745286
h7686,offshore,offshore_a,avaConv,0.515291599
h7687,offshore,offshore_a,avaConv,0.553618834
h7688,offshore,offshore_a,avaConv,0.570423839
h7689,offshore,offshore_a,avaConv,0.622100378
h7690,offshore,offshore_a,avaConv,0.660390028
h7691,offshore,offshore_a,avaConv,0.72176983
h7692,offshore,offshore_a,avaConv,0.750771826
h7693,offshore,offshore_a,avaConv,0.734992058
h7694,offshore,offshore_a,avaConv,0.753066145
h7695,offshore,offshore_a,avaConv,0.77444563
h7696,offshore,offshore_a,avaConv,0.797927649
h7697,offshore,offshore_a,avaConv,0.810904896
h7698,offshore,offshore_a,avaConv,0.796487617
h7699,offshore,offshore_a,avaConv,0.766397065
h7700,offshore,offshore_a,avaConv,0.794902166
h7701,offshore,offshore_a,avaConv,0.768083224
h7702,offshore,offshore_a,avaConv,0.768889032
h7703,offshore,offshore_a,avaConv,0.737981495
h7704,offshore,offshore_a,avaConv,0.74980871
h7705,offshore,offshore_a,avaConv,0.757497452
h7706,offshore,offshore_a,avaConv,0.711398167
h7707,offshore,offshore_a,avaConv,0.716554974
h7708,offshore,offshore_a,avaConv,0.699271028
h7709,offshore,offshore_a,avaConv,0.682481015
h7710,offshore,offshore_a,avaConv,0.665180776
h7711,offshore,offshore_a,avaConv,0.654635251
h7712,offshore,offshore_a,avaConv,0.699500755
h7713,offshore,offshore_a,avaConv,0.730272056
h7714,offshore,offshore_a,avaConv,0.74758391
h7715,offshore,offshore_a,avaConv,0.78180117
h7716,offshore,offshore_a,avaConv,0.758677074
h7717,offshore,offshore_a,avaConv,0.741710299
h7718,offshore,offshore_a,avaConv,0.764782582
h7719,offshore,offshore_a,avaConv,0.762063693
h7720,offshore,offshore_a,avaConv,0.76037127
h7721,offshore,offshore_a,avaConv,0.801594211
h7722,offshore,offshore_a,avaConv,0.809475767
h7723,offshore,offshore_a,avaConv,0.803101679
h7724,offshore,offshore_a,avaConv,0.798575264
h7725,offshore,offshore_a,avaConv,0.810119022
h7726,offshore,offshore_a,avaConv,0.813759606
h7727,offshore,offshore_a,avaConv,0.817179053
h7728,offshore,offshore_a,avaConv,0.816609613
h7729,offshore,offshore_a,avaConv,0.813474347
h7730,offshore,offshore_a,avaConv,0.809404279
h7731,offshore,offshore_a,avaConv,0.792665593
h7732,offshore,offshore_a,avaConv,0.737010554
h7733,offshore,offshore_a,avaConv,0.702025412
h7734,offshore,offshore_a,avaConv,0.70080187
h7735,offshore,offshore_a,avaConv,0.699041265
h7736,offshore,offshore_a,avaConv,0.719353557
h7737,offshore,offshore_a,avaConv,0.700495828
h7738,offshore,offshore_a,avaConv,0.758308535
h7739,offshore,offshore_a,avaConv,0.788400661
h7740,offshore,offshore_a,avaConv,0.797135783
h7741,offshore,offshore_a,avaConv,0.808546196
h7742,offshore,offshore_a,avaConv,0.810119022
h7743,offshore,offshore_a,avaConv,0.808331608
h7744,offshore,offshore_a,avaConv,0.80990463
h7745,offshore,offshore_a,avaConv,0.80804545
h7746,offshore,offshore_a,avaConv,0.805754461
h7747,offshore,offshore_a,avaConv,0.803101679
h7748,offshore,offshore_a,avaConv,0.802312219
h7749,offshore,offshore_a,avaConv,0.792448993
h7750,offshore,offshore_a,avaConv,0.792160149
h7751,offshore,offshore_a,avaConv,0.78463272
h7752,offshore,offshore_a,avaConv,0.761328074
h7753,offshore,offshore_a,avaConv,0.781292432
h7754,offshore,offshore_a,avaConv,0.797567756
h7755,offshore,offshore_a,avaConv,0.781365118
h7756,offshore,offshore_a,avaConv,0.756390771
h7757,offshore,offshore_a,avaConv,0.771815904
h7758,offshore,offshore_a,avaConv,0.787242199
h7759,offshore,offshore_a,avaConv,0.785865482
h7760,offshore,offshore_a,avaConv,0.776633863
h7761,offshore,offshore_a,avaConv,0.783326449
h7762,offshore,offshore_a,avaConv,0.780710827
h7763,offshore,offshore_a,avaConv,0.774299644
h7764,offshore,offshore_a,avaConv,0.752030409
h7765,offshore,offshore_a,avaConv,0.768303029
h7766,offshore,offshore_a,avaConv,0.770060409
h7767,offshore,offshore_a,avaConv,0.748622537
h7768,offshore,offshore_a,avaConv,0.768303029
h7769,offshore,offshore_a,avaConv,0.753953386
h7770,offshore,offshore_a,avaConv,0.742306089
h7771,offshore,offshore_a,avaConv,0.739921576
h7772,offshore,offshore_a,avaConv,0.74148682
h7773,offshore,offshore_a,avaConv,0.74958637
h7774,offshore,offshore_a,avaConv,0.765516636
h7775,offshore,offshore_a,avaConv,0.77911036
h7776,offshore,offshore_a,avaConv,0.776050618
h7777,offshore,offshore_a,avaConv,0.763901279
h7778,offshore,offshore_a,avaConv,0.745578923
h7779,offshore,offshore_a,avaConv,0.761475225
h7780,offshore,offshore_a,avaConv,0.773715572
h7781,offshore,offshore_a,avaConv,0.779983533
h7782,offshore,offshore_a,avaConv,0.78818351
h7783,offshore,offshore_a,avaConv,0.783471641
h7784,offshore,offshore_a,avaConv,0.7786736
h7785,offshore,offshore_a,avaConv,0.785865482
h7786,offshore,offshore_a,avaConv,0.799078795
h7787,offshore,offshore_a,avaConv,0.803029925
h7788,offshore,offshore_a,avaConv,0.805037898
h7789,offshore,offshore_a,avaConv,0.790570623
h7790,offshore,offshore_a,avaConv,0.777872575
h7791,offshore,offshore_a,avaConv,0.709269661
h7792,offshore,offshore_a,avaConv,0.688433411
h7793,offshore,offshore_a,avaConv,0.62056214
h7794,offshore,offshore_a,avaConv,0.666434678
h7795,offshore,offshore_a,avaConv,0.740294395
h7796,offshore,offshore_a,avaConv,0.789702975
h7797,offshore,offshore_a,avaConv,0.802742879
h7798,offshore,offshore_a,avaConv,0.803603872
h7799,offshore,offshore_a,avaConv,0.8008759
h7800,offshore,offshore_a,avaConv,0.7690355
h7801,offshore,offshore_a,avaConv,0.683952051
h7802,offshore,offshore_a,avaConv,0.584418585
h7803,offshore,offshore_a,avaConv,0.45432189
h7804,offshore,offshore_a,avaConv,0.304714876
h7805,offshore,offshore_a,avaConv,0.189936302
h7806,offshore,offshore_a,avaConv,0.239103815
h7807,offshore,offshore_a,avaConv,0.298115276
h7808,offshore,offshore_a,avaConv,0.375584883
h7809,offshore,offshore_a,avaConv,0.469863452
h7810,offshore,offshore_a,avaConv,0.496923899
h7811,offshore,offshore_a,avaConv,0.53769739
h7812,offshore,offshore_a,avaConv,0.531615095
h7813,offshore,offshore_a,avaConv,0.511749418
h7814,offshore,offshore_a,avaConv,0.541072085
h7815,offshore,offshore_a,avaConv,0.574546679
h7816,offshore,offshore_a,avaConv,0.611213099
h7817,offshore,offshore_a,avaConv,0.680775844
h7818,offshore,offshore_a,avaConv,0.758898157
h7819,offshore,offshore_a,avaConv,0.783326449
h7820,offshore,offshore_a,avaConv,0.782963414
h7821,offshore,offshore_a,avaConv,0.772254484
h7822,offshore,offshore_a,avaConv,0.766910428
h7823,offshore,offshore_a,avaConv,0.778236725
h7824,offshore,offshore_a,avaConv,0.755874059
h7825,offshore,offshore_a,avaConv,0.746841617
h7826,offshore,offshore_a,avaConv,0.734917249
h7827,offshore,offshore_a,avaConv,0.723127311
h7828,offshore,offshore_a,avaConv,0.716630679
h7829,offshore,offshore_a,avaConv,0.677359456
h7830,offshore,offshore_a,avaConv,0.676426307
h7831,offshore,offshore_a,avaConv,0.696281339
h7832,offshore,offshore_a,avaConv,0.71147413
h7833,offshore,offshore_a,avaConv,0.708813162
h7834,offshore,offshore_a,avaConv,0.725161289
h7835,offshore,offshore_a,avaConv,0.708965344
h7836,offshore,offshore_a,avaConv,0.687507362
h7837,offshore,offshore_a,avaConv,0.681861185
h7838,offshore,offshore_a,avaConv,0.655740747
h7839,offshore,offshore_a,avaConv,0.624767813
h7840,offshore,offshore_a,avaConv,0.643053581
h7841,offshore,offshore_a,avaConv,0.676504092
h7842,offshore,offshore_a,avaConv,0.678058921
h7843,offshore,offshore_a,avaConv,0.710942311
h7844,offshore,offshore_a,avaConv,0.72199616
h7845,offshore,offshore_a,avaConv,0.694361692
h7846,offshore,offshore_a,avaConv,0.678058921
h7847,offshore,offshore_a,avaConv,0.655898603
h7848,offshore,offshore_a,avaConv,0.614472523
h7849,offshore,offshore_a,avaConv,0.541331266
h7850,offshore,offshore_a,avaConv,0.507127258
h7851,offshore,offshore_a,avaConv,0.441002659
h7852,offshore,offshore_a,avaConv,0.382327818
h7853,offshore,offshore_a,avaConv,0.319933358
h7854,offshore,offshore_a,avaConv,0.262553402
h7855,offshore,offshore_a,avaConv,0.229107535
h7856,offshore,offshore_a,avaConv,0.249031614
h7857,offshore,offshore_a,avaConv,0.21331251
h7858,offshore,offshore_a,avaConv,0.181648938
h7859,offshore,offshore_a,avaConv,0.156860989
h7860,offshore,offshore_a,avaConv,0.126319663
h7861,offshore,offshore_a,avaConv,0.153751787
h7862,offshore,offshore_a,avaConv,0.146325351
h7863,offshore,offshore_a,avaConv,0.132754008
h7864,offshore,offshore_a,avaConv,0.158558728
h7865,offshore,offshore_a,avaConv,0.178313101
h7866,offshore,offshore_a,avaConv,0.212105897
h7867,offshore,offshore_a,avaConv,0.256816966
h7868,offshore,offshore_a,avaConv,0.291099293
h7869,offshore,offshore_a,avaConv,0.299942669
h7870,offshore,offshore_a,avaConv,0.317938953
h7871,offshore,offshore_a,avaConv,0.350776947
h7872,offshore,offshore_a,avaConv,0.434032156
h7873,offshore,offshore_a,avaConv,0.468569927
h7874,offshore,offshore_a,avaConv,0.431921124
h7875,offshore,offshore_a,avaConv,0.410338422
h7876,offshore,offshore_a,avaConv,0.379065565
h7877,offshore,offshore_a,avaConv,0.334059969
h7878,offshore,offshore_a,avaConv,0.357737155
h7879,offshore,offshore_a,avaConv,0.398547342
h7880,offshore,offshore_a,avaConv,0.360670756
h7881,offshore,offshore_a,avaConv,0.30855247
h7882,offshore,offshore_a,avaConv,0.282010233
h7883,offshore,offshore_a,avaConv,0.284119816
h7884,offshore,offshore_a,avaConv,0.279421721
h7885,offshore,offshore_a,avaConv,0.278949871
h7886,offshore,offshore_a,avaConv,0.269192284
h7887,offshore,offshore_a,avaConv,0.281775376
h7888,offshore,offshore_a,avaConv,0.286455187
h7889,offshore,offshore_a,avaConv,0.276347943
h7890,offshore,offshore_a,avaConv,0.290057425
h7891,offshore,offshore_a,avaConv,0.31904768
h7892,offshore,offshore_a,avaConv,0.30584593
h7893,offshore,offshore_a,avaConv,0.273257991
h7894,offshore,offshore_a,avaConv,0.237196923
h7895,offshore,offshore_a,avaConv,0.221013097
h7896,offshore,offshore_a,avaConv,0.195135034
h7897,offshore,offshore_a,avaConv,0.181215472
h7898,offshore,offshore_a,avaConv,0.157479345
h7899,offshore,offshore_a,avaConv,0.158250687
h7900,offshore,offshore_a,avaConv,0.161318561
h7901,offshore,offshore_a,avaConv,0.148714399
h7902,offshore,offshore_a,avaConv,0.153907947
h7903,offshore,offshore_a,avaConv,0.145204165
h7904,offshore,offshore_a,avaConv,0.122523244
h7905,offshore,offshore_a,avaConv,0.090563563
h7906,offshore,offshore_a,avaConv,0.074213459
h7907,offshore,offshore_a,avaConv,0.067463393
h7908,offshore,offshore_a,avaConv,0.062543238
h7909,offshore,offshore_a,avaConv,0.072665109
h7910,offshore,offshore_a,avaConv,0.070200006
h7911,offshore,offshore_a,avaConv,0.077481357
h7912,offshore,offshore_a,avaConv,0.100911731
h7913,offshore,offshore_a,avaConv,0.115116403
h7914,offshore,offshore_a,avaConv,0.126319663
h7915,offshore,offshore_a,avaConv,0.136412666
h7916,offshore,offshore_a,avaConv,0.130738269
h7917,offshore,offshore_a,avaConv,0.12528966
h7918,offshore,offshore_a,avaConv,0.130906804
h7919,offshore,offshore_a,avaConv,0.148555693
h7920,offshore,offshore_a,avaConv,0.199579188
h7921,offshore,offshore_a,avaConv,0.277177075
h7922,offshore,offshore_a,avaConv,0.307538832
h7923,offshore,offshore_a,avaConv,0.34021281
h7924,offshore,offshore_a,avaConv,0.365985483
h7925,offshore,offshore_a,avaConv,0.405799662
h7926,offshore,offshore_a,avaConv,0.429805226
h7927,offshore,offshore_a,avaConv,0.453477251
h7928,offshore,offshore_a,avaConv,0.455072061
h7929,offshore,offshore_a,avaConv,0.44829937
h7930,offshore,offshore_a,avaConv,0.46690435
h7931,offshore,offshore_a,avaConv,0.491965875
h7932,offshore,offshore_a,avaConv,0.518910484
h7933,offshore,offshore_a,avaConv,0.549594542
h7934,offshore,offshore_a,avaConv,0.583585038
h7935,offshore,offshore_a,avaConv,0.596112808
h7936,offshore,offshore_a,avaConv,0.605571274
h7937,offshore,offshore_a,avaConv,0.67128311
h7938,offshore,offshore_a,avaConv,0.707747458
h7939,offshore,offshore_a,avaConv,0.739623258
h7940,offshore,offshore_a,avaConv,0.754766259
h7941,offshore,offshore_a,avaConv,0.773131293
h7942,offshore,offshore_a,avaConv,0.787676716
h7943,offshore,offshore_a,avaConv,0.804321036
h7944,offshore,offshore_a,avaConv,0.820449717
h7945,offshore,offshore_a,avaConv,0.826831178
h7946,offshore,offshore_a,avaConv,0.826477261
h7947,offshore,offshore_a,avaConv,0.826972725
h7948,offshore,offshore_a,avaConv,0.8267604
h7949,offshore,offshore_a,avaConv,0.822295642
h7950,offshore,offshore_a,avaConv,0.78644529
h7951,offshore,offshore_a,avaConv,0.736786405
h7952,offshore,offshore_a,avaConv,0.681706186
h7953,offshore,offshore_a,avaConv,0.605407374
h7954,offshore,offshore_a,avaConv,0.545556338
h7955,offshore,offshore_a,avaConv,0.500156579
h7956,offshore,offshore_a,avaConv,0.498272048
h7957,offshore,offshore_a,avaConv,0.452819798
h7958,offshore,offshore_a,avaConv,0.435564421
h7959,offshore,offshore_a,avaConv,0.396249494
h7960,offshore,offshore_a,avaConv,0.404809815
h7961,offshore,offshore_a,avaConv,0.415440922
h7962,offshore,offshore_a,avaConv,0.362550725
h7963,offshore,offshore_a,avaConv,0.358995794
h7964,offshore,offshore_a,avaConv,0.463471848
h7965,offshore,offshore_a,avaConv,0.531092234
h7966,offshore,offshore_a,avaConv,0.519527155
h7967,offshore,offshore_a,avaConv,0.551651226
h7968,offshore,offshore_a,avaConv,0.613169732
h7969,offshore,offshore_a,avaConv,0.65920947
h7970,offshore,offshore_a,avaConv,0.65281717
h7971,offshore,offshore_a,avaConv,0.676581874
h7972,offshore,offshore_a,avaConv,0.690822999
h7973,offshore,offshore_a,avaConv,0.662433979
h7974,offshore,offshore_a,avaConv,0.647348564
h7975,offshore,offshore_a,avaConv,0.632095894
h7976,offshore,offshore_a,avaConv,0.600645164
h7977,offshore,offshore_a,avaConv,0.538823393
h7978,offshore,offshore_a,avaConv,0.478230973
h7979,offshore,offshore_a,avaConv,0.39484773
h7980,offshore,offshore_a,avaConv,0.308439921
h7981,offshore,offshore_a,avaConv,0.232462051
h7982,offshore,offshore_a,avaConv,0.15717031
h7983,offshore,offshore_a,avaConv,0.133422721
h7984,offshore,offshore_a,avaConv,0.111509755
h7985,offshore,offshore_a,avaConv,0.099574429
h7986,offshore,offshore_a,avaConv,0.099957374
h7987,offshore,offshore_a,avaConv,0.110051675
h7988,offshore,offshore_a,avaConv,0.109319217
h7989,offshore,offshore_a,avaConv,0.123564063
h7990,offshore,offshore_a,avaConv,0.142625996
h7991,offshore,offshore_a,avaConv,0.163753214
h7992,offshore,offshore_a,avaConv,0.190360301
h7993,offshore,offshore_a,avaConv,0.219033818
h7994,offshore,offshore_a,avaConv,0.249529304
h7995,offshore,offshore_a,avaConv,0.274686155
h7996,offshore,offshore_a,avaConv,0.301651103
h7997,offshore,offshore_a,avaConv,0.344606327
h7998,offshore,offshore_a,avaConv,0.380698336
h7999,offshore,offshore_a,avaConv,0.411321982
h8000,offshore,offshore_a,avaConv,0.434511262
h8001,offshore,offshore_a,avaConv,0.459747527
h8002,offshore,offshore_a,avaConv,0.488526561
h8003,offshore,offshore_a,avaConv,0.527775136
h8004,offshore,offshore_a,avaConv,0.588910122
h8005,offshore,offshore_a,avaConv,0.616749288
h8006,offshore,offshore_a,avaConv,0.645759397
h8007,offshore,offshore_a,avaConv,0.675259018
h8008,offshore,offshore_a,avaConv,0.701260816
h8009,offshore,offshore_a,avaConv,0.739324883
h8010,offshore,offshore_a,avaConv,0.765590024
h8011,offshore,offshore_a,avaConv,0.791148806
h8012,offshore,offshore_a,avaConv,0.806041002
