timestep_4,technology_2,technology_3,parameter,value
h0128,offshore,offshore_a,avaConv,0.833824132
h0129,offshore,offshore_a,avaConv,0.834106095
h0130,offshore,offshore_a,avaConv,0.832766371
h0131,offshore,offshore_a,avaConv,0.817107883
h0132,offshore,offshore_a,avaConv,0.817819449
h0133,offshore,offshore_a,avaConv,0.811261993
h0134,offshore,offshore_a,avaConv,0.819170623
h0135,offshore,offshore_a,avaConv,0.825910846
h0136,offshore,offshore_a,avaConv,0.826972725
h0137,offshore,offshore_a,avaConv,0.824068733
h0138,offshore,offshore_a,avaConv,0.817250219
h0139,offshore,offshore_a,avaConv,0.826831178
h0140,offshore,offshore_a,avaConv,0.827468049
h0141,offshore,offshore_a,avaConv,0.826618836
h0142,offshore,offshore_a,avaConv,0.821443919
h0143,offshore,offshore_a,avaConv,0.832907442
h0144,offshore,offshore_a,avaConv,0.823643355
h0145,offshore,offshore_a,avaConv,0.820023457
h0146,offshore,offshore_a,avaConv,0.82909456
h0147,offshore,offshore_a,avaConv,0.825769214
h0148,offshore,offshore_a,avaConv,0.836852888
h0149,offshore,offshore_a,avaConv,0.844927853
h0150,offshore,offshore_a,avaConv,0.84071938
h0151,offshore,offshore_a,avaConv,0.84450745
h0152,offshore,offshore_a,avaConv,0.845067965
h0153,offshore,offshore_a,avaConv,0.848007808
h0154,offshore,offshore_a,avaConv,0.846468489
h0155,offshore,offshore_a,avaConv,0.846538487
h0156,offshore,offshore_a,avaConv,0.847028394
h0157,offshore,offshore_a,avaConv,0.846748463
h0158,offshore,offshore_a,avaConv,0.846398489
h0159,offshore,offshore_a,avaConv,0.844086948
h0160,offshore,offshore_a,avaConv,0.840930039
h0161,offshore,offshore_a,avaConv,0.842053133
h0162,offshore,offshore_a,avaConv,0.84198296
h0163,offshore,offshore_a,avaConv,0.839244072
h0164,offshore,offshore_a,avaConv,0.838541116
h0165,offshore,offshore_a,avaConv,0.839314353
h0166,offshore,offshore_a,avaConv,0.839806238
h0167,offshore,offshore_a,avaConv,0.806542334
h0168,offshore,offshore_a,avaConv,0.831637396
h0169,offshore,offshore_a,avaConv,0.766323714
h0170,offshore,offshore_a,avaConv,0.699271028
h0171,offshore,offshore_a,avaConv,0.758382249
h0172,offshore,offshore_a,avaConv,0.731846981
h0173,offshore,offshore_a,avaConv,0.791221065
h0174,offshore,offshore_a,avaConv,0.820094507
h0175,offshore,offshore_a,avaConv,0.79763974
h0176,offshore,offshore_a,avaConv,0.792448993
h0177,offshore,offshore_a,avaConv,0.799941642
h0178,offshore,offshore_a,avaConv,0.810333387
h0179,offshore,offshore_a,avaConv,0.787531889
h0180,offshore,offshore_a,avaConv,0.755800229
h0181,offshore,offshore_a,avaConv,0.657949112
h0182,offshore,offshore_a,avaConv,0.537610729
h0183,offshore,offshore_a,avaConv,0.354475977
h0184,offshore,offshore_a,avaConv,0.172144308
h0185,offshore,offshore_a,avaConv,0.104687595
h0186,offshore,offshore_a,avaConv,0.135585245
h0187,offshore,offshore_a,avaConv,0.224031906
