region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,length
HR,HR,IT,IT,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0204,408.87
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,costExpExc,416.6666667,capaExcUp,30,costOprExc,6.250000001,lossExc,0.0078,156.19
HR,HR,SI,SI,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0104,208.32
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.017,340.77
HU,HU,RO,RO,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.022,439.31
HU,HU,SI,SI,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0188,375.22
HU,HU,SK,SK,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0092,184.75
IE,IE,UK,UK,electricity,electricity_central,costExpExc,500,capaExcUp,30,costOprExc,7.5,lossExc,0.021,419.41
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.0272,544.23
IT,IT,SI,SI,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0249,498.07
LT,LT,LV,LV,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0098,196.15
LT,LT,PL,PL,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0261,521.18
LT,LT,SE,SE,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.034,680.75
LV,LV,SE,SE,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.029,579.74
NL,NL,NO,NO,electricity,electricity_central,costExpExc,1500,capaExcUp,5,costOprExc,22.5,lossExc,0.0446,1487.94
NL,NL,UK,UK,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0372,744.73
NO,NO,SE,SE,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0273,545.56
NO,NO,UK,UK,electricity,electricity_central,costExpExc,1500,capaExcUp,5,costOprExc,22.5,lossExc,0.041,1366.79
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0293,586.94
PL,PL,SE,SE,electricity,electricity_central,costExpExc,1500,capaExcUp,5,costOprExc,22.5,lossExc,0.0298,994.5
PL,PL,SK,SK,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0156,312.97
RO,RO,TR,TR,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.049,980.56
EE,EE,FI,FI,electricity,electricity_central,costExpExc,750,capaExcUp,30,costOprExc,11.25,lossExc,0.0167,333.92
EE,EE,LV,LV,electricity,electricity_central,costExpExc,250,capaExcUp,30,costOprExc,3.75,lossExc,0.0105,209.93
EE,EE,SE,SE,electricity,electricity_central,costExpExc,1500,capaExcUp,30,costOprExc,22.5,lossExc,0.0203,406.12
CH,CH,AT,AT,electricity,electricity_central,,,,,,,,,
CZ,CZ,AT,AT,electricity,electricity_central,,,,,,,,,
DE,,AT,,electricity,electricity_central,,,,,,,,,
HU,HU,AT,AT,electricity,electricity_central,,,,,,,,,
IT,IT,AT,AT,electricity,electricity_central,,,,,,,,,
SI,SI,AT,AT,electricity,electricity_central,,,,,,,,,
SK,SK,AT,AT,electricity,electricity_central,,,,,,,,,
DE,,BE,,electricity,electricity_central,,,,,,,,,
FR,FR,BE,BE,electricity,electricity_central,,,,,,,,,
LU,LU,BE,BE,electricity,electricity_central,,,,,,,,,
NL,NL,BE,BE,electricity,electricity_central,,,,,,,,,
NO,NO,BE,BE,electricity,electricity_central,,,,,,,,,
UK,UK,BE,BE,electricity,electricity_central,,,,,,,,,
GR,GR,BG,BG,electricity,electricity_central,,,,,,,,,
NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,,,,,,,,,
RO,RO,BG,BG,electricity,electricity_central,,,,,,,,,
TR,TR,BG,BG,electricity,electricity_central,,,,,,,,,
DE,,CH,,electricity,electricity_central,,,,,,,,,
FR,FR,CH,CH,electricity,electricity_central,,,,,,,,,
IT,IT,CH,CH,electricity,electricity_central,,,,,,,,,
DE,,CZ,,electricity,electricity_central,,,,,,,,,
PL,PL,CZ,CZ,electricity,electricity_central,,,,,,,,,
SK,SK,CZ,CZ,electricity,electricity_central,,,,,,,,,
DK,,DE,,electricity,electricity_central,,,,,,,,,
FR,,DE,,electricity,electricity_central,,,,,,,,,
LU,,DE,,electricity,electricity_central,,,,,,,,,
NL,,DE,,electricity,electricity_central,,,,,,,,,
NO,,DE,,electricity,electricity_central,,,,,,,,,
PL,,DE,,electricity,electricity_central,,,,,,,,,
SE,,DE,,electricity,electricity_central,,,,,,,,,
UK,,DE,,electricity,electricity_central,,,,,,,,,
NL,NL,DK,DK,electricity,electricity_central,,,,,,,,,
NO,NO,DK,DK,electricity,electricity_central,,,,,,,,,
PL,PL,DK,DK,electricity,electricity_central,,,,,,,,,
SE,SE,DK,DK,electricity,electricity_central,,,,,,,,,
UK,UK,DK,DK,electricity,electricity_central,,,,,,,,,
FR,FR,ES,ES,electricity,electricity_central,,,,,,,,,
IT,IT,ES,ES,electricity,electricity_central,,,,,,,,,
UK,UK,ES,ES,electricity,electricity_central,,,,,,,,,
PT,PT,ES,ES,electricity,electricity_central,,,,,,,,,
NO,NO,FI,FI,electricity,electricity_central,,,,,,,,,
SE,SE,FI,FI,electricity,electricity_central,,,,,,,,,
IT,IT,FR,FR,electricity,electricity_central,,,,,,,,,
LU,LU,FR,FR,electricity,electricity_central,,,,,,,,,
UK,UK,FR,FR,electricity,electricity_central,,,,,,,,,
IT,IT,GR,GR,electricity,electricity_central,,,,,,,,,
NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,electricity_central,,,,,,,,,
TR,TR,GR,GR,electricity,electricity_central,,,,,,,,,
HU,HU,HR,HR,electricity,electricity_central,,,,,,,,,
IT,IT,HR,HR,electricity,electricity_central,,,,,,,,,
NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,electricity_central,,,,,,,,,
SI,SI,HR,HR,electricity,electricity_central,,,,,,,,,
NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,electricity_central,,,,,,,,,
RO,RO,HU,HU,electricity,electricity_central,,,,,,,,,
SI,SI,HU,HU,electricity,electricity_central,,,,,,,,,
SK,SK,HU,HU,electricity,electricity_central,,,,,,,,,
UK,UK,IE,IE,electricity,electricity_central,,,,,,,,,
NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,electricity_central,,,,,,,,,
SI,SI,IT,IT,electricity,electricity_central,,,,,,,,,
LV,LV,LT,LT,electricity,electricity_central,,,,,,,,,
PL,PL,LT,LT,electricity,electricity_central,,,,,,,,,
SE,SE,LT,LT,electricity,electricity_central,,,,,,,,,
SE,SE,LV,LV,electricity,electricity_central,,,,,,,,,
NO,NO,NL,NL,electricity,electricity_central,,,,,,,,,
UK,UK,NL,NL,electricity,electricity_central,,,,,,,,,
SE,SE,NO,NO,electricity,electricity_central,,,,,,,,,
UK,UK,NO,NO,electricity,electricity_central,,,,,,,,,
RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,,,,,,,,,
SE,SE,PL,PL,electricity,electricity_central,,,,,,,,,
SK,SK,PL,PL,electricity,electricity_central,,,,,,,,,
TR,TR,RO,RO,electricity,electricity_central,,,,,,,,,
FI,FI,EE,EE,electricity,electricity_central,,,,,,,,,
LV,LV,EE,EE,electricity,electricity_central,,,,,,,,,
SE,SE,EE,EE,electricity,electricity_central,,,,,,,,,
