timestep_1,region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2,comment
all,BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,4.285714286,expExcFix,0,
all,CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,28.32857143,expExcFix,0,
all,CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,0.842857143,expExcFix,0,
all,HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,41.42857143,expExcFix,0,
all,HU,HU,HR,HR,electricity,electricity_central,capaExcResiDir,4.071428571,expExcFix,0,
all,HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,42,expExcFix,0,
all,SK,SK,PL,PL,electricity,electricity_central,capaExcResiDir,24.44285714,expExcFix,0,
all,HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,15.12857143,expExcFix,0,
all,SI,SI,IT,IT,electricity,electricity_central,capaExcResiDir,0.585714286,expExcFix,0,
all,BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,13.05714286,expExcFix,0,
all,BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,4.414285714,expExcFix,0,
all,TR,TR,GR,GR,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,FR,FR,ES,ES,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,37.17142857,expExcFix,0,
all,FR,FR,CH,CH,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,PT,PT,ES,ES,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,IT,IT,CH,CH,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.757142857,expExcFix,0,
all,NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,NO,NO,DK,DK,electricity,electricity_central,capaExcResiDir,2.714285714,expExcFix,0,
all,FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,28.24285714,expExcFix,0,
all,SE,SE,DK,DK,electricity,electricity_central,capaExcResiDir,10.97142857,expExcFix,0,
all,CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,2.228571429,expExcFix,0,
all,HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,2.728571429,expExcFix,0,
all,SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,0.285714286,expExcFix,0,
all,CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,37.28571429,expExcFix,0,
all,HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,16.51428571,expExcFix,0,
all,BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,28.51428571,expExcFix,0,
all,RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,12.84285714,expExcFix,0,
all,GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,28.55714286,expExcFix,0,
all,LV,LV,EE,EE,electricity,electricity_central,capaExcResiDir,13.85714286,expExcFix,0,
all,FI,FI,EE,EE,electricity,electricity_central,capaExcResiDir,11.17142857,expExcFix,0,
all,LV,LV,LT,LT,electricity,electricity_central,capaExcResiDir,14.64285714,expExcFix,0,
all,BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,8.4,expExcFix,0,
all,UK,UK,NL,NL,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,NO,NO,NL,NL,electricity,electricity_central,capaExcResiDir,2,expExcFix,0,
all,FR,FR,BE,BE,electricity,electricity_central,capaExcResiDir,7.428571429,expExcFix,0,
all,SK,SK,CZ,CZ,electricity,electricity_central,capaExcResiDir,26.9,expExcFix,0,
all,PL,PL,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.842857143,expExcFix,0,
all,SK,SK,HU,HU,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,3.5,expExcFix,0,
all,RO,RO,HU,HU,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,24.72857143,expExcFix,0,
all,SI,SI,HR,HR,electricity,electricity_central,capaExcResiDir,4.628571429,expExcFix,0,
all,IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,0.514285714,expExcFix,0,
all,RO,RO,BG,BG,electricity,electricity_central,capaExcResiDir,14.34285714,expExcFix,0,
all,TR,TR,BG,BG,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,GR,GR,BG,BG,electricity,electricity_central,capaExcResiDir,4.842857143,expExcFix,0,
all,GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,8.742857143,expExcFix,0,
all,UK,UK,FR,FR,electricity,electricity_central,capaExcResiDir,42.85714286,expExcFix,0,
all,ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,42.37142857,expExcFix,0,
all,IT,IT,FR,FR,electricity,electricity_central,capaExcResiDir,38,expExcFix,0,
all,CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,36.85714286,expExcFix,0,
all,UK,UK,IE,IE,electricity,electricity_central,capaExcResiDir,12.25714286,expExcFix,0,
all,IT,IT,GR,GR,electricity,electricity_central,capaExcResiDir,1.428571429,expExcFix,0,
all,ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,15.71428571,expExcFix,0,
all,CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,35.17142857,expExcFix,0,
all,SE,SE,PL,PL,electricity,electricity_central,capaExcResiDir,0.971428571,expExcFix,0,
all,SE,SE,NO,NO,electricity,electricity_central,capaExcResiDir,37.97142857,expExcFix,0,
all,DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,2.857142857,expExcFix,0,
all,SE,SE,FI,FI,electricity,electricity_central,capaExcResiDir,13.14285714,expExcFix,0,
all,DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,3.985714286,expExcFix,0,
all,EE,EE,LV,LV,gas,,capaExcResiDir,0.085714286,expExcFix,0,
all,LV,LV,EE,EE,gas,,capaExcResiDir,0.1,expExcFix,0,
all,LV,LV,LT,LT,gas,,capaExcResi,0.185714286,expExcFix,0,
all,BE,BE,LU,LU,gas,,capaExcResi,0.071428571,expExcFix,0,
all,HU,HU,NONEU_Balkan,NONEU_Balkan,gas,,capaExcResi,3.014285714,expExcFix,0,
all,HU,HU,HR,HR,gas,,capaExcResiDir,0.057142857,expExcFix,0,
all,SK,SK,CZ,CZ,gas,,capaExcResi,1.942857143,expExcFix,0,
all,HR,HR,HU,HU,gas,,capaExcResiDir,0.771428571,expExcFix,0,
all,SI,SI,IT,IT,gas,,capaExcResi,1.814285714,expExcFix,0,
all,BG,BG,RO,RO,gas,,capaExcResi,1.214285714,expExcFix,0,
all,FR,FR,CH,CH,gas,,capaExcResi,0.014285714,expExcFix,0,
all,IE,IE,UK,UK,gas,,capaExcResiDir,7.557142857,expExcFix,0,
all,UK,UK,BE,BE,gas,,capaExcResi,3.685714286,expExcFix,0,
all,UK,UK,IE,IE,gas,,capaExcResiDir,0.614285714,expExcFix,0,
all,PT,PT,ES,ES,gas,,capaExcResi,4.214285714,expExcFix,0,
all,ES,ES,FR,FR,gas,,capaExcResi,19.11428571,expExcFix,0,
all,NO,NO,BE,BE,gas,,capaExcResi,0.014285714,expExcFix,0,
all,DK,DK,NL,NL,gas,,capaExcResi,0.671428571,expExcFix,0,
all,DK,DK,SE,SE,gas,,capaExcResi,0.528571429,expExcFix,0,
all,SK,SK,AT,AT,electricity,electricity_central,capaExcResiDir,11.62857143,expExcFix,0,
all,IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,34.68571429,expExcFix,0,
all,SE,SE,EE,EE,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,PL,PL,LT,LT,electricity,electricity_central,capaExcResiDir,10.07142857,expExcFix,0,
all,SE,SE,LT,LT,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,SE,SE,LV,LV,electricity,electricity_central,capaExcResiDir,0.014285714,expExcFix,0,
all,DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,2.028571429,expExcFix,0,
all,LU,LU,BE,BE,electricity,electricity_central,capaExcResiDir,10.77142857,expExcFix,0,
all,UK,UK,BE,BE,electricity,electricity_central,capaExcResiDir,31.72857143,expExcFix,0,
all,NO,NO,BE,BE,electricity,electricity_central,capaExcResiDir,11.48571429,expExcFix,0,
all,SI,SI,HU,HU,electricity,electricity_central,capaExcResiDir,17.28571429,expExcFix,0,
all,IT,IT,HR,HR,electricity,electricity_central,capaExcResiDir,9.828571429,expExcFix,0,
all,TR,TR,RO,RO,electricity,electricity_central,capaExcResiDir,32.1,expExcFix,0,
all,LU,LU,FR,FR,electricity,electricity_central,capaExcResiDir,33.15714286,expExcFix,0,
all,ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,7.142857143,expExcFix,0,
all,NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,11.78571429,expExcFix,0,
all,DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,1.942857143,expExcFix,0,
all,IT,IT,ES,ES,electricity,electricity_central,capaExcResiDir,7.142857143,expExcFix,0,
all,DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0.028571429,expExcFix,0,
all,FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,3.328571429,expExcFix,0,
