technology_1,technology_2,region_2,parameter,value
X_SMR_CCS,,LT,capaConvResi,4.31E-07
X_SMR_CCS,,LV,capaConvResi,4.17E-07
X_SMR_CCS,,NL,capaConvResi,3.62E-07
X_SMR_CCS,,BE,capaConvResi,4.41E-07
X_SMR_CCS,,CZ,capaConvResi,3.98E-07
X_SMR_CCS,,HU,capaConvResi,3.98E-07
X_SMR_CCS,,SK,capaConvResi,4.04E-07
X_SMR_CCS,,HR,capaConvResi,4.20E-07
X_SMR_CCS,,SI,capaConvResi,4.16E-07
X_SMR_CCS,,BG,capaConvResi,4.19E-07
X_SMR_CCS,,RO,capaConvResi,3.79E-07
X_SMR_CCS,,TR,capaConvResi,4.26E-07
X_SMR_CCS,,FR,capaConvResi,3.81E-07
X_SMR_CCS,,LU,capaConvResi,4.44E-07
X_SMR_CCS,,IE,capaConvResi,3.47E-07
X_SMR_CCS,,UK,capaConvResi,3.45E-07
X_SMR_CCS,,GR,capaConvResi,3.55E-07
X_SMR_CCS,,PT,capaConvResi,4.03E-07
X_SMR_CCS,,ES,capaConvResi,4.36E-07
X_SMR_CCS,,IT,capaConvResi,3.83E-07
X_SMR_CCS,,PL,capaConvResi,4.01E-07
X_SMR_CCS,,NO,capaConvResi,3.40E-07
X_SMR_CCS,,FI,capaConvResi,2.81E-07
X_SMR_CCS,,SE,capaConvResi,4.12E-07
X_SMR_CCS,,DK,capaConvResi,3.79E-07
X_SMR_CCS,,CH,capaConvResi,3.52E-07
P_Biomass,,AT,capaConvResi,0.944158638
P_Biomass,,NONEU_Balkan,capaConvResi,0.040500102
P_Biomass,,LT,capaConvResi,0.177668887
P_Biomass,,LV,capaConvResi,0.307336551
P_Biomass,,BE,capaConvResi,1.751126683
P_Biomass,,CZ,capaConvResi,1.270197188
P_Biomass,,HU,capaConvResi,0.700726852
P_Biomass,,SK,capaConvResi,0.475395673
P_Biomass,,HR,capaConvResi,0.248832629
P_Biomass,,SI,capaConvResi,0.13249401
P_Biomass,,BG,capaConvResi,0.129528185
P_Biomass,,RO,capaConvResi,0.379688461
P_Biomass,,TR,capaConvResi,11.8969051
P_Biomass,,FR,capaConvResi,1.962760151
P_Biomass,,LU,capaConvResi,0.017963755
P_Biomass,,IE,capaConvResi,0.189512069
P_Biomass,,UK,capaConvResi,6.054435332
P_Biomass,,GR,capaConvResi,0.329189027
P_Biomass,,ES,capaConvResi,1.91928423
P_Biomass,,IT,capaConvResi,1.491107204
P_Biomass,,PL,capaConvResi,1.040941878
P_Biomass,,FI,capaConvResi,1.868874423
P_Biomass,,SE,capaConvResi,3.443084499
P_Biomass,,DK,capaConvResi,4.364366393
P_Biomass,,CH,capaConvResi,0.71510273
D_Gas,,AT,capaStOutResi,64.7753125
D_Gas,,LV,capaStOutResi,13.125
D_Gas,,NL,capaStOutResi,116.2855417
D_Gas,,BE,capaStOutResi,7.0625
D_Gas,,CZ,capaStOutResi,29.30316884
D_Gas,,HU,capaStOutResi,60.6275
D_Gas,,SK,capaStOutResi,21.632
D_Gas,,HR,capaStOutResi,3.440416667
D_Gas,,BG,capaStOutResi,6.266666667
D_Gas,,RO,capaStOutResi,17.59020833
D_Gas,,TR,capaStOutResi,38
D_Gas,,FR,capaStOutResi,114.675
D_Gas,,UK,capaStOutResi,96.41420833
D_Gas,,GR,capaStOutResi,1.838333333
D_Gas,,PT,capaStOutResi,3.57
D_Gas,,ES,capaStOutResi,17.87509583
D_Gas,,IT,capaStOutResi,156.1873661
D_Gas,,PL,capaStOutResi,52.6787473
D_Gas,,SE,capaStOutResi,0.48
D_Gas,,DK,capaStOutResi,8.1
D_Gas,,AT,capaStSizeResi,134585.7
D_Gas,,LV,capaStSizeResi,24150
D_Gas,,NL,capaStSizeResi,130783.9
D_Gas,,BE,capaStSizeResi,9001.3
D_Gas,,CZ,capaStSizeResi,42582.69005
D_Gas,,HU,capaStSizeResi,114914.9
D_Gas,,SK,capaStSizeResi,39193.3
D_Gas,,HR,capaStSizeResi,6414.9
D_Gas,,BG,capaStSizeResi,17690
D_Gas,,RO,capaStSizeResi,46132.15
D_Gas,,TR,capaStSizeResi,135913.9336
D_Gas,,FR,capaStSizeResi,137212.4
D_Gas,,UK,capaStSizeResi,60377
D_Gas,,GR,capaStSizeResi,3860.5
D_Gas,,PT,capaStSizeResi,3570
D_Gas,,ES,capaStSizeResi,63950.9
D_Gas,,IT,capaStSizeResi,269026.3719
D_Gas,,PL,capaStSizeResi,66519.89978
D_Gas,,SE,capaStSizeResi,97
D_Gas,,DK,capaStSizeResi,10347
D_Gas,,AT,capaStInResi,51.47608333
D_Gas,,LV,capaStInResi,7.4375
D_Gas,,NL,capaStInResi,54.289125
D_Gas,,BE,capaStInResi,3.6725
D_Gas,,CZ,capaStInResi,20.60105964
D_Gas,,HU,capaStInResi,36.51633333
D_Gas,,SK,capaStInResi,18.93158333
D_Gas,,HR,capaStInResi,2.517916667
D_Gas,,BG,capaStInResi,5.2275
D_Gas,,RO,capaStInResi,14.6695
D_Gas,,TR,capaStInResi,28.5
D_Gas,,FR,capaStInResi,53.45833333
D_Gas,,UK,capaStInResi,60.593875
D_Gas,,GR,capaStInResi,2.297916667
D_Gas,,PT,capaStInResi,1.343333333
D_Gas,,ES,capaStInResi,10.52481667
D_Gas,,IT,capaStInResi,100.1231662
D_Gas,,PL,capaStInResi,29.32875
D_Gas,,SE,capaStInResi,0.18
D_Gas,,DK,capaStInResi,4.2
D_CAES,,AT,capaStOutResi,0.001061109
D_CAES,,NONEU_Balkan,capaStOutResi,0.000962587
D_CAES,,EE,capaStOutResi,0.002437653
D_CAES,,LT,capaStOutResi,0.001914271
D_CAES,,LV,capaStOutResi,0.003898637
D_CAES,,NL,capaStOutResi,0.001377396
D_CAES,,BE,capaStOutResi,0.001226068
D_CAES,,CZ,capaStOutResi,0.001031566
D_CAES,,HU,capaStOutResi,0.000890131
D_CAES,,SK,capaStOutResi,0.001066482
D_CAES,,HR,capaStOutResi,0.00074755
D_CAES,,SI,capaStOutResi,0.000799302
D_CAES,,BG,capaStOutResi,0.001053247
D_CAES,,RO,capaStOutResi,0.001103713
D_CAES,,TR,capaStOutResi,0.00126041
D_CAES,,FR,capaStOutResi,0.001668242
D_CAES,,LU,capaStOutResi,0.006576017
D_CAES,,IE,capaStOutResi,0.002111188
D_CAES,,UK,capaStOutResi,0.002201809
D_CAES,,GR,capaStOutResi,0.001336181
D_CAES,,PT,capaStOutResi,0.001347582
D_CAES,,ES,capaStOutResi,0.001127552
D_CAES,,IT,capaStOutResi,0.000689555
D_CAES,,PL,capaStOutResi,0.001651953
D_CAES,,NO,capaStOutResi,0.00189845
D_CAES,,FI,capaStOutResi,0.002933079
D_CAES,,SE,capaStOutResi,0.002782878
D_CAES,,DK,capaStOutResi,0.00281679
D_CAES,,CH,capaStOutResi,0.001178878
D_CAES,,AT,capaStSizeResi,0.006366654
D_CAES,,NONEU_Balkan,capaStSizeResi,0.00577552
D_CAES,,EE,capaStSizeResi,0.014625918
D_CAES,,LT,capaStSizeResi,0.011485625
D_CAES,,LV,capaStSizeResi,0.023391819
D_CAES,,NL,capaStSizeResi,0.008264374
D_CAES,,BE,capaStSizeResi,0.00735641
D_CAES,,CZ,capaStSizeResi,0.006189396
D_CAES,,HU,capaStSizeResi,0.005340784
D_CAES,,SK,capaStSizeResi,0.006398889
D_CAES,,HR,capaStSizeResi,0.004485297
D_CAES,,SI,capaStSizeResi,0.004795811
D_CAES,,BG,capaStSizeResi,0.006319484
D_CAES,,RO,capaStSizeResi,0.006622281
D_CAES,,TR,capaStSizeResi,0.007562461
D_CAES,,FR,capaStSizeResi,0.01000945
D_CAES,,LU,capaStSizeResi,0.039456102
D_CAES,,IE,capaStSizeResi,0.012667127
D_CAES,,UK,capaStSizeResi,0.013210856
D_CAES,,GR,capaStSizeResi,0.008017088
D_CAES,,PT,capaStSizeResi,0.008085493
D_CAES,,ES,capaStSizeResi,0.006765309
D_CAES,,IT,capaStSizeResi,0.00413733
D_CAES,,PL,capaStSizeResi,0.009911719
D_CAES,,NO,capaStSizeResi,0.011390703
D_CAES,,FI,capaStSizeResi,0.017598473
D_CAES,,SE,capaStSizeResi,0.01669727
D_CAES,,DK,capaStSizeResi,0.016900742
D_CAES,,CH,capaStSizeResi,0.007073269
D_CAES,,AT,capaStInResi,0.001061109
D_CAES,,NONEU_Balkan,capaStInResi,0.000962587
D_CAES,,EE,capaStInResi,0.002437653
D_CAES,,LT,capaStInResi,0.001914271
D_CAES,,LV,capaStInResi,0.003898637
D_CAES,,NL,capaStInResi,0.001377396
D_CAES,,BE,capaStInResi,0.001226068
D_CAES,,CZ,capaStInResi,0.001031566
D_CAES,,HU,capaStInResi,0.000890131
D_CAES,,SK,capaStInResi,0.001066482
D_CAES,,HR,capaStInResi,0.00074755
D_CAES,,SI,capaStInResi,0.000799302
D_CAES,,BG,capaStInResi,0.001053247
D_CAES,,RO,capaStInResi,0.001103713
D_CAES,,TR,capaStInResi,0.00126041
D_CAES,,FR,capaStInResi,0.001668242
D_CAES,,LU,capaStInResi,0.006576017
D_CAES,,IE,capaStInResi,0.002111188
D_CAES,,UK,capaStInResi,0.002201809
D_CAES,,GR,capaStInResi,0.001336181
D_CAES,,PT,capaStInResi,0.001347582
D_CAES,,ES,capaStInResi,0.001127552
D_CAES,,IT,capaStInResi,0.000689555
D_CAES,,PL,capaStInResi,0.001651953
D_CAES,,NO,capaStInResi,0.00189845
D_CAES,,FI,capaStInResi,0.002933079
D_CAES,,SE,capaStInResi,0.002782878
D_CAES,,DK,capaStInResi,0.00281679
D_CAES,,CH,capaStInResi,0.001178878
wind_onshore,RES_Wind_Onshore_Inf,AT,capaConvResi,3.38E-05
wind_onshore,RES_Wind_Onshore_Inf,NONEU_Balkan,capaConvResi,46.98519745
wind_onshore,RES_Wind_Onshore_Inf,EE,capaConvResi,8.25E-08
wind_onshore,RES_Wind_Onshore_Inf,LT,capaConvResi,3.03E-06
wind_onshore,RES_Wind_Onshore_Inf,LV,capaConvResi,3.58E-07
wind_onshore,RES_Wind_Onshore_Inf,NL,capaConvResi,5.48E-06
wind_onshore,RES_Wind_Onshore_Inf,BE,capaConvResi,1.10E-05
wind_onshore,RES_Wind_Onshore_Inf,CZ,capaConvResi,1.25E-05
wind_onshore,RES_Wind_Onshore_Inf,HU,capaConvResi,1.21E-05
wind_onshore,RES_Wind_Onshore_Inf,SK,capaConvResi,8.18E-07
wind_onshore,RES_Wind_Onshore_Inf,HR,capaConvResi,4.33E-07
wind_onshore,RES_Wind_Onshore_Inf,SI,capaConvResi,3.66E-06
wind_onshore,RES_Wind_Onshore_Inf,BG,capaConvResi,6.90E-06
wind_onshore,RES_Wind_Onshore_Inf,RO,capaConvResi,2.52E-05
wind_onshore,RES_Wind_Onshore_Inf,TR,capaConvResi,77.79999129
wind_onshore,RES_Wind_Onshore_Inf,FR,capaConvResi,3.62E-05
wind_onshore,RES_Wind_Onshore_Inf,LU,capaConvResi,5.97E-07
wind_onshore,RES_Wind_Onshore_Inf,IE,capaConvResi,3.38E-08
wind_onshore,RES_Wind_Onshore_Inf,UK,capaConvResi,70.83333327
wind_onshore,RES_Wind_Onshore_Inf,GR,capaConvResi,5.77E-05
wind_onshore,RES_Wind_Onshore_Inf,PT,capaConvResi,1.69E-05
wind_onshore,RES_Wind_Onshore_Inf,ES,capaConvResi,2.55E-05
wind_onshore,RES_Wind_Onshore_Inf,IT,capaConvResi,8.87E-06
wind_onshore,RES_Wind_Onshore_Inf,PL,capaConvResi,1.26E-05
wind_onshore,RES_Wind_Onshore_Inf,NO,capaConvResi,9.78E-05
wind_onshore,RES_Wind_Onshore_Inf,FI,capaConvResi,1.11E-05
wind_onshore,RES_Wind_Onshore_Inf,SE,capaConvResi,4.80E-06
wind_onshore,RES_Wind_Onshore_Inf,DK,capaConvResi,1.24E-07
wind_onshore,RES_Wind_Onshore_Inf,CH,capaConvResi,1.88E-06
D_PHS,,AT,capaStOutResi,12.351
D_PHS,,LT,capaStOutResi,1.125
D_PHS,,LV,capaStOutResi,1.619
D_PHS,,BE,capaStOutResi,1.308
D_PHS,,CZ,capaStOutResi,1.05
D_PHS,,SK,capaStOutResi,2.292
D_PHS,,HR,capaStOutResi,2.3
D_PHS,,SI,capaStOutResi,0.6
D_PHS,,BG,capaStOutResi,2.8
D_PHS,,RO,capaStOutResi,3.3099157
D_PHS,,TR,capaStOutResi,26.625
D_PHS,,FR,capaStOutResi,13.5
D_PHS,,LU,capaStOutResi,1.31
D_PHS,,IE,capaStOutResi,0.442
D_PHS,,UK,capaStOutResi,1.553
D_PHS,,GR,capaStOutResi,4.009
D_PHS,,PT,capaStOutResi,8.4662
D_PHS,,ES,capaStOutResi,19.2
D_PHS,,IT,capaStOutResi,16.45586969
D_PHS,,PL,capaStOutResi,1.413
D_PHS,,NO,capaStOutResi,35.8169
D_PHS,,FI,capaStOutResi,3.2
D_PHS,,SE,capaStOutResi,16.184
D_PHS,,CH,capaStOutResi,13.58
D_PHS,,AT,capaStSizeResi,67.812
D_PHS,,LT,capaStSizeResi,4.75
D_PHS,,BE,capaStSizeResi,5.75
D_PHS,,CZ,capaStSizeResi,5
D_PHS,,SK,capaStSizeResi,7.43
D_PHS,,HR,capaStSizeResi,1.5
D_PHS,,SI,capaStSizeResi,3.085
D_PHS,,BG,capaStSizeResi,4.665
D_PHS,,FR,capaStSizeResi,66
D_PHS,,LU,capaStSizeResi,12.312
D_PHS,,IE,capaStSizeResi,2.21
D_PHS,,GR,capaStSizeResi,6.445
D_PHS,,PT,capaStSizeResi,20.5995
D_PHS,,ES,capaStSizeResi,41.4
D_PHS,,IT,capaStSizeResi,68.78156364
D_PHS,,PL,capaStSizeResi,7.44
D_PHS,,NO,capaStSizeResi,111.4708
D_PHS,,CH,capaStSizeResi,49.26
D_PHS,,AT,capaStInResi,5.651
D_PHS,,LT,capaStInResi,0.95
D_PHS,,BE,capaStInResi,1.15
D_PHS,,CZ,capaStInResi,1
D_PHS,,SK,capaStInResi,1.486
D_PHS,,HR,capaStInResi,0.3
D_PHS,,SI,capaStInResi,0.617
D_PHS,,BG,capaStInResi,0.933
D_PHS,,FR,capaStInResi,5.5
D_PHS,,LU,capaStInResi,1.026
D_PHS,,IE,capaStInResi,0.442
D_PHS,,GR,capaStInResi,1.289
D_PHS,,PT,capaStInResi,4.1199
D_PHS,,ES,capaStInResi,8.28
D_PHS,,IT,capaStInResi,5.73179697
D_PHS,,PL,capaStInResi,1.488
D_PHS,,NO,capaStInResi,1.114708
D_PHS,,CH,capaStInResi,4.105
X_Methanation,,AT,capaConvResi,0.607002707
X_Methanation,,NONEU_Balkan,capaConvResi,1.863686295
X_Methanation,,EE,capaConvResi,0.025299373
X_Methanation,,LT,capaConvResi,0.032560045
X_Methanation,,LV,capaConvResi,0.054607568
X_Methanation,,NL,capaConvResi,4.519474915
X_Methanation,,BE,capaConvResi,3.950771889
X_Methanation,,CZ,capaConvResi,0.645729392
X_Methanation,,HU,capaConvResi,1.478754529
X_Methanation,,SK,capaConvResi,4.382194392
X_Methanation,,HR,capaConvResi,0.2634265
X_Methanation,,SI,capaConvResi,0.179665718
X_Methanation,,BG,capaConvResi,1.325751053
X_Methanation,,RO,capaConvResi,4.848030732
X_Methanation,,TR,capaConvResi,3.21022763
X_Methanation,,FR,capaConvResi,0.00540826
X_Methanation,,LU,capaConvResi,0.100301381
X_Methanation,,IE,capaConvResi,0.16459251
X_Methanation,,UK,capaConvResi,6.250693325
X_Methanation,,GR,capaConvResi,0.106798323
X_Methanation,,PT,capaConvResi,0.371508001
X_Methanation,,ES,capaConvResi,14.92287874
X_Methanation,,IT,capaConvResi,9.233722348
X_Methanation,,PL,capaConvResi,2.126313701
X_Methanation,,NO,capaConvResi,0.236747415
X_Methanation,,FI,capaConvResi,0.589073549
X_Methanation,,SE,capaConvResi,0.595867081
X_Methanation,,DK,capaConvResi,0.443642497
X_Methanation,,CH,capaConvResi,0.631308651
P_Oil,,AT,capaConvResi,0.002953132
P_Oil,,NONEU_Balkan,capaConvResi,0.510418904
P_Oil,,BE,capaConvResi,0.000578836
P_Oil,,CZ,capaConvResi,0.026522864
P_Oil,,HU,capaConvResi,0.006430293
P_Oil,,SK,capaConvResi,0.291256356
P_Oil,,FR,capaConvResi,1.377821059
P_Oil,,IE,capaConvResi,1.295027893
P_Oil,,UK,capaConvResi,2.546214517
P_Oil,,IT,capaConvResi,0.340999934
P_Oil,,FI,capaConvResi,1.344139598
P_Oil,,SE,capaConvResi,0.071989748
P_Oil,,DK,capaConvResi,0.580663292
wind_offshore,RES_Wind_Offshore_Shallow,NONEU_Balkan,capaConvResi,1.60E-08
wind_offshore,RES_Wind_Offshore_Shallow,EE,capaConvResi,13.10440137
wind_offshore,RES_Wind_Offshore_Shallow,LT,capaConvResi,6.80E-05
wind_offshore,RES_Wind_Offshore_Shallow,LV,capaConvResi,9.38E-06
wind_offshore,RES_Wind_Offshore_Shallow,NL,capaConvResi,19.03333329
wind_offshore,RES_Wind_Offshore_Shallow,BE,capaConvResi,4.07E-06
wind_offshore,RES_Wind_Offshore_Shallow,HR,capaConvResi,9.92E-08
wind_offshore,RES_Wind_Offshore_Shallow,SI,capaConvResi,6.01E-08
wind_offshore,RES_Wind_Offshore_Shallow,BG,capaConvResi,1.70E-07
wind_offshore,RES_Wind_Offshore_Shallow,RO,capaConvResi,3.48E-07
wind_offshore,RES_Wind_Offshore_Shallow,TR,capaConvResi,1.12E-06
wind_offshore,RES_Wind_Offshore_Shallow,FR,capaConvResi,44.56666665
wind_offshore,RES_Wind_Offshore_Shallow,IE,capaConvResi,17.3999814
wind_offshore,RES_Wind_Offshore_Shallow,UK,capaConvResi,32.99999999
wind_offshore,RES_Wind_Offshore_Shallow,GR,capaConvResi,1.27E-07
wind_offshore,RES_Wind_Offshore_Shallow,PT,capaConvResi,3.39E-07
wind_offshore,RES_Wind_Offshore_Shallow,ES,capaConvResi,7.66E-07
wind_offshore,RES_Wind_Offshore_Shallow,IT,capaConvResi,1.68E-06
wind_offshore,RES_Wind_Offshore_Shallow,PL,capaConvResi,3.25E-06
wind_offshore,RES_Wind_Offshore_Shallow,NO,capaConvResi,6.62E-06
wind_offshore,RES_Wind_Offshore_Shallow,FI,capaConvResi,6.67E-06
wind_offshore,RES_Wind_Offshore_Shallow,SE,capaConvResi,31.05256453
wind_offshore,RES_Wind_Offshore_Shallow,DK,capaConvResi,7.43E-05
wind_onshore,RES_Wind_Onshore_Avg,AT,capaConvResi,30.53333261
wind_onshore,RES_Wind_Onshore_Avg,NONEU_Balkan,capaConvResi,46.98519745
wind_onshore,RES_Wind_Onshore_Avg,EE,capaConvResi,4.18E-06
wind_onshore,RES_Wind_Onshore_Avg,LT,capaConvResi,2.06E-06
wind_onshore,RES_Wind_Onshore_Avg,LV,capaConvResi,1.81E-06
wind_onshore,RES_Wind_Onshore_Avg,NL,capaConvResi,15.73333214
wind_onshore,RES_Wind_Onshore_Avg,BE,capaConvResi,11.79999999
wind_onshore,RES_Wind_Onshore_Avg,CZ,capaConvResi,28.76095256
wind_onshore,RES_Wind_Onshore_Avg,HU,capaConvResi,45.46666609
wind_onshore,RES_Wind_Onshore_Avg,SK,capaConvResi,7.92E-06
wind_onshore,RES_Wind_Onshore_Avg,HR,capaConvResi,1.98E-08
wind_onshore,RES_Wind_Onshore_Avg,SI,capaConvResi,1.18E-06
wind_onshore,RES_Wind_Onshore_Avg,BG,capaConvResi,9.16E-06
wind_onshore,RES_Wind_Onshore_Avg,RO,capaConvResi,2.34E-05
wind_onshore,RES_Wind_Onshore_Avg,TR,capaConvResi,77.79999112
wind_onshore,RES_Wind_Onshore_Avg,FR,capaConvResi,254.4666666
wind_onshore,RES_Wind_Onshore_Avg,LU,capaConvResi,1.133333264
wind_onshore,RES_Wind_Onshore_Avg,IE,capaConvResi,7.270990584
wind_onshore,RES_Wind_Onshore_Avg,UK,capaConvResi,141.6666667
wind_onshore,RES_Wind_Onshore_Avg,GR,capaConvResi,0.083020664
wind_onshore,RES_Wind_Onshore_Avg,PT,capaConvResi,28.03217032
wind_onshore,RES_Wind_Onshore_Avg,ES,capaConvResi,54.00141313
wind_onshore,RES_Wind_Onshore_Avg,IT,capaConvResi,2.57E-05
wind_onshore,RES_Wind_Onshore_Avg,PL,capaConvResi,74.07884823
wind_onshore,RES_Wind_Onshore_Avg,NO,capaConvResi,21.46666667
wind_onshore,RES_Wind_Onshore_Avg,FI,capaConvResi,47.86666666
wind_onshore,RES_Wind_Onshore_Avg,SE,capaConvResi,62.26666664
wind_onshore,RES_Wind_Onshore_Avg,DK,capaConvResi,21.73333332
wind_onshore,RES_Wind_Onshore_Avg,CH,capaConvResi,8.06E-06
photovoltaik,RES_PV_Utility_Opt,AT,capaConvResi,10.03213801
photovoltaik,RES_PV_Utility_Opt,NONEU_Balkan,capaConvResi,29.19570244
photovoltaik,RES_PV_Utility_Opt,EE,capaConvResi,0.862182955
photovoltaik,RES_PV_Utility_Opt,LT,capaConvResi,9.999999939
photovoltaik,RES_PV_Utility_Opt,LV,capaConvResi,7.999999911
photovoltaik,RES_PV_Utility_Opt,NL,capaConvResi,12.04002603
photovoltaik,RES_PV_Utility_Opt,BE,capaConvResi,9.724883287
photovoltaik,RES_PV_Utility_Opt,CZ,capaConvResi,12.66021873
photovoltaik,RES_PV_Utility_Opt,HU,capaConvResi,7.775949853
photovoltaik,RES_PV_Utility_Opt,SK,capaConvResi,5.866235338
photovoltaik,RES_PV_Utility_Opt,HR,capaConvResi,3.884105129
photovoltaik,RES_PV_Utility_Opt,SI,capaConvResi,1.884472841
photovoltaik,RES_PV_Utility_Opt,BG,capaConvResi,5.622403646
photovoltaik,RES_PV_Utility_Opt,RO,capaConvResi,41.99999997
photovoltaik,RES_PV_Utility_Opt,TR,capaConvResi,146.95
photovoltaik,RES_PV_Utility_Opt,FR,capaConvResi,76.12678384
photovoltaik,RES_PV_Utility_Opt,LU,capaConvResi,0.714479176
photovoltaik,RES_PV_Utility_Opt,IE,capaConvResi,5.426926014
photovoltaik,RES_PV_Utility_Opt,UK,capaConvResi,51.01627861
photovoltaik,RES_PV_Utility_Opt,GR,capaConvResi,25.99999999
photovoltaik,RES_PV_Utility_Opt,PT,capaConvResi,8.379640951
photovoltaik,RES_PV_Utility_Opt,ES,capaConvResi,78.99999999
photovoltaik,RES_PV_Utility_Opt,IT,capaConvResi,49.39990624
photovoltaik,RES_PV_Utility_Opt,PL,capaConvResi,49.99999997
photovoltaik,RES_PV_Utility_Opt,NO,capaConvResi,3.999999918
photovoltaik,RES_PV_Utility_Opt,FI,capaConvResi,8.670806004
photovoltaik,RES_PV_Utility_Opt,SE,capaConvResi,14.30764315
photovoltaik,RES_PV_Utility_Opt,DK,capaConvResi,5.808332646
photovoltaik,RES_PV_Utility_Opt,CH,capaConvResi,6.233333333
photovoltaik,RES_PV_Rooftop,AT,capaConvResi,8.51E-06
photovoltaik,RES_PV_Rooftop,NONEU_Balkan,capaConvResi,1.92E-06
photovoltaik,RES_PV_Rooftop,EE,capaConvResi,4.32E-07
photovoltaik,RES_PV_Rooftop,LT,capaConvResi,4.71E-07
photovoltaik,RES_PV_Rooftop,LV,capaConvResi,8.71E-07
photovoltaik,RES_PV_Rooftop,NL,capaConvResi,2.10E-06
photovoltaik,RES_PV_Rooftop,BE,capaConvResi,7.51E-07
photovoltaik,RES_PV_Rooftop,CZ,capaConvResi,1.75E-06
photovoltaik,RES_PV_Rooftop,HU,capaConvResi,2.45E-06
photovoltaik,RES_PV_Rooftop,SK,capaConvResi,8.57E-06
photovoltaik,RES_PV_Rooftop,HR,capaConvResi,3.15E-05
photovoltaik,RES_PV_Rooftop,SI,capaConvResi,3.64E-07
photovoltaik,RES_PV_Rooftop,BG,capaConvResi,6.40E-06
photovoltaik,RES_PV_Rooftop,RO,capaConvResi,2.07E-05
photovoltaik,RES_PV_Rooftop,TR,capaConvResi,5.36E-06
photovoltaik,RES_PV_Rooftop,FR,capaConvResi,1.96E-05
photovoltaik,RES_PV_Rooftop,LU,capaConvResi,9.53E-08
photovoltaik,RES_PV_Rooftop,IE,capaConvResi,3.44E-06
photovoltaik,RES_PV_Rooftop,UK,capaConvResi,1.02E-05
photovoltaik,RES_PV_Rooftop,GR,capaConvResi,5.54E-06
photovoltaik,RES_PV_Rooftop,PT,capaConvResi,4.02E-06
photovoltaik,RES_PV_Rooftop,ES,capaConvResi,2.86E-05
photovoltaik,RES_PV_Rooftop,IT,capaConvResi,5.70E-06
photovoltaik,RES_PV_Rooftop,PL,capaConvResi,1.22E-05
photovoltaik,RES_PV_Rooftop,NO,capaConvResi,3.68E-07
photovoltaik,RES_PV_Rooftop,FI,capaConvResi,4.12E-07
photovoltaik,RES_PV_Rooftop,SE,capaConvResi,4.54E-06
photovoltaik,RES_PV_Rooftop,DK,capaConvResi,3.58E-06
photovoltaik,RES_PV_Rooftop,CH,capaConvResi,1.05E-05
D_Battery_Li-Ion,,AT,capaStOutResi,24.78716488
D_Battery_Li-Ion,,NONEU_Balkan,capaStOutResi,57.72981807
D_Battery_Li-Ion,,EE,capaStOutResi,10.62367469
D_Battery_Li-Ion,,LT,capaStOutResi,19.58650864
D_Battery_Li-Ion,,LV,capaStOutResi,1.685351701
D_Battery_Li-Ion,,NL,capaStOutResi,42.47176383
D_Battery_Li-Ion,,BE,capaStOutResi,0.072376013
D_Battery_Li-Ion,,CZ,capaStOutResi,19.52098615
D_Battery_Li-Ion,,HU,capaStOutResi,22.56194769
D_Battery_Li-Ion,,SK,capaStOutResi,9.031121724
D_Battery_Li-Ion,,HR,capaStOutResi,1.472541149
D_Battery_Li-Ion,,SI,capaStOutResi,0.847449531
D_Battery_Li-Ion,,BG,capaStOutResi,5.834761683
D_Battery_Li-Ion,,RO,capaStOutResi,15.43639219
D_Battery_Li-Ion,,TR,capaStOutResi,330.320913
D_Battery_Li-Ion,,FR,capaStOutResi,265.7346248
D_Battery_Li-Ion,,LU,capaStOutResi,1.647983205
D_Battery_Li-Ion,,IE,capaStOutResi,16.12379586
D_Battery_Li-Ion,,UK,capaStOutResi,106.3167344
D_Battery_Li-Ion,,GR,capaStOutResi,50.23848689
D_Battery_Li-Ion,,PT,capaStOutResi,30.50158322
D_Battery_Li-Ion,,ES,capaStOutResi,116.5267785
D_Battery_Li-Ion,,IT,capaStOutResi,31.20502075
D_Battery_Li-Ion,,PL,capaStOutResi,73.16394506
D_Battery_Li-Ion,,NO,capaStOutResi,0.006730268
D_Battery_Li-Ion,,FI,capaStOutResi,31.93929078
D_Battery_Li-Ion,,SE,capaStOutResi,31.87567714
D_Battery_Li-Ion,,DK,capaStOutResi,7.65253863
D_Battery_Li-Ion,,CH,capaStOutResi,1.223205932
D_Battery_Li-Ion,,AT,capaStSizeResi,74.36149463
D_Battery_Li-Ion,,NONEU_Balkan,capaStSizeResi,173.1894542
D_Battery_Li-Ion,,EE,capaStSizeResi,31.87102408
D_Battery_Li-Ion,,LT,capaStSizeResi,58.75952593
D_Battery_Li-Ion,,LV,capaStSizeResi,5.056055102
D_Battery_Li-Ion,,NL,capaStSizeResi,127.4152915
D_Battery_Li-Ion,,BE,capaStSizeResi,0.217128039
D_Battery_Li-Ion,,CZ,capaStSizeResi,58.56295844
D_Battery_Li-Ion,,HU,capaStSizeResi,67.68584306
D_Battery_Li-Ion,,SK,capaStSizeResi,27.09336517
D_Battery_Li-Ion,,HR,capaStSizeResi,4.417623448
D_Battery_Li-Ion,,SI,capaStSizeResi,2.542348594
D_Battery_Li-Ion,,BG,capaStSizeResi,17.50428505
D_Battery_Li-Ion,,RO,capaStSizeResi,46.30917656
D_Battery_Li-Ion,,TR,capaStSizeResi,990.962739
