carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_equality
Power,,3,1,3,3,no
gas,Gas_Natural,2,1,3,3,no
gas,Gas_Synth,2,1,3,3,no
gas,H2,2,1,3,3,no
Lignite,,1,1,3,3,no
Hardcoal,,1,1,3,3,no
Oil,,1,1,3,3,no
Biomass,,1,1,3,3,no
