timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d075,DE,gas < hydrogen,gasStorage,none,none,1205.7490243373159
none,2050,2050 < d076,DE,gas < hydrogen,gasStorage,none,none,804.6402158928795
none,2050,2050 < d077,DE,gas < hydrogen,gasStorage,none,none,260.3048626341454
none,2050,2050 < d078,DE,gas < hydrogen,gasStorage,none,none,50.22264816505055
none,2050,2050 < d079,DE,gas < hydrogen,gasStorage,none,none,0.0018058667385979768
none,2050,2050 < d080,DE,gas < hydrogen,gasStorage,none,none,57.93969370052439
none,2050,2050 < d081,DE,gas < hydrogen,gasStorage,none,none,186.69895367899787
none,2050,2050 < d082,DE,gas < hydrogen,gasStorage,none,none,331.40373010892154
none,2050,2050 < d083,DE,gas < hydrogen,gasStorage,none,none,330.7736952898727
none,2050,2050 < d084,DE,gas < hydrogen,gasStorage,none,none,0.0006813696626146773
none,2050,2050 < d085,DE,gas < hydrogen,gasStorage,none,none,0.00030513429238360836
none,2050,2050 < d086,DE,gas < hydrogen,gasStorage,none,none,0.010249944520541685
none,2050,2050 < d087,DE,gas < hydrogen,gasStorage,none,none,196.9493995150286
none,2050,2050 < d088,DE,gas < hydrogen,gasStorage,none,none,390.3579097211646
none,2050,2050 < d089,DE,gas < hydrogen,gasStorage,none,none,428.71847879394625
none,2050,2050 < d090,DE,gas < hydrogen,gasStorage,none,none,467.9802695929188
none,2050,2050 < d091,DE,gas < hydrogen,gasStorage,none,none,467.98097334769466
none,2050,2050 < d092,DE,gas < hydrogen,gasStorage,none,none,467.98477847663924
none,2050,2050 < d093,DE,gas < hydrogen,gasStorage,none,none,467.98828245923045
none,2050,2050 < d094,DE,gas < hydrogen,gasStorage,none,none,467.9918284721756
none,2050,2050 < d095,DE,gas < hydrogen,gasStorage,none,none,472.11712570199876
none,2050,2050 < d096,DE,gas < hydrogen,gasStorage,none,none,1166.6161291442895
none,2050,2050 < d097,DE,gas < hydrogen,gasStorage,none,none,2322.9502144168946
none,2050,2050 < d098,DE,gas < hydrogen,gasStorage,none,none,2613.2442300182192
none,2050,2050 < d099,DE,gas < hydrogen,gasStorage,none,none,2613.2452351520674
none,2050,2050 < d100,DE,gas < hydrogen,gasStorage,none,none,2613.2481257479185
none,2050,2050 < d101,DE,gas < hydrogen,gasStorage,none,none,3442.8383952489535
none,2050,2050 < d102,DE,gas < hydrogen,gasStorage,none,none,3843.298680719578
none,2050,2050 < d103,DE,gas < hydrogen,gasStorage,none,none,3852.4916574644562
none,2050,2050 < d104,DE,gas < hydrogen,gasStorage,none,none,3852.498716183412
none,2050,2050 < d105,DE,gas < hydrogen,gasStorage,none,none,3854.3798394280116
none,2050,2050 < d106,DE,gas < hydrogen,gasStorage,none,none,4282.699646436816
none,2050,2050 < d107,DE,gas < hydrogen,gasStorage,none,none,4933.013542055285
none,2050,2050 < d108,DE,gas < hydrogen,gasStorage,none,none,6067.590728295572
none,2050,2050 < d109,DE,gas < hydrogen,gasStorage,none,none,7306.103301008253
none,2050,2050 < d110,DE,gas < hydrogen,gasStorage,none,none,8544.520519994943
none,2050,2050 < d111,DE,gas < hydrogen,gasStorage,none,none,9266.53898613137
none,2050,2050 < d112,DE,gas < hydrogen,gasStorage,none,none,9270.535126476607
none,2050,2050 < d113,DE,gas < hydrogen,gasStorage,none,none,9831.019970584239
none,2050,2050 < d114,DE,gas < hydrogen,gasStorage,none,none,10641.940346142323
none,2050,2050 < d115,DE,gas < hydrogen,gasStorage,none,none,11305.786784704018
