carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_equality
electricity,electricity_central,4,1,1,1,no
electricity,electricity_decentral,4,1,1,1,yes
heatResidental,,3,1,1,1,yes
heatIndustry,,3,1,1,1,yes
mobility,,2,1,1,1,yes
gas,hydrogen,2,1,1,1,yes
gas,synthGas,2,1,1,1,yes
biomass,,1,1,1,1,yes
