timestep_3,technology_1,region_2,region_3,value,parameter
h2251,D_PHS,,CH,10.39,stInflow
h2251,D_PHS,Germany_,,5.9551,stInflow
h2251,D_PHS,,FR,12.716,stInflow
h2251,D_PHS,,IT,15.102,stInflow
h2251,D_PHS,,NO,24.7,stInflow
h2251,D_PHS,,SE,4.98,stInflow
h2252,D_PHS,,AT,7.846,stInflow
h2252,D_PHS,,CH,10.39,stInflow
h2252,D_PHS,Germany_,,5.9551,stInflow
h2252,D_PHS,,FR,12.716,stInflow
h2252,D_PHS,,IT,15.102,stInflow
h2252,D_PHS,,NO,24.7,stInflow
h2252,D_PHS,,SE,4.98,stInflow
h2253,D_PHS,,AT,7.846,stInflow
h2253,D_PHS,,CH,10.39,stInflow
h2253,D_PHS,Germany_,,5.9551,stInflow
h2253,D_PHS,,FR,12.716,stInflow
h2253,D_PHS,,IT,15.102,stInflow
h2253,D_PHS,,NO,24.7,stInflow
h2253,D_PHS,,SE,4.98,stInflow
h2254,D_PHS,,AT,7.846,stInflow
h2254,D_PHS,,CH,10.39,stInflow
h2254,D_PHS,Germany_,,5.9551,stInflow
h2254,D_PHS,,FR,12.716,stInflow
h2254,D_PHS,,IT,15.102,stInflow
h2254,D_PHS,,NO,24.7,stInflow
h2254,D_PHS,,SE,4.98,stInflow
h2255,D_PHS,,AT,7.846,stInflow
h2255,D_PHS,,CH,10.39,stInflow
h2255,D_PHS,Germany_,,5.9551,stInflow
h2255,D_PHS,,FR,12.716,stInflow
h2255,D_PHS,,IT,15.102,stInflow
h2255,D_PHS,,NO,24.7,stInflow
h2255,D_PHS,,SE,4.98,stInflow
h2256,D_PHS,,AT,7.846,stInflow
h2256,D_PHS,,CH,10.39,stInflow
h2256,D_PHS,Germany_,,5.9551,stInflow
h2256,D_PHS,,FR,12.716,stInflow
h2256,D_PHS,,IT,15.102,stInflow
h2256,D_PHS,,NO,24.7,stInflow
h2256,D_PHS,,SE,4.98,stInflow
h2257,D_PHS,,AT,7.846,stInflow
h2257,D_PHS,,CH,10.39,stInflow
h2257,D_PHS,Germany_,,5.9551,stInflow
h2257,D_PHS,,FR,12.716,stInflow
h2257,D_PHS,,IT,15.102,stInflow
h2257,D_PHS,,NO,24.7,stInflow
h2257,D_PHS,,SE,4.98,stInflow
h2258,D_PHS,,AT,7.846,stInflow
h2258,D_PHS,,CH,10.39,stInflow
h2258,D_PHS,Germany_,,5.9551,stInflow
h2258,D_PHS,,FR,12.716,stInflow
h2258,D_PHS,,IT,15.102,stInflow
h2258,D_PHS,,NO,24.7,stInflow
h2258,D_PHS,,SE,4.98,stInflow
h2259,D_PHS,,AT,7.846,stInflow
h2259,D_PHS,,CH,10.39,stInflow
h2259,D_PHS,Germany_,,5.9551,stInflow
h2259,D_PHS,,FR,12.716,stInflow
h2259,D_PHS,,IT,15.102,stInflow
h2259,D_PHS,,NO,24.7,stInflow
h2259,D_PHS,,SE,4.98,stInflow
h2260,D_PHS,,AT,7.846,stInflow
h2260,D_PHS,,CH,10.39,stInflow
h2260,D_PHS,Germany_,,5.9551,stInflow
h2260,D_PHS,,FR,12.716,stInflow
h2260,D_PHS,,IT,15.102,stInflow
h2260,D_PHS,,NO,24.7,stInflow
h2260,D_PHS,,SE,4.98,stInflow
h2261,D_PHS,,AT,7.846,stInflow
h2261,D_PHS,,CH,10.39,stInflow
h2261,D_PHS,Germany_,,5.9551,stInflow
h2261,D_PHS,,FR,12.716,stInflow
h2261,D_PHS,,IT,15.102,stInflow
h2261,D_PHS,,NO,24.7,stInflow
h2261,D_PHS,,SE,4.98,stInflow
h2262,D_PHS,,AT,7.846,stInflow
h2262,D_PHS,,CH,10.39,stInflow
h2262,D_PHS,Germany_,,5.9551,stInflow
h2262,D_PHS,,FR,12.716,stInflow
h2262,D_PHS,,IT,15.102,stInflow
h2262,D_PHS,,NO,24.7,stInflow
h2262,D_PHS,,SE,4.98,stInflow
h2263,D_PHS,,AT,7.846,stInflow
h2263,D_PHS,,CH,10.39,stInflow
h2263,D_PHS,Germany_,,5.9551,stInflow
h2263,D_PHS,,FR,12.716,stInflow
h2263,D_PHS,,IT,15.102,stInflow
h2263,D_PHS,,NO,24.7,stInflow
h2263,D_PHS,,SE,4.98,stInflow
h2264,D_PHS,,AT,7.846,stInflow
h2264,D_PHS,,CH,10.39,stInflow
h2264,D_PHS,Germany_,,5.9551,stInflow
h2264,D_PHS,,FR,12.716,stInflow
h2264,D_PHS,,IT,15.102,stInflow
h2264,D_PHS,,NO,24.7,stInflow
h2264,D_PHS,,SE,4.98,stInflow
h2265,D_PHS,,AT,7.846,stInflow
h2265,D_PHS,,CH,10.39,stInflow
h2265,D_PHS,Germany_,,5.9551,stInflow
h2265,D_PHS,,FR,12.716,stInflow
h2265,D_PHS,,IT,15.102,stInflow
h2265,D_PHS,,NO,24.7,stInflow
h2265,D_PHS,,SE,4.98,stInflow
h2266,D_PHS,,AT,7.846,stInflow
h2266,D_PHS,,CH,10.39,stInflow
h2266,D_PHS,Germany_,,5.9551,stInflow
h2266,D_PHS,,FR,12.716,stInflow
h2266,D_PHS,,IT,15.102,stInflow
h2266,D_PHS,,NO,24.7,stInflow
h2266,D_PHS,,SE,4.98,stInflow
h2267,D_PHS,,AT,7.846,stInflow
h2267,D_PHS,,CH,10.39,stInflow
h2267,D_PHS,Germany_,,5.9551,stInflow
h2267,D_PHS,,FR,12.716,stInflow
h2267,D_PHS,,IT,15.102,stInflow
h2267,D_PHS,,NO,24.7,stInflow
h2267,D_PHS,,SE,4.98,stInflow
h2268,D_PHS,,AT,7.846,stInflow
h2268,D_PHS,,CH,10.39,stInflow
h2268,D_PHS,Germany_,,5.9551,stInflow
h2268,D_PHS,,FR,12.716,stInflow
h2268,D_PHS,,IT,15.102,stInflow
h2268,D_PHS,,NO,24.7,stInflow
h2268,D_PHS,,SE,4.98,stInflow
h2269,D_PHS,,AT,7.846,stInflow
h2269,D_PHS,,CH,10.39,stInflow
h2269,D_PHS,Germany_,,5.9551,stInflow
h2269,D_PHS,,FR,12.716,stInflow
h2269,D_PHS,,IT,15.102,stInflow
h2269,D_PHS,,NO,24.7,stInflow
h2269,D_PHS,,SE,4.98,stInflow
h2270,D_PHS,,AT,7.846,stInflow
h2270,D_PHS,,CH,10.39,stInflow
h2270,D_PHS,Germany_,,5.9551,stInflow
h2270,D_PHS,,FR,12.716,stInflow
h2270,D_PHS,,IT,15.102,stInflow
h2270,D_PHS,,NO,24.7,stInflow
h2270,D_PHS,,SE,4.98,stInflow
h2271,D_PHS,,AT,7.846,stInflow
h2271,D_PHS,,CH,10.39,stInflow
h2271,D_PHS,Germany_,,5.9551,stInflow
h2271,D_PHS,,FR,12.716,stInflow
h2271,D_PHS,,IT,15.102,stInflow
h2271,D_PHS,,NO,24.7,stInflow
h2271,D_PHS,,SE,4.98,stInflow
h2272,D_PHS,,AT,7.846,stInflow
h2272,D_PHS,,CH,10.39,stInflow
h2272,D_PHS,Germany_,,5.9551,stInflow
h2272,D_PHS,,FR,12.716,stInflow
h2272,D_PHS,,IT,15.102,stInflow
h2272,D_PHS,,NO,24.7,stInflow
h2272,D_PHS,,SE,4.98,stInflow
h2273,D_PHS,,AT,7.846,stInflow
h2273,D_PHS,,CH,10.39,stInflow
h2273,D_PHS,Germany_,,5.9551,stInflow
h2273,D_PHS,,FR,12.716,stInflow
h2273,D_PHS,,IT,15.102,stInflow
h2273,D_PHS,,NO,24.7,stInflow
h2273,D_PHS,,SE,4.98,stInflow
h2274,D_PHS,,AT,7.846,stInflow
h2274,D_PHS,,CH,10.39,stInflow
h2274,D_PHS,Germany_,,5.9551,stInflow
h2274,D_PHS,,FR,12.716,stInflow
h2274,D_PHS,,IT,15.102,stInflow
h2274,D_PHS,,NO,24.7,stInflow
h2274,D_PHS,,SE,4.98,stInflow
h2275,D_PHS,,AT,7.846,stInflow
h2275,D_PHS,,CH,10.39,stInflow
h2275,D_PHS,Germany_,,5.9551,stInflow
h2275,D_PHS,,FR,12.716,stInflow
h2275,D_PHS,,IT,15.102,stInflow
h2275,D_PHS,,NO,24.7,stInflow
h2275,D_PHS,,SE,4.98,stInflow
h2276,D_PHS,,AT,7.846,stInflow
h2276,D_PHS,,CH,10.39,stInflow
h2276,D_PHS,Germany_,,5.9551,stInflow
h2276,D_PHS,,FR,12.716,stInflow
h2276,D_PHS,,IT,15.102,stInflow
h2276,D_PHS,,NO,24.7,stInflow
h2276,D_PHS,,SE,4.98,stInflow
h2277,D_PHS,,AT,7.846,stInflow
h2277,D_PHS,,CH,10.39,stInflow
h2277,D_PHS,Germany_,,5.9551,stInflow
h2277,D_PHS,,FR,12.716,stInflow
h2277,D_PHS,,IT,15.102,stInflow
h2277,D_PHS,,NO,24.7,stInflow
h2277,D_PHS,,SE,4.98,stInflow
h2278,D_PHS,,AT,7.846,stInflow
h2278,D_PHS,,CH,10.39,stInflow
h2278,D_PHS,Germany_,,5.9551,stInflow
h2278,D_PHS,,FR,12.716,stInflow
h2278,D_PHS,,IT,15.102,stInflow
h2278,D_PHS,,NO,24.7,stInflow
h2278,D_PHS,,SE,4.98,stInflow
h2279,D_PHS,,AT,7.846,stInflow
h2279,D_PHS,,CH,10.39,stInflow
h2279,D_PHS,Germany_,,5.9551,stInflow
h2279,D_PHS,,FR,12.716,stInflow
h2279,D_PHS,,IT,15.102,stInflow
h2279,D_PHS,,NO,24.7,stInflow
h2279,D_PHS,,SE,4.98,stInflow
h2280,D_PHS,,AT,7.846,stInflow
h2280,D_PHS,,CH,10.39,stInflow
h2280,D_PHS,Germany_,,5.9551,stInflow
h2280,D_PHS,,FR,12.716,stInflow
h2280,D_PHS,,IT,15.102,stInflow
h2280,D_PHS,,NO,24.7,stInflow
h2280,D_PHS,,SE,4.98,stInflow
h2281,D_PHS,,AT,7.846,stInflow
h2281,D_PHS,,CH,10.39,stInflow
h2281,D_PHS,Germany_,,5.9551,stInflow
h2281,D_PHS,,FR,12.716,stInflow
h2281,D_PHS,,IT,15.102,stInflow
h2281,D_PHS,,NO,24.7,stInflow
h2281,D_PHS,,SE,4.98,stInflow
h2282,D_PHS,,AT,7.846,stInflow
h2282,D_PHS,,CH,10.39,stInflow
h2282,D_PHS,Germany_,,5.9551,stInflow
h2282,D_PHS,,FR,12.716,stInflow
h2282,D_PHS,,IT,15.102,stInflow
h2282,D_PHS,,NO,24.7,stInflow
h2282,D_PHS,,SE,4.98,stInflow
h2283,D_PHS,,AT,7.846,stInflow
h2283,D_PHS,,CH,10.39,stInflow
h2283,D_PHS,Germany_,,5.9551,stInflow
h2283,D_PHS,,FR,12.716,stInflow
h2283,D_PHS,,IT,15.102,stInflow
h2283,D_PHS,,NO,24.7,stInflow
h2283,D_PHS,,SE,4.98,stInflow
h2284,D_PHS,,AT,7.846,stInflow
h2284,D_PHS,,CH,10.39,stInflow
h2284,D_PHS,Germany_,,5.9551,stInflow
h2284,D_PHS,,FR,12.716,stInflow
h2284,D_PHS,,IT,15.102,stInflow
h2284,D_PHS,,NO,24.7,stInflow
h2284,D_PHS,,SE,4.98,stInflow
h2285,D_PHS,,AT,7.846,stInflow
h2285,D_PHS,,CH,10.39,stInflow
h2285,D_PHS,Germany_,,5.9551,stInflow
h2285,D_PHS,,FR,12.716,stInflow
h2285,D_PHS,,IT,15.102,stInflow
h2285,D_PHS,,NO,24.7,stInflow
h2285,D_PHS,,SE,4.98,stInflow
h2286,D_PHS,,AT,7.846,stInflow
h2286,D_PHS,,CH,10.39,stInflow
h2286,D_PHS,Germany_,,5.9551,stInflow
h2286,D_PHS,,FR,12.716,stInflow
h2286,D_PHS,,IT,15.102,stInflow
h2286,D_PHS,,NO,24.7,stInflow
h2286,D_PHS,,SE,4.98,stInflow
h2287,D_PHS,,AT,7.846,stInflow
h2287,D_PHS,,CH,10.39,stInflow
h2287,D_PHS,Germany_,,5.9551,stInflow
h2287,D_PHS,,FR,12.716,stInflow
h2287,D_PHS,,IT,15.102,stInflow
h2287,D_PHS,,NO,24.7,stInflow
h2287,D_PHS,,SE,4.98,stInflow
h2288,D_PHS,,AT,7.846,stInflow
h2288,D_PHS,,CH,10.39,stInflow
h2288,D_PHS,Germany_,,5.9551,stInflow
h2288,D_PHS,,FR,12.716,stInflow
h2288,D_PHS,,IT,15.102,stInflow
h2288,D_PHS,,NO,24.7,stInflow
h2288,D_PHS,,SE,4.98,stInflow
h2289,D_PHS,,AT,7.846,stInflow
h2289,D_PHS,,CH,10.39,stInflow
h2289,D_PHS,Germany_,,5.9551,stInflow
h2289,D_PHS,,FR,12.716,stInflow
h2289,D_PHS,,IT,15.102,stInflow
h2289,D_PHS,,NO,24.7,stInflow
h2289,D_PHS,,SE,4.98,stInflow
h2290,D_PHS,,AT,7.846,stInflow
h2290,D_PHS,,CH,10.39,stInflow
h2290,D_PHS,Germany_,,5.9551,stInflow
h2290,D_PHS,,FR,12.716,stInflow
h2290,D_PHS,,IT,15.102,stInflow
h2290,D_PHS,,NO,24.7,stInflow
h2290,D_PHS,,SE,4.98,stInflow
h2291,D_PHS,,AT,7.846,stInflow
h2291,D_PHS,,CH,10.39,stInflow
h2291,D_PHS,Germany_,,5.9551,stInflow
h2291,D_PHS,,FR,12.716,stInflow
h2291,D_PHS,,IT,15.102,stInflow
h2291,D_PHS,,NO,24.7,stInflow
h2291,D_PHS,,SE,4.98,stInflow
h2292,D_PHS,,AT,7.846,stInflow
h2292,D_PHS,,CH,10.39,stInflow
h2292,D_PHS,Germany_,,5.9551,stInflow
h2292,D_PHS,,FR,12.716,stInflow
h2292,D_PHS,,IT,15.102,stInflow
h2292,D_PHS,,NO,24.7,stInflow
h2292,D_PHS,,SE,4.98,stInflow
h2293,D_PHS,,AT,7.846,stInflow
h2293,D_PHS,,CH,10.39,stInflow
h2293,D_PHS,Germany_,,5.9551,stInflow
h2293,D_PHS,,FR,12.716,stInflow
h2293,D_PHS,,IT,15.102,stInflow
h2293,D_PHS,,NO,24.7,stInflow
h2293,D_PHS,,SE,4.98,stInflow
h2294,D_PHS,,AT,7.846,stInflow
h2294,D_PHS,,CH,10.39,stInflow
h2294,D_PHS,Germany_,,5.9551,stInflow
h2294,D_PHS,,FR,12.716,stInflow
h2294,D_PHS,,IT,15.102,stInflow
h2294,D_PHS,,NO,24.7,stInflow
h2294,D_PHS,,SE,4.98,stInflow
h2295,D_PHS,,AT,7.846,stInflow
h2295,D_PHS,,CH,10.39,stInflow
h2295,D_PHS,Germany_,,5.9551,stInflow
h2295,D_PHS,,FR,12.716,stInflow
h2295,D_PHS,,IT,15.102,stInflow
h2295,D_PHS,,NO,24.7,stInflow
h2295,D_PHS,,SE,4.98,stInflow
h2296,D_PHS,,AT,7.846,stInflow
h2296,D_PHS,,CH,10.39,stInflow
h2296,D_PHS,Germany_,,5.9551,stInflow
h2296,D_PHS,,FR,12.716,stInflow
h2296,D_PHS,,IT,15.102,stInflow
h2296,D_PHS,,NO,24.7,stInflow
h2296,D_PHS,,SE,4.98,stInflow
h2297,D_PHS,,AT,7.846,stInflow
h2297,D_PHS,,CH,10.39,stInflow
h2297,D_PHS,Germany_,,5.9551,stInflow
h2297,D_PHS,,FR,12.716,stInflow
h2297,D_PHS,,IT,15.102,stInflow
h2297,D_PHS,,NO,24.7,stInflow
h2297,D_PHS,,SE,4.98,stInflow
h2298,D_PHS,,AT,7.846,stInflow
h2298,D_PHS,,CH,10.39,stInflow
h2298,D_PHS,Germany_,,5.9551,stInflow
h2298,D_PHS,,FR,12.716,stInflow
h2298,D_PHS,,IT,15.102,stInflow
h2298,D_PHS,,NO,24.7,stInflow
h2298,D_PHS,,SE,4.98,stInflow
h2299,D_PHS,,AT,7.846,stInflow
h2299,D_PHS,,CH,10.39,stInflow
h2299,D_PHS,Germany_,,5.9551,stInflow
h2299,D_PHS,,FR,12.716,stInflow
h2299,D_PHS,,IT,15.102,stInflow
h2299,D_PHS,,NO,24.7,stInflow
h2299,D_PHS,,SE,4.98,stInflow
h2300,D_PHS,,AT,7.846,stInflow
h2300,D_PHS,,CH,10.39,stInflow
h2300,D_PHS,Germany_,,5.9551,stInflow
h2300,D_PHS,,FR,12.716,stInflow
h2300,D_PHS,,IT,15.102,stInflow
h2300,D_PHS,,NO,24.7,stInflow
h2300,D_PHS,,SE,4.98,stInflow
h2301,D_PHS,,AT,7.846,stInflow
h2301,D_PHS,,CH,10.39,stInflow
h2301,D_PHS,Germany_,,5.9551,stInflow
h2301,D_PHS,,FR,12.716,stInflow
h2301,D_PHS,,IT,15.102,stInflow
h2301,D_PHS,,NO,24.7,stInflow
h2301,D_PHS,,SE,4.98,stInflow
h2302,D_PHS,,AT,7.846,stInflow
h2302,D_PHS,,CH,10.39,stInflow
h2302,D_PHS,Germany_,,5.9551,stInflow
h2302,D_PHS,,FR,12.716,stInflow
h2302,D_PHS,,IT,15.102,stInflow
h2302,D_PHS,,NO,24.7,stInflow
h2302,D_PHS,,SE,4.98,stInflow
h2303,D_PHS,,AT,7.846,stInflow
h2303,D_PHS,,CH,10.39,stInflow
h2303,D_PHS,Germany_,,5.9551,stInflow
h2303,D_PHS,,FR,12.716,stInflow
h2303,D_PHS,,IT,15.102,stInflow
h2303,D_PHS,,NO,24.7,stInflow
h2303,D_PHS,,SE,4.98,stInflow
h2304,D_PHS,,AT,7.846,stInflow
h2304,D_PHS,,CH,10.39,stInflow
h2304,D_PHS,Germany_,,5.9551,stInflow
h2304,D_PHS,,FR,12.716,stInflow
h2304,D_PHS,,IT,15.102,stInflow
h2304,D_PHS,,NO,24.7,stInflow
h2304,D_PHS,,SE,4.98,stInflow
h2305,D_PHS,,AT,7.846,stInflow
h2305,D_PHS,,CH,10.39,stInflow
h2305,D_PHS,Germany_,,5.9551,stInflow
h2305,D_PHS,,FR,12.716,stInflow
h2305,D_PHS,,IT,15.102,stInflow
h2305,D_PHS,,NO,24.7,stInflow
h2305,D_PHS,,SE,4.98,stInflow
h2306,D_PHS,,AT,7.846,stInflow
h2306,D_PHS,,CH,10.39,stInflow
h2306,D_PHS,Germany_,,5.9551,stInflow
h2306,D_PHS,,FR,12.716,stInflow
h2306,D_PHS,,IT,15.102,stInflow
h2306,D_PHS,,NO,24.7,stInflow
h2306,D_PHS,,SE,4.98,stInflow
h2307,D_PHS,,AT,7.846,stInflow
h2307,D_PHS,,CH,10.39,stInflow
h2307,D_PHS,Germany_,,5.9551,stInflow
h2307,D_PHS,,FR,12.716,stInflow
h2307,D_PHS,,IT,15.102,stInflow
h2307,D_PHS,,NO,24.7,stInflow
h2307,D_PHS,,SE,4.98,stInflow
h2308,D_PHS,,AT,7.846,stInflow
h2308,D_PHS,,CH,10.39,stInflow
h2308,D_PHS,Germany_,,5.9551,stInflow
h2308,D_PHS,,FR,12.716,stInflow
h2308,D_PHS,,IT,15.102,stInflow
h2308,D_PHS,,NO,24.7,stInflow
h2308,D_PHS,,SE,4.98,stInflow
h2309,D_PHS,,AT,7.846,stInflow
h2309,D_PHS,,CH,10.39,stInflow
h2309,D_PHS,Germany_,,5.9551,stInflow
h2309,D_PHS,,FR,12.716,stInflow
h2309,D_PHS,,IT,15.102,stInflow
h2309,D_PHS,,NO,24.7,stInflow
h2309,D_PHS,,SE,4.98,stInflow
h2310,D_PHS,,AT,7.846,stInflow
h2310,D_PHS,,CH,10.39,stInflow
h2310,D_PHS,Germany_,,5.9551,stInflow
h2310,D_PHS,,FR,12.716,stInflow
h2310,D_PHS,,IT,15.102,stInflow
h2310,D_PHS,,NO,24.7,stInflow
h2310,D_PHS,,SE,4.98,stInflow
h2311,D_PHS,,AT,7.846,stInflow
h2311,D_PHS,,CH,10.39,stInflow
h2311,D_PHS,Germany_,,5.9551,stInflow
h2311,D_PHS,,FR,12.716,stInflow
h2311,D_PHS,,IT,15.102,stInflow
h2311,D_PHS,,NO,24.7,stInflow
h2311,D_PHS,,SE,4.98,stInflow
h2312,D_PHS,,AT,7.846,stInflow
h2312,D_PHS,,CH,10.39,stInflow
h2312,D_PHS,Germany_,,5.9551,stInflow
h2312,D_PHS,,FR,12.716,stInflow
h2312,D_PHS,,IT,15.102,stInflow
h2312,D_PHS,,NO,24.7,stInflow
h2312,D_PHS,,SE,4.98,stInflow
h2313,D_PHS,,AT,7.846,stInflow
h2313,D_PHS,,CH,10.39,stInflow
h2313,D_PHS,Germany_,,5.9551,stInflow
h2313,D_PHS,,FR,12.716,stInflow
h2313,D_PHS,,IT,15.102,stInflow
h2313,D_PHS,,NO,24.7,stInflow
h2313,D_PHS,,SE,4.98,stInflow
h2314,D_PHS,,AT,7.846,stInflow
h2314,D_PHS,,CH,10.39,stInflow
h2314,D_PHS,Germany_,,5.9551,stInflow
h2314,D_PHS,,FR,12.716,stInflow
h2314,D_PHS,,IT,15.102,stInflow
h2314,D_PHS,,NO,24.7,stInflow
h2314,D_PHS,,SE,4.98,stInflow
h2315,D_PHS,,AT,7.846,stInflow
h2315,D_PHS,,CH,10.39,stInflow
h2315,D_PHS,Germany_,,5.9551,stInflow
h2315,D_PHS,,FR,12.716,stInflow
h2315,D_PHS,,IT,15.102,stInflow
h2315,D_PHS,,NO,24.7,stInflow
h2315,D_PHS,,SE,4.98,stInflow
h2316,D_PHS,,AT,7.846,stInflow
h2316,D_PHS,,CH,10.39,stInflow
h2316,D_PHS,Germany_,,5.9551,stInflow
h2316,D_PHS,,FR,12.716,stInflow
h2316,D_PHS,,IT,15.102,stInflow
h2316,D_PHS,,NO,24.7,stInflow
h2316,D_PHS,,SE,4.98,stInflow
h2317,D_PHS,,AT,7.846,stInflow
h2317,D_PHS,,CH,10.39,stInflow
h2317,D_PHS,Germany_,,5.9551,stInflow
h2317,D_PHS,,FR,12.716,stInflow
h2317,D_PHS,,IT,15.102,stInflow
h2317,D_PHS,,NO,24.7,stInflow
h2317,D_PHS,,SE,4.98,stInflow
h2318,D_PHS,,AT,7.846,stInflow
h2318,D_PHS,,CH,10.39,stInflow
h2318,D_PHS,Germany_,,5.9551,stInflow
h2318,D_PHS,,FR,12.716,stInflow
h2318,D_PHS,,IT,15.102,stInflow
h2318,D_PHS,,NO,24.7,stInflow
h2318,D_PHS,,SE,4.98,stInflow
h2319,D_PHS,,AT,7.846,stInflow
h2319,D_PHS,,CH,10.39,stInflow
h2319,D_PHS,Germany_,,5.9551,stInflow
h2319,D_PHS,,FR,12.716,stInflow
h2319,D_PHS,,IT,15.102,stInflow
h2319,D_PHS,,NO,24.7,stInflow
h2319,D_PHS,,SE,4.98,stInflow
h2320,D_PHS,,AT,7.846,stInflow
h2320,D_PHS,,CH,10.39,stInflow
h2320,D_PHS,Germany_,,5.9551,stInflow
h2320,D_PHS,,FR,12.716,stInflow
h2320,D_PHS,,IT,15.102,stInflow
h2320,D_PHS,,NO,24.7,stInflow
h2320,D_PHS,,SE,4.98,stInflow
h2321,D_PHS,,AT,7.846,stInflow
h2321,D_PHS,,CH,10.39,stInflow
h2321,D_PHS,Germany_,,5.9551,stInflow
h2321,D_PHS,,FR,12.716,stInflow
h2321,D_PHS,,IT,15.102,stInflow
h2321,D_PHS,,NO,24.7,stInflow
h2321,D_PHS,,SE,4.98,stInflow
h2322,D_PHS,,AT,7.846,stInflow
h2322,D_PHS,,CH,10.39,stInflow
h2322,D_PHS,Germany_,,5.9551,stInflow
h2322,D_PHS,,FR,12.716,stInflow
h2322,D_PHS,,IT,15.102,stInflow
h2322,D_PHS,,NO,24.7,stInflow
h2322,D_PHS,,SE,4.98,stInflow
h2323,D_PHS,,AT,7.846,stInflow
h2323,D_PHS,,CH,10.39,stInflow
h2323,D_PHS,Germany_,,5.9551,stInflow
h2323,D_PHS,,FR,12.716,stInflow
h2323,D_PHS,,IT,15.102,stInflow
h2323,D_PHS,,NO,24.7,stInflow
h2323,D_PHS,,SE,4.98,stInflow
h2324,D_PHS,,AT,7.846,stInflow
h2324,D_PHS,,CH,10.39,stInflow
h2324,D_PHS,Germany_,,5.9551,stInflow
h2324,D_PHS,,FR,12.716,stInflow
h2324,D_PHS,,IT,15.102,stInflow
h2324,D_PHS,,NO,24.7,stInflow
h2324,D_PHS,,SE,4.98,stInflow
h2325,D_PHS,,AT,7.846,stInflow
h2325,D_PHS,,CH,10.39,stInflow
h2325,D_PHS,Germany_,,5.9551,stInflow
h2325,D_PHS,,FR,12.716,stInflow
h2325,D_PHS,,IT,15.102,stInflow
h2325,D_PHS,,NO,24.7,stInflow
h2325,D_PHS,,SE,4.98,stInflow
h2326,D_PHS,,AT,7.846,stInflow
h2326,D_PHS,,CH,10.39,stInflow
h2326,D_PHS,Germany_,,5.9551,stInflow
h2326,D_PHS,,FR,12.716,stInflow
h2326,D_PHS,,IT,15.102,stInflow
h2326,D_PHS,,NO,24.7,stInflow
h2326,D_PHS,,SE,4.98,stInflow
h2327,D_PHS,,AT,7.846,stInflow
h2327,D_PHS,,CH,10.39,stInflow
h2327,D_PHS,Germany_,,5.9551,stInflow
h2327,D_PHS,,FR,12.716,stInflow
h2327,D_PHS,,IT,15.102,stInflow
h2327,D_PHS,,NO,24.7,stInflow
h2327,D_PHS,,SE,4.98,stInflow
h2328,D_PHS,,AT,7.846,stInflow
h2328,D_PHS,,CH,10.39,stInflow
h2328,D_PHS,Germany_,,5.9551,stInflow
h2328,D_PHS,,FR,12.716,stInflow
h2328,D_PHS,,IT,15.102,stInflow
h2328,D_PHS,,NO,24.7,stInflow
h2328,D_PHS,,SE,4.98,stInflow
h2329,D_PHS,,AT,7.846,stInflow
h2329,D_PHS,,CH,10.39,stInflow
h2329,D_PHS,Germany_,,5.9551,stInflow
h2329,D_PHS,,FR,12.716,stInflow
h2329,D_PHS,,IT,15.102,stInflow
h2329,D_PHS,,NO,24.7,stInflow
h2329,D_PHS,,SE,4.98,stInflow
h2330,D_PHS,,AT,7.846,stInflow
h2330,D_PHS,,CH,10.39,stInflow
h2330,D_PHS,Germany_,,5.9551,stInflow
h2330,D_PHS,,FR,12.716,stInflow
h2330,D_PHS,,IT,15.102,stInflow
h2330,D_PHS,,NO,24.7,stInflow
h2330,D_PHS,,SE,4.98,stInflow
h2331,D_PHS,,AT,7.846,stInflow
h2331,D_PHS,,CH,10.39,stInflow
h2331,D_PHS,Germany_,,5.9551,stInflow
h2331,D_PHS,,FR,12.716,stInflow
h2331,D_PHS,,IT,15.102,stInflow
h2331,D_PHS,,NO,24.7,stInflow
h2331,D_PHS,,SE,4.98,stInflow
h2332,D_PHS,,AT,7.846,stInflow
h2332,D_PHS,,CH,10.39,stInflow
h2332,D_PHS,Germany_,,5.9551,stInflow
h2332,D_PHS,,FR,12.716,stInflow
h2332,D_PHS,,IT,15.102,stInflow
h2332,D_PHS,,NO,24.7,stInflow
h2332,D_PHS,,SE,4.98,stInflow
h2333,D_PHS,,AT,7.846,stInflow
h2333,D_PHS,,CH,10.39,stInflow
h2333,D_PHS,Germany_,,5.9551,stInflow
h2333,D_PHS,,FR,12.716,stInflow
h2333,D_PHS,,IT,15.102,stInflow
h2333,D_PHS,,NO,24.7,stInflow
h2333,D_PHS,,SE,4.98,stInflow
h2334,D_PHS,,AT,7.846,stInflow
h2334,D_PHS,,CH,10.39,stInflow
h2334,D_PHS,Germany_,,5.9551,stInflow
h2334,D_PHS,,FR,12.716,stInflow
h2334,D_PHS,,IT,15.102,stInflow
h2334,D_PHS,,NO,24.7,stInflow
h2334,D_PHS,,SE,4.98,stInflow
h2335,D_PHS,,AT,7.846,stInflow
h2335,D_PHS,,CH,10.39,stInflow
h2335,D_PHS,Germany_,,5.9551,stInflow
h2335,D_PHS,,FR,12.716,stInflow
h2335,D_PHS,,IT,15.102,stInflow
h2335,D_PHS,,NO,24.7,stInflow
h2335,D_PHS,,SE,4.98,stInflow
h2336,D_PHS,,AT,7.846,stInflow
h2336,D_PHS,,CH,10.39,stInflow
