region_2,technology_1,technology_2,parameter,value
DE71,rooftop,rooftop_c,capaConvUp,0.9599061075637726
DE72,rooftop,rooftop_a,capaConvUp,0.8947626953104653
DE72,rooftop,rooftop_b,capaConvUp,1.0316648230632748
DE72,rooftop,rooftop_c,capaConvUp,0.39569697209826304
DE73,rooftop,rooftop_a,capaConvUp,0.6713458433633728
DE73,rooftop,rooftop_b,capaConvUp,0.4208046148930141
DE73,rooftop,rooftop_c,capaConvUp,1.7701684713691606
DE80,rooftop,rooftop_a,capaConvUp,1.1897360249607458
DE80,rooftop,rooftop_b,capaConvUp,1.6414163019944397
DE80,rooftop,rooftop_c,capaConvUp,1.1658821640269443
DE91,rooftop,rooftop_a,capaConvUp,1.311120989650118
DE91,rooftop,rooftop_b,capaConvUp,0.3241946999223537
DE91,rooftop,rooftop_c,capaConvUp,1.9341855165635118
DE13,rooftop,rooftop_a,capaConvUp,2.4403968093663773
DE13,rooftop,rooftop_b,capaConvUp,0.9314588421151981
DE13,rooftop,rooftop_c,capaConvUp,0.35198214598227917
DE24,rooftop,rooftop_a,capaConvUp,1.0090919136119552
DE24,rooftop,rooftop_b,capaConvUp,0.10403083401794544
DE24,rooftop,rooftop_c,capaConvUp,1.2450244302332698
DE27,rooftop,rooftop_a,capaConvUp,0.6875921984233102
DE27,rooftop,rooftop_b,capaConvUp,2.354447183946195
DE27,rooftop,rooftop_c,capaConvUp,0.6794677147693037
DE14,rooftop,rooftop_a,capaConvUp,1.2114433397029984
DE14,rooftop,rooftop_b,capaConvUp,0.5022332491607354
DE14,rooftop,rooftop_c,capaConvUp,1.7644255649719751
DE30,rooftop,rooftop_a,capaConvUp,0.27659027459164454
DE30,rooftop,rooftop_b,capaConvUp,2.300143248657759
DE30,rooftop,rooftop_c,capaConvUp,0.5105530051627896
