region_2,technology_1,technology_2,parameter,value
AT,openspace,openspace_a,capaConvUp,15.05
BE,openspace,openspace_a,capaConvUp,14.6
BG,openspace,openspace_a,capaConvUp,8.45
CH,openspace,openspace_a,capaConvUp,9.35
CZ,openspace,openspace_a,capaConvUp,19
DK,openspace,openspace_a,capaConvUp,8.7
EE,openspace,openspace_a,capaConvUp,1.3
ES,openspace,openspace_a,capaConvUp,118.5
FI,openspace,openspace_a,capaConvUp,13
FR,openspace,openspace_a,capaConvUp,114.2
GR,openspace,openspace_a,capaConvUp,39
HR,openspace,openspace_a,capaConvUp,5.85
HU,openspace,openspace_a,capaConvUp,11.65
IE,openspace,openspace_a,capaConvUp,8.15
IT,openspace,openspace_a,capaConvUp,74.1
LT,openspace,openspace_a,capaConvUp,15
LU,openspace,openspace_a,capaConvUp,1.05
LV,openspace,openspace_a,capaConvUp,12
NL,openspace,openspace_a,capaConvUp,18.05
NO,openspace,openspace_a,capaConvUp,6
NONEU_Balkan,openspace,openspace_a,capaConvUp,43.8
PL,openspace,openspace_a,capaConvUp,75
PT,openspace,openspace_a,capaConvUp,12.55
RO,openspace,openspace_a,capaConvUp,63
SE,openspace,openspace_a,capaConvUp,21.45
SI,openspace,openspace_a,capaConvUp,2.85
SK,openspace,openspace_a,capaConvUp,8.8
TR,openspace,openspace_a,capaConvUp,220.45
UK,openspace,openspace_a,capaConvUp,76.5
AT,openspace,openspace_b,capaConvUp,15.05
BE,openspace,openspace_b,capaConvUp,14.6
BG,openspace,openspace_b,capaConvUp,8.45
CH,openspace,openspace_b,capaConvUp,9.35
CZ,openspace,openspace_b,capaConvUp,19
DK,openspace,openspace_b,capaConvUp,8.7
EE,openspace,openspace_b,capaConvUp,1.3
ES,openspace,openspace_b,capaConvUp,118.5
FI,openspace,openspace_b,capaConvUp,13
FR,openspace,openspace_b,capaConvUp,114.2
GR,openspace,openspace_b,capaConvUp,39
HR,openspace,openspace_b,capaConvUp,5.85
HU,openspace,openspace_b,capaConvUp,11.65
IE,openspace,openspace_b,capaConvUp,8.15
IT,openspace,openspace_b,capaConvUp,74.1
LT,openspace,openspace_b,capaConvUp,15
LU,openspace,openspace_b,capaConvUp,1.05
LV,openspace,openspace_b,capaConvUp,12
NL,openspace,openspace_b,capaConvUp,18.05
NO,openspace,openspace_b,capaConvUp,6
NONEU_Balkan,openspace,openspace_b,capaConvUp,43.8
PL,openspace,openspace_b,capaConvUp,75
PT,openspace,openspace_b,capaConvUp,12.55
RO,openspace,openspace_b,capaConvUp,63
SE,openspace,openspace_b,capaConvUp,21.45
SI,openspace,openspace_b,capaConvUp,2.85
SK,openspace,openspace_b,capaConvUp,8.8
TR,openspace,openspace_b,capaConvUp,220.45
UK,openspace,openspace_b,capaConvUp,76.5
