region_1,region_2,technology_1,technology_2,parameter_1,value_1
DE,DE13,wind_offshore,offshore_c,capaConvUp,0
DE,DE24,wind_offshore,offshore_c,capaConvUp,0
DE,DE27,wind_offshore,offshore_c,capaConvUp,0
DE,DE14,wind_offshore,offshore_c,capaConvUp,0
DE,DE30,wind_offshore,offshore_c,capaConvUp,0
,DE11,openspace,openspace_a,capaConvUp,0.965592357
,DE11,openspace,openspace_b,capaConvUp,1.429203166
,DE12,openspace,openspace_a,capaConvUp,1.026227429
,DE12,openspace,openspace_b,capaConvUp,0.249855355
,DE94,openspace,openspace_a,capaConvUp,9.232937547
,DE94,openspace,openspace_b,capaConvUp,0.879600983
,DEA1,openspace,openspace_a,capaConvUp,0.92890776
,DEA1,openspace,openspace_b,capaConvUp,0.220862238
,DEA4,openspace,openspace_a,capaConvUp,8.031331135
,DEA4,openspace,openspace_b,capaConvUp,0.314458001
,DEA5,openspace,openspace_a,capaConvUp,0.572719037
,DEA5,openspace,openspace_b,capaConvUp,0.450950918
,DEB3,openspace,openspace_a,capaConvUp,0.508845287
,DEB3,openspace,openspace_b,capaConvUp,1.117852723
,DED2,openspace,openspace_a,capaConvUp,1.61695294
,DED2,openspace,openspace_b,capaConvUp,0.539044267
,DED4,openspace,openspace_a,capaConvUp,1.080398658
,DED4,openspace,openspace_b,capaConvUp,0.453328129
,DED5,openspace,openspace_a,capaConvUp,0.793386835
,DED5,openspace,openspace_b,capaConvUp,0.189805355
,DEE0,openspace,openspace_a,capaConvUp,2.622770523
,DEE0,openspace,openspace_b,capaConvUp,16.57045717
,DEF0,openspace,openspace_a,capaConvUp,1.63055264
,DEF0,openspace,openspace_b,capaConvUp,4.008142363
,DEG0,openspace,openspace_a,capaConvUp,0.798063573
,DEG0,openspace,openspace_b,capaConvUp,9.247205467
,DE92,openspace,openspace_a,capaConvUp,0.319245045
,DE92,openspace,openspace_b,capaConvUp,15.46945848
,DE93,openspace,openspace_a,capaConvUp,1.21863172
,DE93,openspace,openspace_b,capaConvUp,3.184016302
,DEA2,openspace,openspace_a,capaConvUp,0.485139322
,DEA2,openspace,openspace_b,capaConvUp,1.34893633
,DEB1,openspace,openspace_a,capaConvUp,0.581439423
