region_2,region_3,technology_1,technology_2,parameter_1,value_1
Germany_,DE94,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,8.6
Germany_,DEA1,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,5.7
Germany_,DEA4,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,12.9
Germany_,DEA5,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,9
Germany_,DEB3,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,5
Germany_,DED2,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,7.5
Germany_,DED4,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,11.5
Germany_,DED5,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,1.2
Germany_,DEE0,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,24.8
Germany_,DEF0,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,17
Germany_,DEG0,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,13.1
Germany_,DE92,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,2.2
Germany_,DE93,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,11.6
Germany_,DEA2,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,3.3
Germany_,DEB1,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,4.8
Germany_,DEC0,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,1.6
Germany_,DEA3,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,1.5
Germany_,DEB2,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,2.6
Germany_,DE21,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,12.7
Germany_,DE22,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,2.6
Germany_,DE23,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,6.4
Germany_,DE25,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,4.9
Germany_,DE26,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,3.1
Germany_,DE40,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,19.08808518
Germany_,DE50,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,0
Germany_,DE60,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,0.1
Germany_,DE71,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,4.2
Germany_,DE72,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,3.5
Germany_,DE73,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,3.6
Germany_,DE80,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,15.1
Germany_,DE91,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,2.1
Germany_,DE13,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,5.2
Germany_,DE24,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,4.1
Germany_,DE27,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,3.2
Germany_,DE14,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,4.8
Germany_,DE30,wind_onshore,RES_Wind_Onshore_Avg,capaConvUp,0.1
Germany_,DE11,wind_offshore,,capaConvUp,0
Germany_,DE12,wind_offshore,,capaConvUp,0
Germany_,DE94,wind_offshore,,capaConvUp,15
Germany_,DEA1,wind_offshore,,capaConvUp,0
Germany_,DEA4,wind_offshore,,capaConvUp,0
Germany_,DEA5,wind_offshore,,capaConvUp,0
Germany_,DEB3,wind_offshore,,capaConvUp,0
Germany_,DED2,wind_offshore,,capaConvUp,0
Germany_,DED4,wind_offshore,,capaConvUp,0
Germany_,DED5,wind_offshore,,capaConvUp,0
Germany_,DEE0,wind_offshore,,capaConvUp,0
Germany_,DEF0,wind_offshore,,capaConvUp,15
Germany_,DEG0,wind_offshore,,capaConvUp,0
Germany_,DE92,wind_offshore,,capaConvUp,0
Germany_,DE93,wind_offshore,,capaConvUp,0
Germany_,DEA2,wind_offshore,,capaConvUp,0
Germany_,DEB1,wind_offshore,,capaConvUp,0
Germany_,DEC0,wind_offshore,,capaConvUp,0
Germany_,DEA3,wind_offshore,,capaConvUp,0
Germany_,DEB2,wind_offshore,,capaConvUp,0
Germany_,DE21,wind_offshore,,capaConvUp,0
Germany_,DE22,wind_offshore,,capaConvUp,0
Germany_,DE23,wind_offshore,,capaConvUp,0
Germany_,DE25,wind_offshore,,capaConvUp,0
Germany_,DE26,wind_offshore,,capaConvUp,0
Germany_,DE40,wind_offshore,,capaConvUp,0
Germany_,DE50,wind_offshore,,capaConvUp,0
Germany_,DE60,wind_offshore,,capaConvUp,0
Germany_,DE71,wind_offshore,,capaConvUp,0
Germany_,DE72,wind_offshore,,capaConvUp,0
Germany_,DE73,wind_offshore,,capaConvUp,0
Germany_,DE80,wind_offshore,,capaConvUp,10
Germany_,DE91,wind_offshore,,capaConvUp,0
Germany_,DE13,wind_offshore,,capaConvUp,0
Germany_,DE24,wind_offshore,,capaConvUp,0
Germany_,DE27,wind_offshore,,capaConvUp,0
Germany_,DE14,wind_offshore,,capaConvUp,0
Germany_,DE30,wind_offshore,,capaConvUp,0
Germany_,DE11,D_PHS,,capaStSizeFix,0
Germany_,DE12,D_PHS,,capaStSizeFix,0.301
Germany_,DE94,D_PHS,,capaStSizeFix,0
Germany_,DEA1,D_PHS,,capaStSizeFix,0
Germany_,DEA4,D_PHS,,capaStSizeFix,0
Germany_,DEA5,D_PHS,,capaStSizeFix,1.28
Germany_,DEB3,D_PHS,,capaStSizeFix,0
Germany_,DED2,D_PHS,,capaStSizeFix,0.79
Germany_,DED4,D_PHS,,capaStSizeFix,4.02
Germany_,DED5,D_PHS,,capaStSizeFix,0
Germany_,DEE0,D_PHS,,capaStSizeFix,0
Germany_,DEF0,D_PHS,,capaStSizeFix,0.534
Germany_,DEG0,D_PHS,,capaStSizeFix,12.51
Germany_,DE92,D_PHS,,capaStSizeFix,0
Germany_,DE93,D_PHS,,capaStSizeFix,0
Germany_,DEA2,D_PHS,,capaStSizeFix,0
Germany_,DEB1,D_PHS,,capaStSizeFix,0
Germany_,DEC0,D_PHS,,capaStSizeFix,0
Germany_,DEA3,D_PHS,,capaStSizeFix,0
Germany_,DEB2,D_PHS,,capaStSizeFix,4.625
Germany_,DE21,D_PHS,,capaStSizeFix,0.55
Germany_,DE22,D_PHS,,capaStSizeFix,0
Germany_,DE23,D_PHS,,capaStSizeFix,0.4
Germany_,DE25,D_PHS,,capaStSizeFix,0
Germany_,DE26,D_PHS,,capaStSizeFix,1.148
Germany_,DE40,D_PHS,,capaStSizeFix,0
Germany_,DE50,D_PHS,,capaStSizeFix,0
Germany_,DE60,D_PHS,,capaStSizeFix,0
Germany_,DE71,D_PHS,,capaStSizeFix,0
Germany_,DE72,D_PHS,,capaStSizeFix,0
Germany_,DE73,D_PHS,,capaStSizeFix,4.361
Germany_,DE80,D_PHS,,capaStSizeFix,0
Germany_,DE91,D_PHS,,capaStSizeFix,0.94
Germany_,DE13,D_PHS,,capaStSizeFix,10.391
Germany_,DE24,D_PHS,,capaStSizeFix,0
Germany_,DE27,D_PHS,,capaStSizeFix,0
Germany_,DE14,D_PHS,,capaStSizeFix,0.56
Germany_,DE30,D_PHS,,capaStSizeFix,0
Germany_,DE11,RES_Hydro_Small,,capaConvFix,0.097652572
Germany_,DE12,RES_Hydro_Small,,capaConvFix,0.274916166
Germany_,DE94,RES_Hydro_Small,,capaConvFix,0.00119141
Germany_,DEA1,RES_Hydro_Small,,capaConvFix,0.025668606
Germany_,DEA4,RES_Hydro_Small,,capaConvFix,0.011478303
Germany_,DEA5,RES_Hydro_Small,,capaConvFix,0.084411688
Germany_,DEB3,RES_Hydro_Small,,capaConvFix,0.001275955
Germany_,DED2,RES_Hydro_Small,,capaConvFix,0.16049692
Germany_,DED4,RES_Hydro_Small,,capaConvFix,0.061815853
Germany_,DED5,RES_Hydro_Small,,capaConvFix,0.006155227
Germany_,DEE0,RES_Hydro_Small,,capaConvFix,0.026085
Germany_,DEF0,RES_Hydro_Small,,capaConvFix,0.004573191
Germany_,DEG0,RES_Hydro_Small,,capaConvFix,0.031635
Germany_,DE92,RES_Hydro_Small,,capaConvFix,0.017944587
Germany_,DE93,RES_Hydro_Small,,capaConvFix,0.011146339
Germany_,DEA2,RES_Hydro_Small,,capaConvFix,0.036097288
Germany_,DEB1,RES_Hydro_Small,,capaConvFix,0.053491484
Germany_,DEC0,RES_Hydro_Small,,capaConvFix,0.011166
Germany_,DEA3,RES_Hydro_Small,,capaConvFix,0.003691166
Germany_,DEB2,RES_Hydro_Small,,capaConvFix,0.151803561
Germany_,DE21,RES_Hydro_Small,,capaConvFix,0.882979953
Germany_,DE22,RES_Hydro_Small,,capaConvFix,0.477370707
Germany_,DE23,RES_Hydro_Small,,capaConvFix,0.057572697
Germany_,DE25,RES_Hydro_Small,,capaConvFix,0.019954481
Germany_,DE26,RES_Hydro_Small,,capaConvFix,0.100889571
Germany_,DE40,RES_Hydro_Small,,capaConvFix,0.004657
Germany_,DE50,RES_Hydro_Small,,capaConvFix,0.01
Germany_,DE60,RES_Hydro_Small,,capaConvFix,0.000299809
Germany_,DE71,RES_Hydro_Small,,capaConvFix,0.025913449
Germany_,DE72,RES_Hydro_Small,,capaConvFix,0.012354225
Germany_,DE73,RES_Hydro_Small,,capaConvFix,0.044737326
Germany_,DE80,RES_Hydro_Small,,capaConvFix,0.002977
Germany_,DE91,RES_Hydro_Small,,capaConvFix,0.044780664
Germany_,DE13,RES_Hydro_Small,,capaConvFix,0.301251252
Germany_,DE24,RES_Hydro_Small,,capaConvFix,0.034058114
Germany_,DE27,RES_Hydro_Small,,capaConvFix,0.527639478
Germany_,DE14,RES_Hydro_Small,,capaConvFix,0.060695011
Germany_,DE30,RES_Hydro_Small,,capaConvFix,0
Germany_,,,RES_PV_Utility_Inf,capaConvFix,0
Germany_,,,RES_PV_Utility_Opt,capaConvFix,0
Germany_,,,RES_Wind_Onshore_Inf,capaConvFix,0
Germany_,,,RES_Wind_Onshore_Opt,capaConvFix,0
Germany_,,RES_Geothermal,,capaConvFix,0
Germany_,,RES_CSP,,capaConvFix,0
