carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_equality
electricity,electricity_central,2,1,2,2,no
electricity,electricity_decentral,2,1,2,2,yes
heatResidental,,2,1,2,2,no
heatIndustry,,2,1,2,2,no
mobility,,2,1,2,2,no
gas,hydrogen,2,1,2,2,no
gas,synthGas,2,1,1,1,no
biomass,,1,1,1,1,no
