region_expansion,technology,constraint
DE < DE72,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE72, offshore_a] == 0.0"
DE < DE73,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE73, offshore_a] == 0.0"
DE < DE80,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE80, offshore_a] == 12.06"
DE < DE91,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE91, offshore_a] == 0.0"
DE < DE92,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE92, offshore_a] == 0.0"
DE < DE93,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE93, offshore_a] == 0.0"
DE < DE94,wind_offshore < offshore_a,"100 capaConv[none, 2050, DE94, offshore_a] == 9.100000000498525"
DE < DEA1,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA1, offshore_a] == 0.0"
DE < DEA2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA2, offshore_a] == 0.0"
DE < DEA3,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA3, offshore_a] == 0.0"
DE < DEA4,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA4, offshore_a] == 0.0"
DE < DEA5,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEA5, offshore_a] == 0.0"
DE < DEB1,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB1, offshore_a] == 0.0"
DE < DEB2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB2, offshore_a] == 0.0"
DE < DEB3,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEB3, offshore_a] == 0.0"
DE < DEC0_,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEC0_, offshore_a] == 0.0"
DE < DED2,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED2, offshore_a] == 0.0"
DE < DED4,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED4, offshore_a] == 0.0"
DE < DED5,wind_offshore < offshore_a,"100 capaConv[none, 2050, DED5, offshore_a] == 0.0"
DE < DEE0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEE0, offshore_a] == 0.0"
DE < DEF0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEF0, offshore_a] == 28.800000000000004"
DE < DEG0,wind_offshore < offshore_a,"100 capaConv[none, 2050, DEG0, offshore_a] == 0.0"
DE < DE11,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE11, offshore_b] == 0.0"
DE < DE12,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE12, offshore_b] == 0.0"
DE < DE13,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE13, offshore_b] == 0.0"
DE < DE14,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE14, offshore_b] == 0.0"
DE < DE21,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE21, offshore_b] == 0.0"
DE < DE22,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE22, offshore_b] == 0.0"
DE < DE23,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE23, offshore_b] == 0.0"
DE < DE24,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE24, offshore_b] == 0.0"
DE < DE25,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE25, offshore_b] == 0.0"
DE < DE26,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE26, offshore_b] == 0.0"
DE < DE27,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE27, offshore_b] == 0.0"
DE < DE30,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE30, offshore_b] == 0.0"
DE < DE40,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE40, offshore_b] == 0.0"
DE < DE50,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE50, offshore_b] == 0.0"
DE < DE60,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE60, offshore_b] == 0.0"
DE < DE71,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE71, offshore_b] == 0.0"
DE < DE72,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE72, offshore_b] == 0.0"
DE < DE73,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE73, offshore_b] == 0.0"
DE < DE80,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE80, offshore_b] == 2.4"
DE < DE91,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE91, offshore_b] == 0.0"
DE < DE92,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE92, offshore_b] == 0.0"
DE < DE93,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE93, offshore_b] == 0.0"
DE < DE94,wind_offshore < offshore_b,"100 capaConv[none, 2050, DE94, offshore_b] == 1.82"
DE < DEA1,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEA1, offshore_b] == 0.0"
DE < DEA2,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEA2, offshore_b] == 0.0"
DE < DEA3,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEA3, offshore_b] == 0.0"
DE < DEA4,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEA4, offshore_b] == 0.0"
DE < DEA5,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEA5, offshore_b] == 0.0"
DE < DEB1,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEB1, offshore_b] == 0.0"
DE < DEB2,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEB2, offshore_b] == 0.0"
DE < DEB3,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEB3, offshore_b] == 0.0"
DE < DEC0_,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEC0_, offshore_b] == 0.0"
DE < DED2,wind_offshore < offshore_b,"100 capaConv[none, 2050, DED2, offshore_b] == 0.0"
DE < DED4,wind_offshore < offshore_b,"100 capaConv[none, 2050, DED4, offshore_b] == 0.0"
DE < DED5,wind_offshore < offshore_b,"100 capaConv[none, 2050, DED5, offshore_b] == 0.0"
DE < DEE0,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEE0, offshore_b] == 0.0"
DE < DEF0,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEF0, offshore_b] == 5.760000000470074"
DE < DEG0,wind_offshore < offshore_b,"100 capaConv[none, 2050, DEG0, offshore_b] == 0.0"
DE < DE11,rooftop < rooftop_c,"100 capaConv[none, 2050, DE11, rooftop_c] == 2.172118236586683"
DE < DE12,rooftop < rooftop_c,"100 capaConv[none, 2050, DE12, rooftop_c] == 2.3585575145989734"
DE < DE13,rooftop < rooftop_c,"100 capaConv[none, 2050, DE13, rooftop_c] == 0.8532965126346267"
DE < DE14,rooftop < rooftop_c,"100 capaConv[none, 2050, DE14, rooftop_c] == 2.0549050835897"
DE < DE21,rooftop < rooftop_c,"100 capaConv[none, 2050, DE21, rooftop_c] == 1.4554944175891305"
DE < DE22,rooftop < rooftop_c,"100 capaConv[none, 2050, DE22, rooftop_c] == 1.481545691"
DE < DE23,rooftop < rooftop_c,"100 capaConv[none, 2050, DE23, rooftop_c] == 0.6658744996490853"
DE < DE24,rooftop < rooftop_c,"100 capaConv[none, 2050, DE24, rooftop_c] == 0.11497823271732723"
DE < DE25,rooftop < rooftop_c,"100 capaConv[none, 2050, DE25, rooftop_c] == 1.3843152785962252"
DE < DE26,rooftop < rooftop_c,"100 capaConv[none, 2050, DE26, rooftop_c] == 1.3992123616235024"
DE < DE27,rooftop < rooftop_c,"100 capaConv[none, 2050, DE27, rooftop_c] == 2.5445316026259803"
DE < DE30,rooftop < rooftop_c,"100 capaConv[none, 2050, DE30, rooftop_c] == 0.10146847070727402"
DE < DE40,rooftop < rooftop_c,"100 capaConv[none, 2050, DE40, rooftop_c] == 1.5085720035748897"
DE < DE50,rooftop < rooftop_c,"100 capaConv[none, 2050, DE50, rooftop_c] == 0.035016702729200586"
DE < DE60,rooftop < rooftop_c,"100 capaConv[none, 2050, DE60, rooftop_c] == 0.04256422970699319"
DE < DE71,rooftop < rooftop_c,"100 capaConv[none, 2050, DE71, rooftop_c] == 2.757468615593205"
DE < DE72,rooftop < rooftop_c,"100 capaConv[none, 2050, DE72, rooftop_c] == 0.8947626946370123"
DE < DE73,rooftop < rooftop_c,"100 capaConv[none, 2050, DE73, rooftop_c] == 1.7685881506018557"
DE < DE80,rooftop < rooftop_c,"100 capaConv[none, 2050, DE80, rooftop_c] == 1.2507005315940538"
DE < DE91,rooftop < rooftop_c,"100 capaConv[none, 2050, DE91, rooftop_c] == 2.0402214245836476"
DE < DE92,rooftop < rooftop_c,"100 capaConv[none, 2050, DE92, rooftop_c] == 1.8075861175763406"
DE < DE93,rooftop < rooftop_c,"100 capaConv[none, 2050, DE93, rooftop_c] == 3.028771343554998"
DE < DE94,rooftop < rooftop_c,"100 capaConv[none, 2050, DE94, rooftop_c] == 3.5929746565279084"
DE < DEA1,rooftop < rooftop_c,"100 capaConv[none, 2050, DEA1, rooftop_c] == 3.7554333905564397"
