region_expansion,technology,constraint
DE < DEB1,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEB1, onshore_b] == 1.8042139144947376"
DE < DEB2,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEB2, onshore_b] == 1.8364221344988378"
DE < DEB3,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEB3, onshore_b] == 1.6228806924934047"
DE < DEC0_,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEC0_, onshore_b] == 0.45691132449837996"
DE < DED2,wind_onshore < onshore_b,"100 capaConv[none, 2050, DED2, onshore_b] == 1.133359434497029"
DE < DED4,wind_onshore < onshore_b,"100 capaConv[none, 2050, DED4, onshore_b] == 1.0757962474964822"
DE < DED5,wind_onshore < onshore_b,"100 capaConv[none, 2050, DED5, onshore_b] == 1.6609487434986452"
DE < DEE0,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEE0, onshore_b] == 12.613080140499019"
DE < DEF0,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEF0, onshore_b] == 3.071039000500522"
DE < DEG0,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEG0, onshore_b] == 3.234685852498387"
DE < DE11,openspace < openspace_b,"100 capaConv[none, 2050, DE11, openspace_b] == 0.9962319599941942"
DE < DE12,openspace < openspace_b,"100 capaConv[none, 2050, DE12, openspace_b] == 1.0438521519931658"
DE < DE13,openspace < openspace_b,"100 capaConv[none, 2050, DE13, openspace_b] == 1.8892368989946884"
DE < DE14,openspace < openspace_b,"100 capaConv[none, 2050, DE14, openspace_b] == 0.7059861329963922"
DE < DE21,openspace < openspace_b,"100 capaConv[none, 2050, DE21, openspace_b] == 3.129425320994259"
DE < DE22,openspace < openspace_b,"100 capaConv[none, 2050, DE22, openspace_b] == 3.362164229993865"
DE < DE23,openspace < openspace_b,"100 capaConv[none, 2050, DE23, openspace_b] == 0.9263734049926442"
DE < DE24,openspace < openspace_b,"100 capaConv[none, 2050, DE24, openspace_b] == 0.3969166169914836"
DE < DE25,openspace < openspace_b,"100 capaConv[none, 2050, DE25, openspace_b] == 0.442038080993109"
DE < DE26,openspace < openspace_b,"100 capaConv[none, 2050, DE26, openspace_b] == 1.8595363769914834"
DE < DE27,openspace < openspace_b,"451.40979894378603 capaConv[none, 2050, DE27, openspace_b] == 0.01"
DE < DE30,openspace < openspace_b,"466.4810078078135 capaConv[none, 2050, DE30, openspace_b] == 0.01"
DE < DE40,openspace < openspace_b,"100 capaConv[none, 2050, DE40, openspace_b] == 2.2854313339933934"
DE < DE50,openspace < openspace_b,"3170.9892894752024 capaConv[none, 2050, DE50, openspace_b] == 0.01"
DE < DE60,openspace < openspace_b,"100 capaConv[none, 2050, DE60, openspace_b] == 0.04350289899693456"
DE < DE71,openspace < openspace_b,"100 capaConv[none, 2050, DE71, openspace_b] == 0.4159897569918836"
DE < DE72,openspace < openspace_b,"100 capaConv[none, 2050, DE72, openspace_b] == 0.6861129549947762"
DE < DE73,openspace < openspace_b,"100 capaConv[none, 2050, DE73, openspace_b] == 1.178874627990949"
DE < DE80,openspace < openspace_b,"100 capaConv[none, 2050, DE80, openspace_b] == 3.7682298589983656"
DE < DE91,openspace < openspace_b,"100 capaConv[none, 2050, DE91, openspace_b] == 0.36438004299853716"
DE < DE92,openspace < openspace_b,"100 capaConv[none, 2050, DE92, openspace_b] == 0.3248966579948114"
DE < DE93,openspace < openspace_b,"100 capaConv[none, 2050, DE93, openspace_b] == 0.940625606996448"
DE < DE94,openspace < openspace_b,"100 capaConv[none, 2050, DE94, openspace_b] == 0.8777049499972465"
DE < DEA1,openspace < openspace_b,"100 capaConv[none, 2050, DEA1, openspace_b] == 0.22369160999786433"
DE < DEA2,openspace < openspace_b,"100 capaConv[none, 2050, DEA2, openspace_b] == 0.5063893149920725"
DE < DEA3,openspace < openspace_b,"100 capaConv[none, 2050, DEA3, openspace_b] == 2.090376475997314"
DE < DEA4,openspace < openspace_b,"100 capaConv[none, 2050, DEA4, openspace_b] == 0.3472503719984627"
DE < DEA5,openspace < openspace_b,"100 capaConv[none, 2050, DEA5, openspace_b] == 0.5727190389974183"
DE < DEB1,openspace < openspace_b,"100 capaConv[none, 2050, DEB1, openspace_b] == 0.593416036992123"
DE < DEB2,openspace < openspace_b,"100 capaConv[none, 2050, DEB2, openspace_b] == 0.6530417959976107"
DE < DEB3,openspace < openspace_b,"100 capaConv[none, 2050, DEB3, openspace_b] == 1.1129538569934245"
DE < DEC0_,openspace < openspace_b,"100 capaConv[none, 2050, DEC0_, openspace_b] == 0.21794081199711202"
DE < DED2,openspace < openspace_b,"100 capaConv[none, 2050, DED2, openspace_b] == 1.4401363459917191"
DE < DED4,openspace < openspace_b,"100 capaConv[none, 2050, DED4, openspace_b] == 0.5017402429912836"
DE < DED5,openspace < openspace_b,"100 capaConv[none, 2050, DED5, openspace_b] == 0.19460069899126975"
DE < DEE0,openspace < openspace_b,"100 capaConv[none, 2050, DEE0, openspace_b] == 2.8333167749914936"
DE < DEF0,openspace < openspace_b,"100 capaConv[none, 2050, DEF0, openspace_b] == 2.0012747729996088"
DE < DEG0,openspace < openspace_b,"100 capaConv[none, 2050, DEG0, openspace_b] == 1.9137781779909169"
DE < DE11,rooftop < rooftop_b,"100 capaConv[none, 2050, DE11, rooftop_b] == 1.448656981"
DE < DE12,rooftop < rooftop_b,"100 capaConv[none, 2050, DE12, rooftop_b] == 0.25903251066714766"
DE < DE13,rooftop < rooftop_b,"100 capaConv[none, 2050, DE13, rooftop_b] == 0.6708219856728165"
DE < DE14,rooftop < rooftop_b,"100 capaConv[none, 2050, DE14, rooftop_b] == 0.5765233866868678"
DE < DE21,rooftop < rooftop_b,"100 capaConv[none, 2050, DE21, rooftop_b] == 0.06530567063918674"
DE < DE22,rooftop < rooftop_b,"100 capaConv[none, 2050, DE22, rooftop_b] == 0.8690842299999999"
DE < DE23,rooftop < rooftop_b,"100 capaConv[none, 2050, DE23, rooftop_b] == 0.9749341446175828"
DE < DE24,rooftop < rooftop_b,"100 capaConv[none, 2050, DE24, rooftop_b] == 1.0066420526157198"
DE < DE25,rooftop < rooftop_b,"100 capaConv[none, 2050, DE25, rooftop_b] == 0.5732526676646297"
DE < DE26,rooftop < rooftop_b,"100 capaConv[none, 2050, DE26, rooftop_b] == 0.8957322126643809"
DE < DE27,rooftop < rooftop_b,"100 capaConv[none, 2050, DE27, rooftop_b] == 1.544439347"
DE < DE30,rooftop < rooftop_b,"100 capaConv[none, 2050, DE30, rooftop_b] == 2.8884098545608916"
DE < DE40,rooftop < rooftop_b,"100 capaConv[none, 2050, DE40, rooftop_b] == 3.314640565544042"
DE < DE50,rooftop < rooftop_b,"100 capaConv[none, 2050, DE50, rooftop_b] == 0.19184784869233318"
DE < DE60,rooftop < rooftop_b,"100 capaConv[none, 2050, DE60, rooftop_b] == 0.24774437366060553"
DE < DE71,rooftop < rooftop_b,"100 capaConv[none, 2050, DE71, rooftop_b] == 1.2581518106412692"
DE < DE72,rooftop < rooftop_b,"100 capaConv[none, 2050, DE72, rooftop_b] == 1.0316648226522895"
DE < DE73,rooftop < rooftop_b,"100 capaConv[none, 2050, DE73, rooftop_b] == 0.6713458426415835"
DE < DE80,rooftop < rooftop_b,"100 capaConv[none, 2050, DE80, rooftop_b] == 1.8507260205783689"
DE < DE91,rooftop < rooftop_b,"100 capaConv[none, 2050, DE91, rooftop_b] == 1.4616043065839721"
DE < DE92,rooftop < rooftop_b,"100 capaConv[none, 2050, DE92, rooftop_b] == 0.7491804376272113"
DE < DE93,rooftop < rooftop_b,"100 capaConv[none, 2050, DE93, rooftop_b] == 0.4648048496231767"
DE < DE94,rooftop < rooftop_b,"100 capaConv[none, 2050, DE94, rooftop_b] == 0.4693129286470742"
DE < DEA1,rooftop < rooftop_b,"105.14901310822593 capaConv[none, 2050, DEA1, rooftop_b] == 0.010000000000000002"
DE < DEA2,rooftop < rooftop_b,"100 capaConv[none, 2050, DEA2, rooftop_b] == 2.011713520600165"
DE < DEA3,rooftop < rooftop_b,"100 capaConv[none, 2050, DEA3, rooftop_b] == 0.75069151"
DE < DEA4,rooftop < rooftop_b,"100 capaConv[none, 2050, DEA4, rooftop_b] == 1.9372098625778007"
DE < DEA5,rooftop < rooftop_b,"100 capaConv[none, 2050, DEA5, rooftop_b] == 3.285479190574747"
DE < DEB1,rooftop < rooftop_b,"100 capaConv[none, 2050, DEB1, rooftop_b] == 0.4397508636853109"
DE < DEB2,rooftop < rooftop_b,"100 capaConv[none, 2050, DEB2, rooftop_b] == 0.6821986566760146"
DE < DEB3,rooftop < rooftop_b,"100 capaConv[none, 2050, DEB3, rooftop_b] == 1.1856399346380502"
DE < DEC0_,rooftop < rooftop_b,"100 capaConv[none, 2050, DEC0_, rooftop_b] == 0.5006181536777552"
DE < DED2,rooftop < rooftop_b,"100 capaConv[none, 2050, DED2, rooftop_b] == 2.100775278575131"
DE < DED4,rooftop < rooftop_b,"100 capaConv[none, 2050, DED4, rooftop_b] == 1.634084215553618"
DE < DED5,rooftop < rooftop_b,"100 capaConv[none, 2050, DED5, rooftop_b] == 0.7695740996292741"
DE < DEE0,rooftop < rooftop_b,"100 capaConv[none, 2050, DEE0, rooftop_b] == 2.775948759550751"
DE < DEF0,rooftop < rooftop_b,"100 capaConv[none, 2050, DEF0, rooftop_b] == 0.5337261156171017"
DE < DEG0,rooftop < rooftop_b,"100 capaConv[none, 2050, DEG0, rooftop_b] == 0.9966412556145282"
DE < DE11,rooftop < rooftop_a,"100 capaConv[none, 2050, DE11, rooftop_a] == 3.469392392557263"
DE < DE12,rooftop < rooftop_a,"100 capaConv[none, 2050, DE12, rooftop_a] == 1.7340244416260011"
DE < DE13,rooftop < rooftop_a,"100 capaConv[none, 2050, DE13, rooftop_a] == 2.693303129602306"
DE < DE14,rooftop < rooftop_a,"100 capaConv[none, 2050, DE14, rooftop_a] == 1.21144334"
DE < DE21,rooftop < rooftop_a,"100 capaConv[none, 2050, DE21, rooftop_a] == 5.113221285569633"
DE < DE22,rooftop < rooftop_a,"100 capaConv[none, 2050, DE22, rooftop_a] == 1.4007253746062422"
DE < DE23,rooftop < rooftop_a,"100 capaConv[none, 2050, DE23, rooftop_a] == 0.696411084"
DE < DE24,rooftop < rooftop_a,"100 capaConv[none, 2050, DE24, rooftop_a] == 1.2401573106270116"
DE < DE25,rooftop < rooftop_a,"100 capaConv[none, 2050, DE25, rooftop_a] == 1.268093699"
DE < DE26,rooftop < rooftop_a,"100 capaConv[none, 2050, DE26, rooftop_a] == 1.215547745"
DE < DE27,rooftop < rooftop_a,"100 capaConv[none, 2050, DE27, rooftop_a] == 0.687592198"
DE < DE30,rooftop < rooftop_a,"100 capaConv[none, 2050, DE30, rooftop_a] == 0.2113711846798646"
DE < DE40,rooftop < rooftop_a,"100 capaConv[none, 2050, DE40, rooftop_a] == 4.284672708530991"
DE < DE50,rooftop < rooftop_a,"100 capaConv[none, 2050, DE50, rooftop_a] == 0.7102538066152597"
DE < DE60,rooftop < rooftop_a,"100 capaConv[none, 2050, DE60, rooftop_a] == 1.9135124575413762"
DE < DE71,rooftop < rooftop_a,"100 capaConv[none, 2050, DE71, rooftop_a] == 1.006184574648897"
DE < DE72,rooftop < rooftop_a,"100 capaConv[none, 2050, DE72, rooftop_a] == 0.47026187999999997"
DE < DE73,rooftop < rooftop_a,"100 capaConv[none, 2050, DE73, rooftop_a] == 0.671345843"
DE < DE80,rooftop < rooftop_a,"100 capaConv[none, 2050, DE80, rooftop_a] == 1.189736025"
DE < DE91,rooftop < rooftop_a,"100 capaConv[none, 2050, DE91, rooftop_a] == 0.45995315000000003"
DE < DE92,rooftop < rooftop_a,"100 capaConv[none, 2050, DE92, rooftop_a] == 2.1435563895634497"
DE < DE93,rooftop < rooftop_a,"100 capaConv[none, 2050, DE93, rooftop_a] == 1.8064001545518336"
DE < DE94,rooftop < rooftop_a,"100 capaConv[none, 2050, DE94, rooftop_a] == 2.6540435585456286"
DE < DEA1,rooftop < rooftop_a,"100 capaConv[none, 2050, DEA1, rooftop_a] == 2.8968820005846623"
DE < DEA2,rooftop < rooftop_a,"100 capaConv[none, 2050, DEA2, rooftop_a] == 3.0659446435435553"
DE < DEA3,rooftop < rooftop_a,"100 capaConv[none, 2050, DEA3, rooftop_a] == 2.8838690815832098"
DE < DEA4,rooftop < rooftop_a,"100 capaConv[none, 2050, DEA4, rooftop_a] == 0.8033441659999999"
DE < DEA5,rooftop < rooftop_a,"100 capaConv[none, 2050, DEA5, rooftop_a] == 1.4075110095701764"
DE < DEB1,rooftop < rooftop_a,"100 capaConv[none, 2050, DEB1, rooftop_a] == 1.9126969855965565"
DE < DEB2,rooftop < rooftop_a,"100 capaConv[none, 2050, DEB2, rooftop_a] == 0.39205454467671563"
DE < DEB3,rooftop < rooftop_a,"100 capaConv[none, 2050, DEB3, rooftop_a] == 1.6219730126067151"
DE < DEC0_,rooftop < rooftop_a,"100 capaConv[none, 2050, DEC0_, rooftop_a] == 1.4462130996431404"
DE < DED2,rooftop < rooftop_a,"100 capaConv[none, 2050, DED2, rooftop_a] == 0.77957928"
DE < DED4,rooftop < rooftop_a,"100 capaConv[none, 2050, DED4, rooftop_a] == 2.294214147563896"
DE < DED5,rooftop < rooftop_a,"100 capaConv[none, 2050, DED5, rooftop_a] == 1.3847975065978557"
DE < DEE0,rooftop < rooftop_a,"100 capaConv[none, 2050, DEE0, rooftop_a] == 1.1577896285899871"
DE < DEF0,rooftop < rooftop_a,"100 capaConv[none, 2050, DEF0, rooftop_a] == 1.9223642715282336"
DE < DEG0,rooftop < rooftop_a,"100 capaConv[none, 2050, DEG0, rooftop_a] == 2.415451729547305"
DE < DE11,methanation,"100 capaConv[none, 2050, DE11, methanation] == 0.0"
DE < DE12,methanation,"100 capaConv[none, 2050, DE12, methanation] == 0.0"
DE < DE13,methanation,"100 capaConv[none, 2050, DE13, methanation] == 0.0"
DE < DE14,methanation,"100 capaConv[none, 2050, DE14, methanation] == 0.0"
DE < DE21,methanation,"100 capaConv[none, 2050, DE21, methanation] == 0.0"
DE < DE22,methanation,"100 capaConv[none, 2050, DE22, methanation] == 0.0"
DE < DE23,methanation,"100 capaConv[none, 2050, DE23, methanation] == 0.0"
DE < DE24,methanation,"100 capaConv[none, 2050, DE24, methanation] == 0.0"
DE < DE25,methanation,"100 capaConv[none, 2050, DE25, methanation] == 0.0"
DE < DE26,methanation,"100 capaConv[none, 2050, DE26, methanation] == 0.0"
DE < DE27,methanation,"100 capaConv[none, 2050, DE27, methanation] == 0.0"
DE < DE30,methanation,"100 capaConv[none, 2050, DE30, methanation] == 0.0"
DE < DE40,methanation,"100 capaConv[none, 2050, DE40, methanation] == 0.0"
DE < DE50,methanation,"100 capaConv[none, 2050, DE50, methanation] == 0.0"
DE < DE60,methanation,"100 capaConv[none, 2050, DE60, methanation] == 0.0"
DE < DE71,methanation,"100 capaConv[none, 2050, DE71, methanation] == 0.0"
DE < DE72,methanation,"100 capaConv[none, 2050, DE72, methanation] == 0.0"
DE < DE73,methanation,"100 capaConv[none, 2050, DE73, methanation] == 0.0"
DE < DE80,methanation,"100 capaConv[none, 2050, DE80, methanation] == 0.0"
DE < DE91,methanation,"100 capaConv[none, 2050, DE91, methanation] == 0.0"
DE < DE92,methanation,"100 capaConv[none, 2050, DE92, methanation] == 0.0"
DE < DE93,methanation,"100 capaConv[none, 2050, DE93, methanation] == 0.0"
DE < DE94,methanation,"100 capaConv[none, 2050, DE94, methanation] == 0.0"
DE < DEA1,methanation,"100 capaConv[none, 2050, DEA1, methanation] == 0.0"
DE < DEA2,methanation,"100 capaConv[none, 2050, DEA2, methanation] == 0.0"
DE < DEA3,methanation,"100 capaConv[none, 2050, DEA3, methanation] == 0.0"
DE < DEA4,methanation,"100 capaConv[none, 2050, DEA4, methanation] == 0.0"
DE < DEA5,methanation,"100 capaConv[none, 2050, DEA5, methanation] == 0.0"
DE < DEB1,methanation,"100 capaConv[none, 2050, DEB1, methanation] == 0.0"
DE < DEB2,methanation,"100 capaConv[none, 2050, DEB2, methanation] == 0.0"
DE < DEB3,methanation,"100 capaConv[none, 2050, DEB3, methanation] == 0.0"
DE < DEC0_,methanation,"100 capaConv[none, 2050, DEC0_, methanation] == 0.0"
DE < DED2,methanation,"100 capaConv[none, 2050, DED2, methanation] == 0.0"
DE < DED4,methanation,"100 capaConv[none, 2050, DED4, methanation] == 0.0"
DE < DED5,methanation,"100 capaConv[none, 2050, DED5, methanation] == 0.0"
DE < DEE0,methanation,"100 capaConv[none, 2050, DEE0, methanation] == 0.0"
DE < DEF0,methanation,"100 capaConv[none, 2050, DEF0, methanation] == 0.0"
DE < DEG0,methanation,"100 capaConv[none, 2050, DEG0, methanation] == 0.0"
DE < DE11,gasPlant,"100 capaConv[none, 2050, DE11, gasPlant] == 0.0"
DE < DE12,gasPlant,"100 capaConv[none, 2050, DE12, gasPlant] == 0.0"
DE < DE13,gasPlant,"100 capaConv[none, 2050, DE13, gasPlant] == 0.0"
DE < DE14,gasPlant,"100 capaConv[none, 2050, DE14, gasPlant] == 0.0"
DE < DE21,gasPlant,"100 capaConv[none, 2050, DE21, gasPlant] == 0.0"
DE < DE22,gasPlant,"100 capaConv[none, 2050, DE22, gasPlant] == 0.0"
DE < DE23,gasPlant,"100 capaConv[none, 2050, DE23, gasPlant] == 0.0"
DE < DE24,gasPlant,"100 capaConv[none, 2050, DE24, gasPlant] == 0.0"
DE < DE25,gasPlant,"100 capaConv[none, 2050, DE25, gasPlant] == 0.0"
DE < DE26,gasPlant,"100 capaConv[none, 2050, DE26, gasPlant] == 0.0"
DE < DE27,gasPlant,"100 capaConv[none, 2050, DE27, gasPlant] == 0.0"
DE < DE30,gasPlant,"100 capaConv[none, 2050, DE30, gasPlant] == 0.0"
DE < DE40,gasPlant,"100 capaConv[none, 2050, DE40, gasPlant] == 0.0"
DE < DE50,gasPlant,"100 capaConv[none, 2050, DE50, gasPlant] == 0.0"
DE < DE60,gasPlant,"100 capaConv[none, 2050, DE60, gasPlant] == 0.0"
DE < DE71,gasPlant,"100 capaConv[none, 2050, DE71, gasPlant] == 0.0"
DE < DE72,gasPlant,"100 capaConv[none, 2050, DE72, gasPlant] == 0.0"
DE < DE73,gasPlant,"100 capaConv[none, 2050, DE73, gasPlant] == 0.0"
DE < DE80,gasPlant,"100 capaConv[none, 2050, DE80, gasPlant] == 0.0"
DE < DE91,gasPlant,"100 capaConv[none, 2050, DE91, gasPlant] == 0.0"
DE < DE92,gasPlant,"100 capaConv[none, 2050, DE92, gasPlant] == 0.0"
DE < DE93,gasPlant,"100 capaConv[none, 2050, DE93, gasPlant] == 0.0"
DE < DE94,gasPlant,"100 capaConv[none, 2050, DE94, gasPlant] == 0.0"
DE < DEA1,gasPlant,"100 capaConv[none, 2050, DEA1, gasPlant] == 0.0"
DE < DEA2,gasPlant,"100 capaConv[none, 2050, DEA2, gasPlant] == 0.0"
DE < DEA3,gasPlant,"100 capaConv[none, 2050, DEA3, gasPlant] == 0.0"
DE < DEA4,gasPlant,"100 capaConv[none, 2050, DEA4, gasPlant] == 0.0"
DE < DEA5,gasPlant,"100 capaConv[none, 2050, DEA5, gasPlant] == 0.0"
DE < DEB1,gasPlant,"100 capaConv[none, 2050, DEB1, gasPlant] == 0.0"
DE < DEB2,gasPlant,"100 capaConv[none, 2050, DEB2, gasPlant] == 0.0"
DE < DEB3,gasPlant,"100 capaConv[none, 2050, DEB3, gasPlant] == 0.0"
DE < DEC0_,gasPlant,"100 capaConv[none, 2050, DEC0_, gasPlant] == 0.0"
DE < DED2,gasPlant,"100 capaConv[none, 2050, DED2, gasPlant] == 0.0"
DE < DED4,gasPlant,"100 capaConv[none, 2050, DED4, gasPlant] == 0.0"
DE < DED5,gasPlant,"100 capaConv[none, 2050, DED5, gasPlant] == 0.0"
DE < DEE0,gasPlant,"100 capaConv[none, 2050, DEE0, gasPlant] == 0.0"
DE < DEF0,gasPlant,"100 capaConv[none, 2050, DEF0, gasPlant] == 0.0"
DE < DEG0,gasPlant,"100 capaConv[none, 2050, DEG0, gasPlant] == 0.0"
DE < DE11,biomassPlant,"100 capaConv[none, 2050, DE11, biomassPlant] == 0.0"
DE < DE12,biomassPlant,"100 capaConv[none, 2050, DE12, biomassPlant] == 0.0"
DE < DE13,biomassPlant,"100 capaConv[none, 2050, DE13, biomassPlant] == 0.0"
DE < DE14,biomassPlant,"100 capaConv[none, 2050, DE14, biomassPlant] == 0.0"
DE < DE21,biomassPlant,"100 capaConv[none, 2050, DE21, biomassPlant] == 0.0"
DE < DE22,biomassPlant,"100 capaConv[none, 2050, DE22, biomassPlant] == 0.0"
DE < DE23,biomassPlant,"100 capaConv[none, 2050, DE23, biomassPlant] == 0.0"
DE < DE24,biomassPlant,"100 capaConv[none, 2050, DE24, biomassPlant] == 0.0"
DE < DE25,biomassPlant,"100 capaConv[none, 2050, DE25, biomassPlant] == 0.0"
DE < DE26,biomassPlant,"100 capaConv[none, 2050, DE26, biomassPlant] == 0.0"
DE < DE27,biomassPlant,"100 capaConv[none, 2050, DE27, biomassPlant] == 0.0"
DE < DE30,biomassPlant,"100 capaConv[none, 2050, DE30, biomassPlant] == 0.0"
DE < DE40,biomassPlant,"100 capaConv[none, 2050, DE40, biomassPlant] == 0.0"
DE < DE50,biomassPlant,"100 capaConv[none, 2050, DE50, biomassPlant] == 0.0"
DE < DE60,biomassPlant,"100 capaConv[none, 2050, DE60, biomassPlant] == 0.0"
DE < DE71,biomassPlant,"100 capaConv[none, 2050, DE71, biomassPlant] == 0.0"
DE < DE72,biomassPlant,"100 capaConv[none, 2050, DE72, biomassPlant] == 0.0"
DE < DE73,biomassPlant,"100 capaConv[none, 2050, DE73, biomassPlant] == 0.0"
DE < DE80,biomassPlant,"100 capaConv[none, 2050, DE80, biomassPlant] == 0.0"
DE < DE91,biomassPlant,"100 capaConv[none, 2050, DE91, biomassPlant] == 0.0"
DE < DE92,biomassPlant,"100 capaConv[none, 2050, DE92, biomassPlant] == 0.0"
DE < DE93,biomassPlant,"100 capaConv[none, 2050, DE93, biomassPlant] == 0.0"
DE < DE94,biomassPlant,"100 capaConv[none, 2050, DE94, biomassPlant] == 0.0"
DE < DEA1,biomassPlant,"100 capaConv[none, 2050, DEA1, biomassPlant] == 0.0"
DE < DEA2,biomassPlant,"100 capaConv[none, 2050, DEA2, biomassPlant] == 0.0"
DE < DEA3,biomassPlant,"100 capaConv[none, 2050, DEA3, biomassPlant] == 0.0"
DE < DEA4,biomassPlant,"100 capaConv[none, 2050, DEA4, biomassPlant] == 0.0"
DE < DEA5,biomassPlant,"100 capaConv[none, 2050, DEA5, biomassPlant] == 0.0"
DE < DEB1,biomassPlant,"100 capaConv[none, 2050, DEB1, biomassPlant] == 0.0"
DE < DEB2,biomassPlant,"100 capaConv[none, 2050, DEB2, biomassPlant] == 0.0"
DE < DEB3,biomassPlant,"100 capaConv[none, 2050, DEB3, biomassPlant] == 0.0"
DE < DEC0_,biomassPlant,"100 capaConv[none, 2050, DEC0_, biomassPlant] == 0.0"
DE < DED2,biomassPlant,"100 capaConv[none, 2050, DED2, biomassPlant] == 0.0"
DE < DED4,biomassPlant,"100 capaConv[none, 2050, DED4, biomassPlant] == 0.0"
DE < DED5,biomassPlant,"100 capaConv[none, 2050, DED5, biomassPlant] == 0.0"
DE < DEE0,biomassPlant,"100 capaConv[none, 2050, DEE0, biomassPlant] == 0.0"
DE < DEF0,biomassPlant,"100 capaConv[none, 2050, DEF0, biomassPlant] == 0.0"
DE < DEG0,biomassPlant,"100 capaConv[none, 2050, DEG0, biomassPlant] == 0.0"
DE,gasPlant,"100 capaConv[none, 2050, DE11, gasPlant] + 100 capaConv[none, 2050, DE12, gasPlant] + 100 capaConv[none, 2050, DE13, gasPlant] + 100 capaConv[none, 2050, DE14, gasPlant] + 100 capaConv[none, 2050, DE21, gasPlant] + 100 capaConv[none, 2050, DE22, gasPlant] + 100 capaConv[none, 2050, DE23, gasPlant] + 100 capaConv[none, 2050, DE24, gasPlant] + 100 capaConv[none, 2050, DE25, gasPlant] + 100 capaConv[none, 2050, DE26, gasPlant] + 100 capaConv[none, 2050, DE27, gasPlant] + 100 capaConv[none, 2050, DE30, gasPlant] + 100 capaConv[none, 2050, DE40, gasPlant] + 100 capaConv[none, 2050, DE50, gasPlant] + 100 capaConv[none, 2050, DE60, gasPlant] + 100 capaConv[none, 2050, DE71, gasPlant] + 100 capaConv[none, 2050, DE72, gasPlant] + 100 capaConv[none, 2050, DE73, gasPlant] + 100 capaConv[none, 2050, DE80, gasPlant] + 100 capaConv[none, 2050, DE91, gasPlant] + 100 capaConv[none, 2050, DE92, gasPlant] + 100 capaConv[none, 2050, DE93, gasPlant] + 100 capaConv[none, 2050, DE94, gasPlant] + 100 capaConv[none, 2050, DEA1, gasPlant] + 100 capaConv[none, 2050, DEA2, gasPlant] + 100 capaConv[none, 2050, DEA3, gasPlant] + 100 capaConv[none, 2050, DEA4, gasPlant] + 100 capaConv[none, 2050, DEA5, gasPlant] + 100 capaConv[none, 2050, DEB1, gasPlant] + 100 capaConv[none, 2050, DEB2, gasPlant] + 100 capaConv[none, 2050, DEB3, gasPlant] + 100 capaConv[none, 2050, DEC0_, gasPlant] + 100 capaConv[none, 2050, DED2, gasPlant] + 100 capaConv[none, 2050, DED4, gasPlant] + 100 capaConv[none, 2050, DED5, gasPlant] + 100 capaConv[none, 2050, DEE0, gasPlant] + 100 capaConv[none, 2050, DEF0, gasPlant] + 100 capaConv[none, 2050, DEG0, gasPlant] == 0.0"
DE,fermenter,"100 capaConv[none, 2050, DE, fermenter] == 28.445510238057633"
