region_2,technology_1,technology_2,technology_3,parameter,value
DEF0,pv,rooftop,rooftop_a,capaConvUp,10.42
DEF0,pv,rooftop,rooftop_b,capaConvUp,2.895
DEF0,pv,rooftop,rooftop_c,capaConvUp,19.94
DEG0,pv,rooftop,rooftop_a,capaConvUp,13.095
DEG0,pv,rooftop,rooftop_b,capaConvUp,5.405
DEG0,pv,rooftop,rooftop_c,capaConvUp,12.07
DE92,pv,rooftop,rooftop_a,capaConvUp,11.62
DE92,pv,rooftop,rooftop_b,capaConvUp,4.06
DE92,pv,rooftop,rooftop_c,capaConvUp,9.8
DE93,pv,rooftop,rooftop_a,capaConvUp,9.795
DE93,pv,rooftop,rooftop_b,capaConvUp,2.52
DE93,pv,rooftop,rooftop_c,capaConvUp,16.42
DEA2,pv,rooftop,rooftop_a,capaConvUp,16.625
DEA2,pv,rooftop,rooftop_b,capaConvUp,10.905
DEA2,pv,rooftop,rooftop_c,capaConvUp,9.13
DEB1,pv,rooftop,rooftop_a,capaConvUp,10.37
DEB1,pv,rooftop,rooftop_b,capaConvUp,2.385
DEB1,pv,rooftop,rooftop_c,capaConvUp,5.57
DEC0_,pv,rooftop,rooftop_a,capaConvUp,7.84
DEC0_,pv,rooftop,rooftop_b,capaConvUp,2.715
DEC0_,pv,rooftop,rooftop_c,capaConvUp,1.875
DEA3,pv,rooftop,rooftop_a,capaConvUp,15.635
DEA3,pv,rooftop,rooftop_b,capaConvUp,4.07
DEA3,pv,rooftop,rooftop_c,capaConvUp,10.185
DEB2,pv,rooftop,rooftop_a,capaConvUp,2.125
DEB2,pv,rooftop,rooftop_b,capaConvUp,3.7
DEB2,pv,rooftop,rooftop_c,capaConvUp,0.975
DE21,pv,rooftop,rooftop_a,capaConvUp,27.72
DE21,pv,rooftop,rooftop_b,capaConvUp,0.355
DE21,pv,rooftop,rooftop_c,capaConvUp,7.89
DE22,pv,rooftop,rooftop_a,capaConvUp,7.595
DE22,pv,rooftop,rooftop_b,capaConvUp,4.71
DE22,pv,rooftop,rooftop_c,capaConvUp,8.03
DE23,pv,rooftop,rooftop_a,capaConvUp,3.775
DE23,pv,rooftop,rooftop_b,capaConvUp,5.285
DE23,pv,rooftop,rooftop_c,capaConvUp,3.61
DE25,pv,rooftop,rooftop_a,capaConvUp,6.875
DE25,pv,rooftop,rooftop_b,capaConvUp,3.11
DE25,pv,rooftop,rooftop_c,capaConvUp,7.505
DE26,pv,rooftop,rooftop_a,capaConvUp,6.59
DE26,pv,rooftop,rooftop_b,capaConvUp,4.855
DE26,pv,rooftop,rooftop_c,capaConvUp,7.585
DE40,pv,rooftop,rooftop_a,capaConvUp,23.23
DE40,pv,rooftop,rooftop_b,capaConvUp,17.97
DE40,pv,rooftop,rooftop_c,capaConvUp,8.18
DE50,pv,rooftop,rooftop_a,capaConvUp,3.85
DE50,pv,rooftop,rooftop_b,capaConvUp,1.04
DE50,pv,rooftop,rooftop_c,capaConvUp,0.19
DE60,pv,rooftop,rooftop_a,capaConvUp,10.375
DE60,pv,rooftop,rooftop_b,capaConvUp,1.345
DE60,pv,rooftop,rooftop_c,capaConvUp,0.23
DE71,pv,rooftop,rooftop_a,capaConvUp,5.455
DE71,pv,rooftop,rooftop_b,capaConvUp,6.82
DE71,pv,rooftop,rooftop_c,capaConvUp,14.95
DE72,pv,rooftop,rooftop_a,capaConvUp,2.55
DE72,pv,rooftop,rooftop_b,capaConvUp,5.595
DE72,pv,rooftop,rooftop_c,capaConvUp,4.85
DE73,pv,rooftop,rooftop_a,capaConvUp,3.64
DE73,pv,rooftop,rooftop_b,capaConvUp,3.64
DE73,pv,rooftop,rooftop_c,capaConvUp,9.59
DE80,pv,rooftop,rooftop_a,capaConvUp,6.45
DE80,pv,rooftop,rooftop_b,capaConvUp,10.035
DE80,pv,rooftop,rooftop_c,capaConvUp,6.78
DE91,pv,rooftop,rooftop_a,capaConvUp,2.495
DE91,pv,rooftop,rooftop_b,capaConvUp,7.925
DE91,pv,rooftop,rooftop_c,capaConvUp,11.06
DE13,pv,rooftop,rooftop_a,capaConvUp,14.6
DE13,pv,rooftop,rooftop_b,capaConvUp,3.635
DE13,pv,rooftop,rooftop_c,capaConvUp,4.625
DE24,pv,rooftop,rooftop_a,capaConvUp,6.725
DE24,pv,rooftop,rooftop_b,capaConvUp,5.46
DE24,pv,rooftop,rooftop_c,capaConvUp,0.625
DE27,pv,rooftop,rooftop_a,capaConvUp,3.73
DE27,pv,rooftop,rooftop_b,capaConvUp,8.375
DE27,pv,rooftop,rooftop_c,capaConvUp,13.795
DE14,pv,rooftop,rooftop_a,capaConvUp,6.57
DE14,pv,rooftop,rooftop_b,capaConvUp,3.125
DE14,pv,rooftop,rooftop_c,capaConvUp,11.14
DE30,pv,rooftop,rooftop_a,capaConvUp,1.145
DE30,pv,rooftop,rooftop_b,capaConvUp,15.66
DE30,pv,rooftop,rooftop_c,capaConvUp,0.55
DE11,wind_onshore,onshore,onshore_a,capaConvUp,2.768
DE11,wind_onshore,onshore,onshore_b,capaConvUp,2.939
DE12,wind_onshore,onshore,onshore_a,capaConvUp,1.936
DE12,wind_onshore,onshore,onshore_b,capaConvUp,1.141
DE94,wind_onshore,onshore,onshore_a,capaConvUp,4.766
DE94,wind_onshore,onshore,onshore_b,capaConvUp,6.148
DEA1,wind_onshore,onshore,onshore_a,capaConvUp,0.408
DEA1,wind_onshore,onshore,onshore_b,capaConvUp,2.163
DEA4,wind_onshore,onshore,onshore_a,capaConvUp,1.371
DEA4,wind_onshore,onshore,onshore_b,capaConvUp,4.134
DEA5,wind_onshore,onshore,onshore_a,capaConvUp,0.792
DEA5,wind_onshore,onshore,onshore_b,capaConvUp,1.954
DEB3,wind_onshore,onshore,onshore_a,capaConvUp,2.151
DEB3,wind_onshore,onshore,onshore_b,capaConvUp,1.723
DED2,wind_onshore,onshore,onshore_a,capaConvUp,3.822
DED2,wind_onshore,onshore,onshore_b,capaConvUp,1.204
DED4,wind_onshore,onshore,onshore_a,capaConvUp,2.323
DED4,wind_onshore,onshore,onshore_b,capaConvUp,1.142
DED5,wind_onshore,onshore,onshore_a,capaConvUp,0.436
DED5,wind_onshore,onshore,onshore_b,capaConvUp,1.764
DEE0,wind_onshore,onshore,onshore_a,capaConvUp,5.989
DEE0,wind_onshore,onshore,onshore_b,capaConvUp,13.394
DEF0,wind_onshore,onshore,onshore_a,capaConvUp,9.004
DEF0,wind_onshore,onshore,onshore_b,capaConvUp,3.261
DEG0,wind_onshore,onshore,onshore_a,capaConvUp,3.466
DEG0,wind_onshore,onshore,onshore_b,capaConvUp,3.435
DE92,wind_onshore,onshore,onshore_a,capaConvUp,5.766
DE92,wind_onshore,onshore,onshore_b,capaConvUp,5.127
DE93,wind_onshore,onshore,onshore_a,capaConvUp,6.226
DE93,wind_onshore,onshore,onshore_b,capaConvUp,3.852
DEA2,wind_onshore,onshore,onshore_a,capaConvUp,2.938
DEA2,wind_onshore,onshore,onshore_b,capaConvUp,1.305
DEB1,wind_onshore,onshore,onshore_a,capaConvUp,2.282
DEB1,wind_onshore,onshore,onshore_b,capaConvUp,1.916
DEC0_,wind_onshore,onshore,onshore_a,capaConvUp,0.818
DEC0_,wind_onshore,onshore,onshore_b,capaConvUp,0.485
DEA3,wind_onshore,onshore,onshore_a,capaConvUp,4.913
DEA3,wind_onshore,onshore,onshore_b,capaConvUp,0.431
DEB2,wind_onshore,onshore,onshore_a,capaConvUp,0.975
DEB2,wind_onshore,onshore,onshore_b,capaConvUp,1.95
DE21,wind_onshore,onshore,onshore_a,capaConvUp,6.941
DE21,wind_onshore,onshore,onshore_b,capaConvUp,1.812
DE22,wind_onshore,onshore,onshore_a,capaConvUp,2.338
DE22,wind_onshore,onshore,onshore_b,capaConvUp,6.143
DE23,wind_onshore,onshore,onshore_a,capaConvUp,2.213
DE23,wind_onshore,onshore,onshore_b,capaConvUp,3.024
DE25,wind_onshore,onshore,onshore_a,capaConvUp,2.07
DE25,wind_onshore,onshore,onshore_b,capaConvUp,1.715
DE26,wind_onshore,onshore,onshore_a,capaConvUp,3.405
DE26,wind_onshore,onshore,onshore_b,capaConvUp,2.686
DE40,wind_onshore,onshore,onshore_a,capaConvUp,5.933
