region_2,parameter,technology_1,timestep_2,value
DE11,avaConv,ror,d001,0.4652395299999999
DE11,avaConv,ror,d002,0.4652395299999999
DE11,avaConv,ror,d003,0.4652395299999999
DE11,avaConv,ror,d004,0.4652395299999999
DE11,avaConv,ror,d005,0.4652395299999999
DE11,avaConv,ror,d006,0.4652395299999999
DE11,avaConv,ror,d007,0.4652395299999999
DE11,avaConv,ror,d008,0.4652395299999999
DE11,avaConv,ror,d009,0.4652395299999999
DE11,avaConv,ror,d010,0.4652395299999999
DE11,avaConv,ror,d011,0.4652395299999999
DE11,avaConv,ror,d012,0.4652395299999999
DE11,avaConv,ror,d013,0.4652395299999999
DE11,avaConv,ror,d014,0.4652395299999999
DE11,avaConv,ror,d015,0.4652395299999999
DE11,avaConv,ror,d016,0.4652395299999999
DE11,avaConv,ror,d017,0.4652395299999999
DE11,avaConv,ror,d018,0.4652395299999999
DE11,avaConv,ror,d019,0.4652395299999999
DE11,avaConv,ror,d020,0.4652095887499999
DE11,avaConv,ror,d021,0.4652395299999999
DE11,avaConv,ror,d022,0.4652395299999999
DE11,avaConv,ror,d023,0.4652395299999999
DE11,avaConv,ror,d024,0.4652395299999999
DE11,avaConv,ror,d025,0.4652395299999999
DE11,avaConv,ror,d026,0.4652395299999999
DE11,avaConv,ror,d027,0.4652395299999999
DE11,avaConv,ror,d028,0.4652395299999999
DE11,avaConv,ror,d029,0.4652395299999999
DE11,avaConv,ror,d030,0.4652395299999999
DE11,avaConv,ror,d031,0.4652395299999999
DE11,avaConv,ror,d032,0.5123113700000003
DE11,avaConv,ror,d033,0.5123113700000003
DE11,avaConv,ror,d034,0.5123113700000003
DE11,avaConv,ror,d035,0.5123113700000003
DE11,avaConv,ror,d036,0.5123113700000003
DE11,avaConv,ror,d037,0.5123113700000003
DE11,avaConv,ror,d038,0.5123113700000003
DE11,avaConv,ror,d039,0.5123113700000003
DE11,avaConv,ror,d040,0.5123113700000003
DE11,avaConv,ror,d041,0.5123113700000003
DE11,avaConv,ror,d042,0.5123113700000003
