carrier_1,region_2,parameter,timestep_2,value
heatResidental,DE11,dem,d129,0.09665933466666667
heatResidental,DE11,dem,d130,0.09187965191666665
heatResidental,DE11,dem,d131,0.08692091283333335
heatResidental,DE11,dem,d132,0.07317638166666666
heatResidental,DE11,dem,d133,0.13087242587499998
heatResidental,DE11,dem,d134,0.23242631700000005
heatResidental,DE11,dem,d135,0.20950012879166666
heatResidental,DE11,dem,d136,0.5841576110416666
heatResidental,DE11,dem,d137,0.66713815625
heatResidental,DE11,dem,d138,0.5021454773333333
heatResidental,DE11,dem,d139,0.34378421012499993
heatResidental,DE11,dem,d140,0.3179956090416666
heatResidental,DE11,dem,d141,0.21518754575000001
heatResidental,DE11,dem,d142,0.20648595025000002
heatResidental,DE11,dem,d143,0.09668591037500002
heatResidental,DE11,dem,d144,0.20466126383333336
heatResidental,DE11,dem,d145,0.3938576672500001
heatResidental,DE11,dem,d146,0.21784389245833333
heatResidental,DE11,dem,d147,0.1944743767083333
heatResidental,DE11,dem,d148,0.08952230104166665
heatResidental,DE11,dem,d149,0.0007136730000000001
heatResidental,DE11,dem,d150,0.029055616041666666
heatResidental,DE11,dem,d151,0.021024982583333334
heatResidental,DE11,dem,d152,0.14043251791666667
heatResidental,DE11,dem,d153,0.10699465662499998
heatResidental,DE11,dem,d154,0.07741360691666667
heatResidental,DE11,dem,d155,0.099839707
heatResidental,DE11,dem,d156,0.055391923875
heatResidental,DE11,dem,d157,0.07488846575000002
heatResidental,DE11,dem,d158,0.060895980125
heatResidental,DE11,dem,d159,0.05025279916666666
heatResidental,DE11,dem,d160,0.03179587466666667
heatResidental,DE11,dem,d161,0.05555055675
heatResidental,DE11,dem,d162,0.09818838845833333
heatResidental,DE11,dem,d163,0.10767780754166668
heatResidental,DE11,dem,d164,0.0485414855
heatResidental,DE11,dem,d165,0.049468649875
heatResidental,DE11,dem,d166,0.05364768220833332
heatResidental,DE11,dem,d167,0.06431228504166665
heatResidental,DE11,dem,d168,0.04560252887499999
heatResidental,DE11,dem,d169,0.13967700516666667
heatResidental,DE11,dem,d170,0.11078740808333332
heatResidental,DE11,dem,d171,0.07517465470833333
heatResidental,DE11,dem,d172,0.03971799170833333
heatResidental,DE11,dem,d173,0.03309978308333334
heatResidental,DE11,dem,d174,0.0024457767500000002
heatResidental,DE11,dem,d175,0.00658162675
heatResidental,DE11,dem,d176,0.0
heatResidental,DE11,dem,d177,0.0
heatResidental,DE11,dem,d178,0.023772245166666667
heatResidental,DE11,dem,d179,0.043009996375
heatResidental,DE11,dem,d180,0.016891313791666664
heatResidental,DE11,dem,d181,0.005864132708333333
heatResidental,DE11,dem,d182,0.0
heatResidental,DE11,dem,d183,0.00047387154166666666
heatResidental,DE11,dem,d184,0.009060233291666666
heatResidental,DE11,dem,d185,0.04695204312500001
heatResidental,DE11,dem,d186,0.039124639083333336
heatResidental,DE11,dem,d187,0.056770862041666675
heatResidental,DE11,dem,d188,0.051167398333333336
heatResidental,DE11,dem,d189,0.14687638866666666
heatResidental,DE11,dem,d190,0.08158656766666665
heatResidental,DE11,dem,d191,0.00047314820833333334
heatResidental,DE11,dem,d192,0.020703020708333335
heatResidental,DE11,dem,d193,0.0
heatResidental,DE11,dem,d194,0.00830328575
heatResidental,DE11,dem,d195,0.04743396075
heatResidental,DE11,dem,d196,0.22878281983333337
heatResidental,DE11,dem,d197,0.18314791666666666
heatResidental,DE11,dem,d198,0.1114719382083333
heatResidental,DE11,dem,d199,0.03188382458333334
heatResidental,DE11,dem,d200,0.0007126001666666668
heatResidental,DE11,dem,d201,0.03176339120833333
heatResidental,DE11,dem,d202,0.013139335750000002
heatResidental,DE11,dem,d203,0.0
heatResidental,DE11,dem,d204,0.0009553849583333334
heatResidental,DE11,dem,d205,0.0
heatResidental,DE11,dem,d206,0.0
heatResidental,DE11,dem,d207,0.0
heatResidental,DE11,dem,d208,0.0
heatResidental,DE11,dem,d209,0.0
heatResidental,DE11,dem,d210,0.00023598054166666668
heatResidental,DE11,dem,d211,0.0007098520833333334
heatResidental,DE11,dem,d212,0.006357109041666667
heatResidental,DE11,dem,d213,0.0002359702083333333
heatResidental,DE11,dem,d214,0.04745274795833334
heatResidental,DE11,dem,d215,0.08901639170833331
heatResidental,DE11,dem,d216,0.00023598054166666668
heatResidental,DE11,dem,d217,0.0038731227916666672
heatResidental,DE11,dem,d218,0.05237947900000001
heatResidental,DE11,dem,d219,0.062027042916666664
heatResidental,DE11,dem,d220,0.10596048987500001
heatResidental,DE11,dem,d221,0.0647815985
heatResidental,DE11,dem,d222,0.03669581041666666
heatResidental,DE11,dem,d223,0.240939976625
heatResidental,DE11,dem,d224,0.24600206729166665
heatResidental,DE11,dem,d225,0.1964612875416667
heatResidental,DE11,dem,d226,0.006787621666666667
heatResidental,DE11,dem,d227,0.031658315
heatResidental,DE11,dem,d228,0.006998183916666667
heatResidental,DE11,dem,d229,0.05199792654166666
heatResidental,DE11,dem,d230,0.06806453083333333
heatResidental,DE11,dem,d231,0.11028976420833335
heatResidental,DE11,dem,d232,0.0033628368333333335
heatResidental,DE11,dem,d233,0.0007136730000000001
heatResidental,DE11,dem,d234,0.06691505241666666
heatResidental,DE11,dem,d235,0.1461474495
heatResidental,DE11,dem,d236,0.09017902679166667
heatResidental,DE11,dem,d237,0.035019283375
heatResidental,DE11,dem,d238,0.008445553291666668
heatResidental,DE11,dem,d239,0.06128017345833334
heatResidental,DE11,dem,d240,0.040467704
heatResidental,DE11,dem,d241,0.017564659541666666
heatResidental,DE11,dem,d242,0.0
heatResidental,DE11,dem,d243,0.005432291666666668
heatResidental,DE11,dem,d244,0.09480329054166668
heatResidental,DE11,dem,d245,0.08445507633333332
heatResidental,DE11,dem,d246,0.050362921124999994
heatResidental,DE11,dem,d247,0.043331847166666666
heatResidental,DE11,dem,d248,0.04211685291666666
heatResidental,DE11,dem,d249,0.038860237625
heatResidental,DE11,dem,d250,0.016431323083333334
heatResidental,DE11,dem,d251,0.011386954833333332
heatResidental,DE11,dem,d252,0.01929827166666667
heatResidental,DE11,dem,d253,0.03149810408333333
heatResidental,DE11,dem,d254,0.044431896750000005
heatResidental,DE11,dem,d255,0.034564138291666664
heatResidental,DE11,dem,d256,0.017870579708333334
heatResidental,DE11,dem,d257,0.03394515404166666
heatResidental,DE11,dem,d258,0.057791871333333335
heatResidental,DE11,dem,d259,0.04900290008333333
heatResidental,DE11,dem,d260,0.024119465916666666
heatResidental,DE11,dem,d261,0.130156537
heatResidental,DE11,dem,d262,0.11150551179166666
heatResidental,DE11,dem,d263,0.13791533124999997
heatResidental,DE11,dem,d264,0.20983560641666665
heatResidental,DE11,dem,d265,0.3283522995833334
heatResidental,DE11,dem,d266,0.3730476970416667
heatResidental,DE11,dem,d267,0.3126387637083333
heatResidental,DE11,dem,d268,0.3131714025416667
heatResidental,DE11,dem,d269,0.3142133398333333
heatResidental,DE11,dem,d270,0.25523821799999996
heatResidental,DE11,dem,d271,0.2179964173333333
heatResidental,DE11,dem,d272,0.20982030183333325
heatResidental,DE11,dem,d273,0.16111385508333334
heatResidental,DE11,dem,d274,0.17022847170833333
heatResidental,DE11,dem,d275,0.11165751199999997
heatResidental,DE11,dem,d276,0.16289799458333334
heatResidental,DE11,dem,d277,0.31098038033333336
heatResidental,DE11,dem,d278,0.3999968040000001
heatResidental,DE11,dem,d279,0.6186771005833334
heatResidental,DE11,dem,d280,0.49381594941666657
heatResidental,DE11,dem,d281,0.38435018875
heatResidental,DE11,dem,d282,0.4735963930416666
heatResidental,DE11,dem,d283,0.656751263375
heatResidental,DE11,dem,d284,0.6384494750416667
heatResidental,DE11,dem,d285,0.6607396004583334
heatResidental,DE11,dem,d286,0.5656347470416666
heatResidental,DE11,dem,d287,0.5718052349583334
heatResidental,DE11,dem,d288,0.39193267699999995
heatResidental,DE11,dem,d289,0.14551679429166667
heatResidental,DE11,dem,d290,0.22100359041666662
heatResidental,DE11,dem,d291,0.3976996610416666
heatResidental,DE11,dem,d292,0.25455533775
heatResidental,DE11,dem,d293,0.3942246516666666
heatResidental,DE11,dem,d294,0.45942790012499996
heatResidental,DE11,dem,d295,0.5901600786666666
heatResidental,DE11,dem,d296,0.6200653293333334
heatResidental,DE11,dem,d297,0.6644189941666664
heatResidental,DE11,dem,d298,0.3846950224166667
heatResidental,DE11,dem,d299,0.29339339825
heatResidental,DE11,dem,d300,0.42286214074999995
heatResidental,DE11,dem,d301,0.4414880186250001
heatResidental,DE11,dem,d302,0.5820622037083333
heatResidental,DE11,dem,d303,0.3539625790833334
heatResidental,DE11,dem,d304,0.544414649125
heatResidental,DE11,dem,d305,0.7068489080833333
heatResidental,DE11,dem,d306,0.6535912286666666
heatResidental,DE11,dem,d307,0.6179148840416666
heatResidental,DE11,dem,d308,0.7570469685833334
heatResidental,DE11,dem,d309,0.9074762157916668
heatResidental,DE11,dem,d310,0.7063136324999998
heatResidental,DE11,dem,d311,0.71694920525
heatResidental,DE11,dem,d312,0.8796119517499998
heatResidental,DE11,dem,d313,1.0082500065000002
heatResidental,DE11,dem,d314,0.9052373389166667
heatResidental,DE11,dem,d315,0.7813130574166666
heatResidental,DE11,dem,d316,0.7366921714583334
heatResidental,DE11,dem,d317,0.9067010156666667
heatResidental,DE11,dem,d318,1.0551443460416665
heatResidental,DE11,dem,d319,1.1395595000833332
heatResidental,DE11,dem,d320,0.3642335482916666
heatResidental,DE11,dem,d321,0.4488440568333334
heatResidental,DE11,dem,d322,0.4638649017916667
heatResidental,DE11,dem,d323,0.5779865696250001
heatResidental,DE11,dem,d324,0.5802164433333333
heatResidental,DE11,dem,d325,0.7169883161249998
heatResidental,DE11,dem,d326,0.4845328022916668
heatResidental,DE11,dem,d327,0.3875666427916667
heatResidental,DE11,dem,d328,0.5975730080416667
heatResidental,DE11,dem,d329,0.5358420667083333
heatResidental,DE11,dem,d330,0.49482959725000003
heatResidental,DE11,dem,d331,0.5481586747916667
heatResidental,DE11,dem,d332,0.6731689342499999
heatResidental,DE11,dem,d333,1.1313297827916666
heatResidental,DE11,dem,d334,1.3133577863333332
heatResidental,DE11,dem,d335,1.2969723567916664
heatResidental,DE11,dem,d336,0.9232533818333336
heatResidental,DE11,dem,d337,0.8621596652083334
heatResidental,DE11,dem,d338,1.225735982625
heatResidental,DE11,dem,d339,1.3932982821666666
heatResidental,DE11,dem,d340,1.2189789460833336
heatResidental,DE11,dem,d341,1.1816269284999998
heatResidental,DE11,dem,d342,1.2630491700416666
heatResidental,DE11,dem,d343,1.2656537695833332
heatResidental,DE11,dem,d344,1.1761753537083333
heatResidental,DE11,dem,d345,0.9338939006249999
heatResidental,DE11,dem,d346,0.9838299114583332
heatResidental,DE11,dem,d347,0.7146154151249999
heatResidental,DE11,dem,d348,0.8785031799166664
heatResidental,DE11,dem,d349,0.8570130762083333
heatResidental,DE11,dem,d350,0.9481920053749998
heatResidental,DE11,dem,d351,1.1425897654583332
heatResidental,DE11,dem,d352,1.2472656317916666
heatResidental,DE11,dem,d353,1.1114360564166665
heatResidental,DE11,dem,d354,0.9802440125000002
heatResidental,DE11,dem,d355,1.1410617303333332
heatResidental,DE11,dem,d356,1.2799003695416669
heatResidental,DE11,dem,d357,1.3160279144583333
heatResidental,DE11,dem,d358,1.1795225763333332
heatResidental,DE11,dem,d359,0.9263619876666667
heatResidental,DE11,dem,d360,0.5972013995416666
heatResidental,DE11,dem,d361,0.5232476129583333
heatResidental,DE11,dem,d362,0.8103640429583335
heatResidental,DE11,dem,d363,0.7360282196666668
heatResidental,DE11,dem,d364,1.0201788054583336
heatResidental,DE11,dem,d365,1.3435303184166665
heatResidental,DE12,dem,d001,1.0359779410833334
heatResidental,DE12,dem,d002,0.8782497984166667
heatResidental,DE12,dem,d003,0.7742850223749999
heatResidental,DE12,dem,d004,0.687293777875
heatResidental,DE12,dem,d005,0.9836599947499999
heatResidental,DE12,dem,d006,1.6061645386666668
heatResidental,DE12,dem,d007,1.6241283551666668
heatResidental,DE12,dem,d008,1.0622906919999997
heatResidental,DE12,dem,d009,0.8128944940833334
heatResidental,DE12,dem,d010,0.9888816632083334
heatResidental,DE12,dem,d011,1.130082075125
heatResidental,DE12,dem,d012,0.5883360723333333
heatResidental,DE12,dem,d013,0.6272559795
heatResidental,DE12,dem,d014,0.7322686325833333
heatResidental,DE12,dem,d015,0.8275909902083333
heatResidental,DE12,dem,d016,0.89491854525
heatResidental,DE12,dem,d017,1.0149456580416667
heatResidental,DE12,dem,d018,0.9923792985
heatResidental,DE12,dem,d019,1.4796784587916667
heatResidental,DE12,dem,d020,1.5013714479166664
heatResidental,DE12,dem,d021,1.4183990054166669
heatResidental,DE12,dem,d022,1.4189686796666665
heatResidental,DE12,dem,d023,1.5151501801666667
heatResidental,DE12,dem,d024,1.3306723249583337
heatResidental,DE12,dem,d025,1.0108043436666667
heatResidental,DE12,dem,d026,0.9596615005416665
heatResidental,DE12,dem,d027,1.1073242344583334
heatResidental,DE12,dem,d028,1.0633716475416668
heatResidental,DE12,dem,d029,1.1485691102916664
heatResidental,DE12,dem,d030,1.0647716211666667
heatResidental,DE12,dem,d031,0.4968925312083334
heatResidental,DE12,dem,d032,0.26549651962500004
heatResidental,DE12,dem,d033,0.30558434608333335
heatResidental,DE12,dem,d034,0.46639627570833325
heatResidental,DE12,dem,d035,0.5757375365833332
heatResidental,DE12,dem,d036,0.5479062104583333
heatResidental,DE12,dem,d037,0.5096426368750001
heatResidental,DE12,dem,d038,0.4449645681249999
heatResidental,DE12,dem,d039,0.3427615970833333
heatResidental,DE12,dem,d040,0.3217540137916667
heatResidental,DE12,dem,d041,0.5350770381666667
heatResidental,DE12,dem,d042,0.58081548825
heatResidental,DE12,dem,d043,0.6723742729166667
heatResidental,DE12,dem,d044,0.5997599516250002
heatResidental,DE12,dem,d045,0.38283847983333336
heatResidental,DE12,dem,d046,0.4314762624166666
heatResidental,DE12,dem,d047,0.4999068452916667
heatResidental,DE12,dem,d048,0.5615683248333334
heatResidental,DE12,dem,d049,0.6008829534166666
heatResidental,DE12,dem,d050,0.5334644829166667
heatResidental,DE12,dem,d051,0.5793356392500001
heatResidental,DE12,dem,d052,0.2223276550833333
heatResidental,DE12,dem,d053,0.29110464033333333
heatResidental,DE12,dem,d054,0.38841156154166673
heatResidental,DE12,dem,d055,0.6186766425
heatResidental,DE12,dem,d056,0.620737899625
heatResidental,DE12,dem,d057,0.639362538625
heatResidental,DE12,dem,d058,0.61116572875
heatResidental,DE12,dem,d059,0.5281081484166668
heatResidental,DE12,dem,d060,0.4514039625833333
heatResidental,DE12,dem,d061,0.6833992398333333
heatResidental,DE12,dem,d062,0.5439759782083334
heatResidental,DE12,dem,d063,0.5941208662083334
heatResidental,DE12,dem,d064,0.5436705521666667
heatResidental,DE12,dem,d065,0.4833148740416667
heatResidental,DE12,dem,d066,0.5409602440416665
heatResidental,DE12,dem,d067,0.563680869625
heatResidental,DE12,dem,d068,0.573052661875
heatResidental,DE12,dem,d069,0.5156326802500001
heatResidental,DE12,dem,d070,0.5377263289583333
heatResidental,DE12,dem,d071,0.4035267836666667
heatResidental,DE12,dem,d072,0.4391278365833333
heatResidental,DE12,dem,d073,0.4308822655833333
heatResidental,DE12,dem,d074,0.5075033404166667
heatResidental,DE12,dem,d075,0.6681854742500001
heatResidental,DE12,dem,d076,0.5210559025416667
heatResidental,DE12,dem,d077,0.46967393662500007
heatResidental,DE12,dem,d078,0.47630207716666667
heatResidental,DE12,dem,d079,0.45511022349999997
heatResidental,DE12,dem,d080,0.4501633236666666
heatResidental,DE12,dem,d081,0.42603229412499993
heatResidental,DE12,dem,d082,0.41761899958333343
heatResidental,DE12,dem,d083,0.4140441362083333
heatResidental,DE12,dem,d084,0.39599141762500006
heatResidental,DE12,dem,d085,0.4252603007916667
heatResidental,DE12,dem,d086,0.399839426625
heatResidental,DE12,dem,d087,0.3557845605
heatResidental,DE12,dem,d088,0.24562810391666656
heatResidental,DE12,dem,d089,0.2526992030833334
heatResidental,DE12,dem,d090,0.2257191818333333
heatResidental,DE12,dem,d091,0.111876554625
heatResidental,DE12,dem,d092,0.27066100662500003
heatResidental,DE12,dem,d093,0.24931604058333345
heatResidental,DE12,dem,d094,0.15307868125
heatResidental,DE12,dem,d095,0.13557167729166666
heatResidental,DE12,dem,d096,0.12245821199999996
heatResidental,DE12,dem,d097,0.21585634641666665
heatResidental,DE12,dem,d098,0.279378971375
heatResidental,DE12,dem,d099,0.37063270837500006
heatResidental,DE12,dem,d100,0.3597792521666667
heatResidental,DE12,dem,d101,0.25976289170833333
heatResidental,DE12,dem,d102,0.2902830222083333
heatResidental,DE12,dem,d103,0.28794345566666674
heatResidental,DE12,dem,d104,0.24229189829166664
heatResidental,DE12,dem,d105,0.28686892766666666
heatResidental,DE12,dem,d106,0.3487580159166667
heatResidental,DE12,dem,d107,0.18431619820833334
heatResidental,DE12,dem,d108,0.2782241979999999
heatResidental,DE12,dem,d109,0.3061661019583333
heatResidental,DE12,dem,d110,0.3115537186250001
heatResidental,DE12,dem,d111,0.30955874391666666
heatResidental,DE12,dem,d112,0.3214699111666668
heatResidental,DE12,dem,d113,0.267061027875
heatResidental,DE12,dem,d114,0.26533871670833337
heatResidental,DE12,dem,d115,0.5596234740833333
