region_2,technology_1,technology_2,parameter,timestep_2,value
DE11,rooftop,rooftop_a,avaConv,d097,0.1501443717336718
DE11,rooftop,rooftop_a,avaConv,d098,0.1632871120672795
DE11,rooftop,rooftop_a,avaConv,d099,0.08515630511952789
DE11,rooftop,rooftop_a,avaConv,d100,0.19510963818407268
DE11,rooftop,rooftop_a,avaConv,d101,0.22464377289920304
DE11,rooftop,rooftop_a,avaConv,d102,0.13933500161572906
DE11,rooftop,rooftop_a,avaConv,d103,0.08797901820933596
DE11,rooftop,rooftop_a,avaConv,d104,0.18434179494148448
DE11,rooftop,rooftop_a,avaConv,d105,0.1025945277891646
DE11,rooftop,rooftop_a,avaConv,d106,0.12023300268299057
DE11,rooftop,rooftop_a,avaConv,d107,0.09451374312063139
DE11,rooftop,rooftop_a,avaConv,d108,0.18051667463590781
DE11,rooftop,rooftop_a,avaConv,d109,0.23707519820168307
DE11,rooftop,rooftop_a,avaConv,d110,0.24661900575462425
DE11,rooftop,rooftop_a,avaConv,d111,0.24404669585227567
DE11,rooftop,rooftop_a,avaConv,d112,0.11789575062460893
DE11,rooftop,rooftop_a,avaConv,d113,0.0643348874706104
DE11,rooftop,rooftop_a,avaConv,d114,0.13950151460465596
DE11,rooftop,rooftop_a,avaConv,d115,0.13952679034459906
DE11,rooftop,rooftop_a,avaConv,d116,0.1154389789039894
DE11,rooftop,rooftop_a,avaConv,d117,0.1600133614229394
DE11,rooftop,rooftop_a,avaConv,d118,0.16396928095306537
DE11,rooftop,rooftop_a,avaConv,d119,0.24991420701111497
DE11,rooftop,rooftop_a,avaConv,d120,0.18739679325525016
DE11,rooftop,rooftop_a,avaConv,d121,0.13655507787378157
DE11,rooftop,rooftop_a,avaConv,d122,0.24123209244180807
DE11,rooftop,rooftop_a,avaConv,d123,0.1414927222937822
DE11,rooftop,rooftop_a,avaConv,d124,0.25480769964269556
DE11,rooftop,rooftop_a,avaConv,d125,0.2534004957678712
DE11,rooftop,rooftop_a,avaConv,d126,0.24559911100036091
DE11,rooftop,rooftop_a,avaConv,d127,0.2421313094066437
DE11,rooftop,rooftop_a,avaConv,d128,0.24495894147215844
DE11,rooftop,rooftop_a,avaConv,d129,0.18941104474847528
DE11,rooftop,rooftop_a,avaConv,d130,0.08214264144178904
DE11,rooftop,rooftop_a,avaConv,d131,0.15060963430815388
DE11,rooftop,rooftop_a,avaConv,d132,0.11376952257215389
DE11,rooftop,rooftop_a,avaConv,d133,0.09196398365882136
