region_1,region_2,carrier_1,carrier_2,parameter,timestep_2,value
CH,CH,electricity,electricity_central,dem,d004,10.055072709291666
CZ,CZ,electricity,electricity_central,dem,d004,5.262609893541666
DK,DK,electricity,electricity_central,dem,d004,4.892143300041665
ES,ES,electricity,electricity_central,dem,d004,28.346649555833338
FI,FI,electricity,electricity_central,dem,d004,2.5015982822500002
FR,FR,electricity,electricity_central,dem,d004,62.858819812499995
GR,GR,electricity,electricity_central,dem,d004,6.624223817583332
HR,HR,electricity,electricity_central,dem,d004,2.1667015884166663
HU,HU,electricity,electricity_central,dem,d004,3.425878981291667
IE,IE,electricity,electricity_central,dem,d004,2.7779710396249997
IT,IT,electricity,electricity_central,dem,d004,13.467069160666666
LU,LU,electricity,electricity_central,dem,d004,0.8288871987916666
NL,NL,electricity,electricity_central,dem,d004,8.070704785791667
NO,NO,electricity,electricity_central,dem,d004,12.899537744583334
PL,PL,electricity,electricity_central,dem,d004,17.37221793
PT,PT,electricity,electricity_central,dem,d004,5.359629924916667
RO,RO,electricity,electricity_central,dem,d004,5.957613004374999
SE,SE,electricity,electricity_central,dem,d004,13.873511352083334
SI,SI,electricity,electricity_central,dem,d004,0.920563331875
SK,SK,electricity,electricity_central,dem,d004,2.02141615025
UK,UK,electricity,electricity_central,dem,d004,34.691733641249996
EE,EE,electricity,electricity_central,dem,d004,0.84331603725
LT,LT,electricity,electricity_central,dem,d004,0.5294431345833334
LV,LV,electricity,electricity_central,dem,d004,0.7347405659166667
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d004,5.9874943595416665
TR,TR,electricity,electricity_central,dem,d004,27.108539254583334
AT,AT,electricity,electricity_central,dem,d005,4.094179709666666
BE,BE,electricity,electricity_central,dem,d005,4.921809765791666
BG,BG,electricity,electricity_central,dem,d005,4.095713386458333
CH,CH,electricity,electricity_central,dem,d005,9.282310106583333
CZ,CZ,electricity,electricity_central,dem,d005,4.671922763083334
DK,DK,electricity,electricity_central,dem,d005,3.999082786791666
ES,ES,electricity,electricity_central,dem,d005,25.509074897499996
FI,FI,electricity,electricity_central,dem,d005,2.443621955833333
FR,FR,electricity,electricity_central,dem,d005,57.934639700416675
GR,GR,electricity,electricity_central,dem,d005,6.673639655958333
HR,HR,electricity,electricity_central,dem,d005,2.025702337083333
HU,HU,electricity,electricity_central,dem,d005,3.1762043092083334
IE,IE,electricity,electricity_central,dem,d005,2.5990568340416664
IT,IT,electricity,electricity_central,dem,d005,12.184138514125001
LU,LU,electricity,electricity_central,dem,d005,0.7713012567083335
NL,NL,electricity,electricity_central,dem,d005,7.254072984500001
NO,NO,electricity,electricity_central,dem,d005,12.334110400833334
PL,PL,electricity,electricity_central,dem,d005,15.855439092499997
PT,PT,electricity,electricity_central,dem,d005,4.7686024920833345
RO,RO,electricity,electricity_central,dem,d005,5.629124121041667
SE,SE,electricity,electricity_central,dem,d005,13.592834385833333
SI,SI,electricity,electricity_central,dem,d005,0.8275442947083335
SK,SK,electricity,electricity_central,dem,d005,1.902057748291667
UK,UK,electricity,electricity_central,dem,d005,31.541045008750007
EE,EE,electricity,electricity_central,dem,d005,0.7747865314166668
LT,LT,electricity,electricity_central,dem,d005,0.4892343510833334
LV,LV,electricity,electricity_central,dem,d005,0.6811590352083332
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d005,5.843106257500001
TR,TR,electricity,electricity_central,dem,d005,27.31076539375
AT,AT,electricity,electricity_central,dem,d006,3.8618742319583323
BE,BE,electricity,electricity_central,dem,d006,4.73674115975
BG,BG,electricity,electricity_central,dem,d006,4.133183371166667
CH,CH,electricity,electricity_central,dem,d006,8.812405375166668
CZ,CZ,electricity,electricity_central,dem,d006,4.580758003583333
DK,DK,electricity,electricity_central,dem,d006,4.12509573475
ES,ES,electricity,electricity_central,dem,d006,23.43966199916666
