region_1,region_2,carrier_1,parameter,timestep_2,value
NO,NO,heatResidental,dem,d004,1.7749999852916665
PL,PL,heatResidental,dem,d004,10.380935852
PT,PT,heatResidental,dem,d004,4.670728108333333
RO,RO,heatResidental,dem,d004,1.969218934166667
SE,SE,heatResidental,dem,d004,9.804343822583332
SI,SI,heatResidental,dem,d004,0.8918677109999998
SK,SK,heatResidental,dem,d004,0.7251927810000001
UK,UK,heatResidental,dem,d004,25.290879594583334
EE,EE,heatResidental,dem,d004,0.7971015162916667
LT,LT,heatResidental,dem,d004,1.1145095873333333
LV,LV,heatResidental,dem,d004,0.8030913427916667
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d004,1.6313562893333335
TR,TR,heatResidental,dem,d004,22.951162819999997
AT,AT,heatResidental,dem,d005,6.290211046541664
BE,BE,heatResidental,dem,d005,2.785000030125
BG,BG,heatResidental,dem,d005,1.5022621993333332
CH,CH,heatResidental,dem,d005,2.480607054291667
CZ,CZ,heatResidental,dem,d005,3.9958373491249994
DK,DK,heatResidental,dem,d005,3.6725060237083333
ES,ES,heatResidental,dem,d005,14.782090180000004
FI,FI,heatResidental,dem,d005,11.383364187208334
FR,FR,heatResidental,dem,d005,37.85554326583333
GR,GR,heatResidental,dem,d005,4.533511013374999
HR,HR,heatResidental,dem,d005,0.8825564792083332
HU,HU,heatResidental,dem,d005,3.1371618423750003
IE,IE,heatResidental,dem,d005,2.37540895575
IT,IT,heatResidental,dem,d005,31.192425420208334
LU,LU,heatResidental,dem,d005,0.3045909687916667
NL,NL,heatResidental,dem,d005,9.575051737583332
NO,NO,heatResidental,dem,d005,1.7761764241666669
PL,PL,heatResidental,dem,d005,10.390764914583334
PT,PT,heatResidental,dem,d005,4.583342895083333
RO,RO,heatResidental,dem,d005,1.9690706322083333
SE,SE,heatResidental,dem,d005,9.808870257
SI,SI,heatResidental,dem,d005,0.8914256726249999
SK,SK,heatResidental,dem,d005,0.7251836647916668
UK,UK,heatResidental,dem,d005,25.541518136666667
EE,EE,heatResidental,dem,d005,0.794872372
LT,LT,heatResidental,dem,d005,1.1117696277083333
LV,LV,heatResidental,dem,d005,0.8001378287083333
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d005,1.630830236875
TR,TR,heatResidental,dem,d005,22.585458228750003
AT,AT,heatResidental,dem,d006,6.260926992375
BE,BE,heatResidental,dem,d006,2.7816701332083333
BG,BG,heatResidental,dem,d006,1.5015740717500003
CH,CH,heatResidental,dem,d006,2.4755187164583337
CZ,CZ,heatResidental,dem,d006,3.996423863666667
DK,DK,heatResidental,dem,d006,3.666002193166667
ES,ES,heatResidental,dem,d006,14.74591232625
FI,FI,heatResidental,dem,d006,11.380706690875
FR,FR,heatResidental,dem,d006,37.785652104583335
GR,GR,heatResidental,dem,d006,4.413875712958332
HR,HR,heatResidental,dem,d006,0.8819397583333335
HU,HU,heatResidental,dem,d006,3.1335554605
IE,IE,heatResidental,dem,d006,2.3648523485
IT,IT,heatResidental,dem,d006,30.528064863541662
LU,LU,heatResidental,dem,d006,0.304229009125
NL,NL,heatResidental,dem,d006,9.566885178041666
NO,NO,heatResidental,dem,d006,1.7751957787083332
PL,PL,heatResidental,dem,d006,10.380406696875001
PT,PT,heatResidental,dem,d006,4.589199833625
RO,RO,heatResidental,dem,d006,1.9674385338333333
SE,SE,heatResidental,dem,d006,9.805097152791667
SI,SI,heatResidental,dem,d006,0.8902513494999998
SK,SK,heatResidental,dem,d006,0.7250833395000001
UK,UK,heatResidental,dem,d006,25.44040754375
EE,EE,heatResidental,dem,d006,0.7926587970000001
LT,LT,heatResidental,dem,d006,1.1089542882916663
LV,LV,heatResidental,dem,d006,0.7971906042499999
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d006,1.629432721375
TR,TR,heatResidental,dem,d006,22.007826065
AT,AT,heatResidental,dem,d007,6.2118632461666685
BE,BE,heatResidental,dem,d007,2.776637695958333
BG,BG,heatResidental,dem,d007,1.5006722993750001
CH,CH,heatResidental,dem,d007,2.4677118310833333
CZ,CZ,heatResidental,dem,d007,3.9968973823750003
DK,DK,heatResidental,dem,d007,3.660785569625
ES,ES,heatResidental,dem,d007,14.723665687083335
FI,FI,heatResidental,dem,d007,11.377639300541667
FR,FR,heatResidental,dem,d007,37.664625189166664
GR,GR,heatResidental,dem,d007,4.217778916208333
HR,HR,heatResidental,dem,d007,0.8811315629583332
HU,HU,heatResidental,dem,d007,3.1288207573750006
IE,IE,heatResidental,dem,d007,2.3548375332083338
IT,IT,heatResidental,dem,d007,30.69484887125
LU,LU,heatResidental,dem,d007,0.303681983375
NL,NL,heatResidental,dem,d007,9.525490483583335
NO,NO,heatResidental,dem,d007,1.7740638780000006
PL,PL,heatResidental,dem,d007,10.360583875625002
PT,PT,heatResidental,dem,d007,4.578095174375002
RO,RO,heatResidental,dem,d007,1.9652958043750004
SE,SE,heatResidental,dem,d007,9.800742081291665
SI,SI,heatResidental,dem,d007,0.8887124316249998
SK,SK,heatResidental,dem,d007,0.7249516255833334
UK,UK,heatResidental,dem,d007,25.344667812083333
EE,EE,heatResidental,dem,d007,0.7913356486666667
LT,LT,heatResidental,dem,d007,1.1071013909166665
LV,LV,heatResidental,dem,d007,0.7954031245833333
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d007,1.627601316041667
TR,TR,heatResidental,dem,d007,21.061016751250005
AT,AT,heatResidental,dem,d008,6.269252855083334
BE,BE,heatResidental,dem,d008,2.7746730955416665
BG,BG,heatResidental,dem,d008,1.4997768577083332
CH,CH,heatResidental,dem,d008,2.4622008983333337
CZ,CZ,heatResidental,dem,d008,3.9948512823333338
DK,DK,heatResidental,dem,d008,3.6563710915833343
ES,ES,heatResidental,dem,d008,14.715192352916667
FI,FI,heatResidental,dem,d008,11.378235920458335
FR,FR,heatResidental,dem,d008,37.71019763416667
GR,GR,heatResidental,dem,d008,4.271050525291666
HR,HR,heatResidental,dem,d008,0.8803290412083338
HU,HU,heatResidental,dem,d008,3.1250552050416673
IE,IE,heatResidental,dem,d008,2.3254475888333332
IT,IT,heatResidental,dem,d008,30.838866339250004
LU,LU,heatResidental,dem,d008,0.30346843133333323
NL,NL,heatResidental,dem,d008,9.528784467958333
NO,NO,heatResidental,dem,d008,1.7742840378333333
PL,PL,heatResidental,dem,d008,10.336141953666667
PT,PT,heatResidental,dem,d008,4.565830739666667
RO,RO,heatResidental,dem,d008,1.963591672125
SE,SE,heatResidental,dem,d008,9.801589162916668
SI,SI,heatResidental,dem,d008,0.88718431725
SK,SK,heatResidental,dem,d008,0.7248468722500001
UK,UK,heatResidental,dem,d008,25.06596729916667
EE,EE,heatResidental,dem,d008,0.7908663572083334
LT,LT,heatResidental,dem,d008,1.106284732875
LV,LV,heatResidental,dem,d008,0.7947449511666665
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d008,1.6257827675416667
TR,TR,heatResidental,dem,d008,21.318226743333334
AT,AT,heatResidental,dem,d009,6.150390172291666
BE,BE,heatResidental,dem,d009,2.772437965125001
BG,BG,heatResidental,dem,d009,1.499037941458333
CH,CH,heatResidental,dem,d009,2.459546449791667
