region_2,technology_1,technology_2,technology_3,parameter,value
NL,pv,openspace,openspace_b,capaConvUp,18.05
NO,pv,openspace,openspace_b,capaConvUp,6
NONEU_Balkan,pv,openspace,openspace_b,capaConvUp,43.8
PL,pv,openspace,openspace_b,capaConvUp,75
PT,pv,openspace,openspace_b,capaConvUp,12.55
RO,pv,openspace,openspace_b,capaConvUp,63
SE,pv,openspace,openspace_b,capaConvUp,21.45
SI,pv,openspace,openspace_b,capaConvUp,2.85
SK,pv,openspace,openspace_b,capaConvUp,8.8
TR,pv,openspace,openspace_b,capaConvUp,220.45
UK,pv,openspace,openspace_b,capaConvUp,76.5
AT,wind_offshore,offshore,offshore_b,capaConvUp,0
BE,wind_offshore,offshore,offshore_b,capaConvUp,3.033333333
BG,wind_offshore,offshore,offshore_b,capaConvUp,3.866666667
CH,wind_offshore,offshore,offshore_b,capaConvUp,0
CZ,wind_offshore,offshore,offshore_b,capaConvUp,0
DK,wind_offshore,offshore,offshore_b,capaConvUp,49.66666667
EE,wind_offshore,offshore,offshore_b,capaConvUp,18.63333333
ES,wind_offshore,offshore,offshore_b,capaConvUp,18.33333333
FI,wind_offshore,offshore,offshore_b,capaConvUp,43.5
FR,wind_offshore,offshore,offshore_b,capaConvUp,44.56666667
GR,wind_offshore,offshore,offshore_b,capaConvUp,9.2
HR,wind_offshore,offshore,offshore_b,capaConvUp,15.7
HU,wind_offshore,offshore,offshore_b,capaConvUp,0
IE,wind_offshore,offshore,offshore_b,capaConvUp,17.4
IT,wind_offshore,offshore,offshore_b,capaConvUp,25.9
LT,wind_offshore,offshore,offshore_b,capaConvUp,3.066666667
LU,wind_offshore,offshore,offshore_b,capaConvUp,0
LV,wind_offshore,offshore,offshore_b,capaConvUp,14.36666667
NL,wind_offshore,offshore,offshore_b,capaConvUp,19.03333333
NO,wind_offshore,offshore,offshore_b,capaConvUp,40.73333333
NONEU_Balkan,wind_offshore,offshore,offshore_b,capaConvUp,1.833333333
PL,wind_offshore,offshore,offshore_b,capaConvUp,13.56666667
PT,wind_offshore,offshore,offshore_b,capaConvUp,5.566666667
RO,wind_offshore,offshore,offshore_b,capaConvUp,8.1
SE,wind_offshore,offshore,offshore_b,capaConvUp,55.9
SI,wind_offshore,offshore,offshore_b,capaConvUp,0.1
SK,wind_offshore,offshore,offshore_b,capaConvUp,0
TR,wind_offshore,offshore,offshore_b,capaConvUp,10
UK,wind_offshore,offshore,offshore_b,capaConvUp,33
AT,wind_offshore,offshore,offshore_c,capaConvUp,0
BE,wind_offshore,offshore,offshore_c,capaConvUp,3.033333333
BG,wind_offshore,offshore,offshore_c,capaConvUp,3.866666667
CH,wind_offshore,offshore,offshore_c,capaConvUp,0
CZ,wind_offshore,offshore,offshore_c,capaConvUp,0
DK,wind_offshore,offshore,offshore_c,capaConvUp,49.66666667
EE,wind_offshore,offshore,offshore_c,capaConvUp,18.63333333
ES,wind_offshore,offshore,offshore_c,capaConvUp,18.33333333
FI,wind_offshore,offshore,offshore_c,capaConvUp,43.5
FR,wind_offshore,offshore,offshore_c,capaConvUp,44.56666667
GR,wind_offshore,offshore,offshore_c,capaConvUp,9.2
HR,wind_offshore,offshore,offshore_c,capaConvUp,15.7
HU,wind_offshore,offshore,offshore_c,capaConvUp,0
IE,wind_offshore,offshore,offshore_c,capaConvUp,17.4
IT,wind_offshore,offshore,offshore_c,capaConvUp,25.9
LT,wind_offshore,offshore,offshore_c,capaConvUp,3.066666667
LU,wind_offshore,offshore,offshore_c,capaConvUp,0
LV,wind_offshore,offshore,offshore_c,capaConvUp,14.36666667
NL,wind_offshore,offshore,offshore_c,capaConvUp,19.03333333
NO,wind_offshore,offshore,offshore_c,capaConvUp,40.73333333
NONEU_Balkan,wind_offshore,offshore,offshore_c,capaConvUp,1.833333333
PL,wind_offshore,offshore,offshore_c,capaConvUp,13.56666667
PT,wind_offshore,offshore,offshore_c,capaConvUp,5.566666667
RO,wind_offshore,offshore,offshore_c,capaConvUp,8.1
SE,wind_offshore,offshore,offshore_c,capaConvUp,55.9
SI,wind_offshore,offshore,offshore_c,capaConvUp,0.1
SK,wind_offshore,offshore,offshore_c,capaConvUp,0
TR,wind_offshore,offshore,offshore_c,capaConvUp,10
UK,wind_offshore,offshore,offshore_c,capaConvUp,33
DE11,wind_offshore,offshore,offshore_b,capaConvUp,0
DE11,wind_offshore,offshore,offshore_c,capaConvUp,0
AT,pv,agrar_pv,,capaConvUp,0
BE,pv,agrar_pv,,capaConvUp,0
BG,pv,agrar_pv,,capaConvUp,0
CH,pv,agrar_pv,,capaConvUp,0
CZ,pv,agrar_pv,,capaConvUp,0
DK,pv,agrar_pv,,capaConvUp,0
EE,pv,agrar_pv,,capaConvUp,0
ES,pv,agrar_pv,,capaConvUp,0
FI,pv,agrar_pv,,capaConvUp,0
FR,pv,agrar_pv,,capaConvUp,0
GR,pv,agrar_pv,,capaConvUp,0
HR,pv,agrar_pv,,capaConvUp,0
