region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1,parameter_2,value_2
CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,1.2,expExcUp,0
CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
DE,,AT,,electricity,electricity_central,capaExcResiDir,9,expExcUp,0
HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,0.535,expExcUp,0
SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,1.04,expExcUp,0
SK,SK,AT,AT,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
DE,,BE,,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
FR,FR,BE,BE,electricity,electricity_central,capaExcResiDir,4.8,expExcUp,0
LU,LU,BE,BE,electricity,electricity_central,capaExcResiDir,0.18,expExcUp,0
NL,NL,BE,BE,electricity,electricity_central,capaExcResiDir,2.9,expExcUp,0
NO,NO,BE,BE,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
UK,UK,BE,BE,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
GR,GR,BG,BG,electricity,electricity_central,capaExcResiDir,0.64,expExcUp,0
NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,capaExcResiDir,1.144,expExcUp,0
RO,RO,BG,BG,electricity,electricity_central,capaExcResiDir,0.3,expExcUp,0
TR,TR,BG,BG,electricity,electricity_central,capaExcResiDir,0.3,expExcUp,0
DE,,CH,,electricity,electricity_central,capaExcResiDir,3.5,expExcUp,0
FR,FR,CH,CH,electricity,electricity_central,capaExcResiDir,3.15,expExcUp,0
IT,IT,CH,CH,electricity,electricity_central,capaExcResiDir,1.91,expExcUp,0
DE,,CZ,,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
PL,PL,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
SK,SK,CZ,CZ,electricity,electricity_central,capaExcResiDir,1.1,expExcUp,0
DK,,DE,,electricity,electricity_central,capaExcResiDir,4.485,expExcUp,0
FR,,DE,,electricity,electricity_central,capaExcResiDir,1.8,expExcUp,0
LU,,DE,,electricity,electricity_central,capaExcResiDir,2.3,expExcUp,0
NL,,DE,,electricity,electricity_central,capaExcResiDir,4.25,expExcUp,0
NO,,DE,,electricity,electricity_central,capaExcResiDir,1.4,expExcUp,0
PL,,DE,,electricity,electricity_central,capaExcResiDir,4.5,expExcUp,0
SE,,DE,,electricity,electricity_central,capaExcResiDir,0.615,expExcUp,0
UK,,DE,,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
NL,NL,DK,DK,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
NO,NO,DK,DK,electricity,electricity_central,capaExcResiDir,1.64,expExcUp,0
PL,PL,DK,DK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
SE,SE,DK,DK,electricity,electricity_central,capaExcResiDir,1.98,expExcUp,0
UK,UK,DK,DK,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
FR,FR,ES,ES,electricity,electricity_central,capaExcResiDir,5,expExcUp,0
IT,IT,ES,ES,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
UK,UK,ES,ES,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
PT,PT,ES,ES,electricity,electricity_central,capaExcResiDir,4.5,expExcUp,0
NO,NO,FI,FI,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
SE,SE,FI,FI,electricity,electricity_central,capaExcResiDir,3.2,expExcUp,0
IT,IT,FR,FR,electricity,electricity_central,capaExcResiDir,4.31,expExcUp,0
LU,LU,FR,FR,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
UK,UK,FR,FR,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
IT,IT,GR,GR,electricity,electricity_central,capaExcResiDir,0.5,expExcUp,0
NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,electricity_central,capaExcResiDir,1.1,expExcUp,0
TR,TR,GR,GR,electricity,electricity_central,capaExcResiDir,0.58,expExcUp,0
HU,HU,HR,HR,electricity,electricity_central,capaExcResiDir,2,expExcUp,0
IT,IT,HR,HR,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,electricity_central,capaExcResiDir,1.35,expExcUp,0
SI,SI,HR,HR,electricity,electricity_central,capaExcResiDir,1.5,expExcUp,0
NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,electricity_central,capaExcResiDir,0.6,expExcUp,0
RO,RO,HU,HU,electricity,electricity_central,capaExcResiDir,1.435,expExcUp,0
SI,SI,HU,HU,electricity,electricity_central,capaExcResiDir,2.4,expExcUp,0
SK,SK,HU,HU,electricity,electricity_central,capaExcResiDir,3.3,expExcUp,0
UK,UK,IE,IE,electricity,electricity_central,capaExcResiDir,1.7,expExcUp,0
NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,electricity_central,capaExcResiDir,0.8,expExcUp,0
SI,SI,IT,IT,electricity,electricity_central,capaExcResiDir,0.73,expExcUp,0
LV,LV,LT,LT,electricity,electricity_central,capaExcResiDir,1.5,expExcUp,0
PL,PL,LT,LT,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
SE,SE,LT,LT,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
SE,SE,LV,LV,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
NO,NO,NL,NL,electricity,electricity_central,capaExcResiDir,0.7,expExcUp,0
UK,UK,NL,NL,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
SE,SE,NO,NO,electricity,electricity_central,capaExcResiDir,3.995,expExcUp,0
UK,UK,NO,NO,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
SE,SE,PL,PL,electricity,electricity_central,capaExcResiDir,0.6,expExcUp,0
SK,SK,PL,PL,electricity,electricity_central,capaExcResiDir,0.99,expExcUp,0
TR,TR,RO,RO,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
FI,FI,EE,EE,electricity,electricity_central,capaExcResiDir,1,expExcUp,0
LV,LV,EE,EE,electricity,electricity_central,capaExcResiDir,1.5,expExcUp,0
SE,SE,EE,EE,electricity,electricity_central,capaExcResiDir,0,expExcUp,0
