timestep_4,technology_1,region_1,parameter,value
h2390,pumpedHydro,NO,stInflow,24.7
h2390,pumpedHydro,SE,stInflow,4.98
h2391,pumpedHydro,AT,stInflow,7.846
h2391,pumpedHydro,CH,stInflow,10.39
h2391,pumpedHydro,FR,stInflow,12.716
h2391,pumpedHydro,IT,stInflow,15.102
h2391,pumpedHydro,NO,stInflow,24.7
h2391,pumpedHydro,SE,stInflow,4.98
h2392,pumpedHydro,AT,stInflow,7.846
h2392,pumpedHydro,CH,stInflow,10.39
h2392,pumpedHydro,FR,stInflow,12.716
h2392,pumpedHydro,IT,stInflow,15.102
h2392,pumpedHydro,NO,stInflow,24.7
h2392,pumpedHydro,SE,stInflow,4.98
h2393,pumpedHydro,AT,stInflow,7.846
h2393,pumpedHydro,CH,stInflow,10.39
h2393,pumpedHydro,FR,stInflow,12.716
h2393,pumpedHydro,IT,stInflow,15.102
h2393,pumpedHydro,NO,stInflow,24.7
h2393,pumpedHydro,SE,stInflow,4.98
h2394,pumpedHydro,AT,stInflow,7.846
h2394,pumpedHydro,CH,stInflow,10.39
h2394,pumpedHydro,FR,stInflow,12.716
h2394,pumpedHydro,IT,stInflow,15.102
h2394,pumpedHydro,NO,stInflow,24.7
h2394,pumpedHydro,SE,stInflow,4.98
h2395,pumpedHydro,AT,stInflow,7.846
h2395,pumpedHydro,CH,stInflow,10.39
h2395,pumpedHydro,FR,stInflow,12.716
h2395,pumpedHydro,IT,stInflow,15.102
h2395,pumpedHydro,NO,stInflow,24.7
h2395,pumpedHydro,SE,stInflow,4.98
h2396,pumpedHydro,AT,stInflow,7.846
h2396,pumpedHydro,CH,stInflow,10.39
h2396,pumpedHydro,FR,stInflow,12.716
h2396,pumpedHydro,IT,stInflow,15.102
h2396,pumpedHydro,NO,stInflow,24.7
h2396,pumpedHydro,SE,stInflow,4.98
h2397,pumpedHydro,AT,stInflow,7.846
h2397,pumpedHydro,CH,stInflow,10.39
h2397,pumpedHydro,FR,stInflow,12.716
h2397,pumpedHydro,IT,stInflow,15.102
h2397,pumpedHydro,NO,stInflow,24.7
h2397,pumpedHydro,SE,stInflow,4.98
h2398,pumpedHydro,AT,stInflow,7.846
h2398,pumpedHydro,CH,stInflow,10.39
h2398,pumpedHydro,FR,stInflow,12.716
h2398,pumpedHydro,IT,stInflow,15.102
h2398,pumpedHydro,NO,stInflow,24.7
h2398,pumpedHydro,SE,stInflow,4.98
h2399,pumpedHydro,AT,stInflow,7.846
h2399,pumpedHydro,CH,stInflow,10.39
h2399,pumpedHydro,FR,stInflow,12.716
h2399,pumpedHydro,IT,stInflow,15.102
h2399,pumpedHydro,NO,stInflow,24.7
h2399,pumpedHydro,SE,stInflow,4.98
h2400,pumpedHydro,AT,stInflow,7.846
h2400,pumpedHydro,CH,stInflow,10.39
h2400,pumpedHydro,FR,stInflow,12.716
h2400,pumpedHydro,IT,stInflow,15.102
h2400,pumpedHydro,NO,stInflow,24.7
h2400,pumpedHydro,SE,stInflow,4.98
h2401,pumpedHydro,AT,stInflow,7.846
h2401,pumpedHydro,CH,stInflow,10.39
h2401,pumpedHydro,FR,stInflow,12.716
h2401,pumpedHydro,IT,stInflow,15.102
h2401,pumpedHydro,NO,stInflow,24.7
h2401,pumpedHydro,SE,stInflow,4.98
h2402,pumpedHydro,AT,stInflow,7.846
h2402,pumpedHydro,CH,stInflow,10.39
h2402,pumpedHydro,FR,stInflow,12.716
h2402,pumpedHydro,IT,stInflow,15.102
h2402,pumpedHydro,NO,stInflow,24.7
h2402,pumpedHydro,SE,stInflow,4.98
h2403,pumpedHydro,AT,stInflow,7.846
h2403,pumpedHydro,CH,stInflow,10.39
h2403,pumpedHydro,FR,stInflow,12.716
h2403,pumpedHydro,IT,stInflow,15.102
h2403,pumpedHydro,NO,stInflow,24.7
h2403,pumpedHydro,SE,stInflow,4.98
h2404,pumpedHydro,AT,stInflow,7.846
h2404,pumpedHydro,CH,stInflow,10.39
h2404,pumpedHydro,FR,stInflow,12.716
h2404,pumpedHydro,IT,stInflow,15.102
h2404,pumpedHydro,NO,stInflow,24.7
h2404,pumpedHydro,SE,stInflow,4.98
h2405,pumpedHydro,AT,stInflow,7.846
h2405,pumpedHydro,CH,stInflow,10.39
h2405,pumpedHydro,FR,stInflow,12.716
h2405,pumpedHydro,IT,stInflow,15.102
h2405,pumpedHydro,NO,stInflow,24.7
h2405,pumpedHydro,SE,stInflow,4.98
h2406,pumpedHydro,AT,stInflow,7.846
h2406,pumpedHydro,CH,stInflow,10.39
h2406,pumpedHydro,FR,stInflow,12.716
h2406,pumpedHydro,IT,stInflow,15.102
h2406,pumpedHydro,NO,stInflow,24.7
h2406,pumpedHydro,SE,stInflow,4.98
h2407,pumpedHydro,AT,stInflow,7.846
h2407,pumpedHydro,CH,stInflow,10.39
h2407,pumpedHydro,FR,stInflow,12.716
h2407,pumpedHydro,IT,stInflow,15.102
h2407,pumpedHydro,NO,stInflow,24.7
h2407,pumpedHydro,SE,stInflow,4.98
h2408,pumpedHydro,AT,stInflow,7.846
h2408,pumpedHydro,CH,stInflow,10.39
h2408,pumpedHydro,FR,stInflow,12.716
h2408,pumpedHydro,IT,stInflow,15.102
h2408,pumpedHydro,NO,stInflow,24.7
h2408,pumpedHydro,SE,stInflow,4.98
h2409,pumpedHydro,AT,stInflow,7.846
h2409,pumpedHydro,CH,stInflow,10.39
h2409,pumpedHydro,FR,stInflow,12.716
h2409,pumpedHydro,IT,stInflow,15.102
h2409,pumpedHydro,NO,stInflow,24.7
h2409,pumpedHydro,SE,stInflow,4.98
h2410,pumpedHydro,AT,stInflow,7.846
h2410,pumpedHydro,CH,stInflow,10.39
h2410,pumpedHydro,FR,stInflow,12.716
h2410,pumpedHydro,IT,stInflow,15.102
h2410,pumpedHydro,NO,stInflow,24.7
h2410,pumpedHydro,SE,stInflow,4.98
h2411,pumpedHydro,AT,stInflow,7.846
h2411,pumpedHydro,CH,stInflow,10.39
h2411,pumpedHydro,FR,stInflow,12.716
h2411,pumpedHydro,IT,stInflow,15.102
h2411,pumpedHydro,NO,stInflow,24.7
h2411,pumpedHydro,SE,stInflow,4.98
h2412,pumpedHydro,AT,stInflow,7.846
h2412,pumpedHydro,CH,stInflow,10.39
h2412,pumpedHydro,FR,stInflow,12.716
h2412,pumpedHydro,IT,stInflow,15.102
h2412,pumpedHydro,NO,stInflow,24.7
h2412,pumpedHydro,SE,stInflow,4.98
h2413,pumpedHydro,AT,stInflow,7.846
h2413,pumpedHydro,CH,stInflow,10.39
h2413,pumpedHydro,FR,stInflow,12.716
h2413,pumpedHydro,IT,stInflow,15.102
h2413,pumpedHydro,NO,stInflow,24.7
h2413,pumpedHydro,SE,stInflow,4.98
h2414,pumpedHydro,AT,stInflow,7.846
h2414,pumpedHydro,CH,stInflow,10.39
h2414,pumpedHydro,FR,stInflow,12.716
h2414,pumpedHydro,IT,stInflow,15.102
h2414,pumpedHydro,NO,stInflow,24.7
h2414,pumpedHydro,SE,stInflow,4.98
h2415,pumpedHydro,AT,stInflow,7.846
h2415,pumpedHydro,CH,stInflow,10.39
h2415,pumpedHydro,FR,stInflow,12.716
h2415,pumpedHydro,IT,stInflow,15.102
h2415,pumpedHydro,NO,stInflow,24.7
h2415,pumpedHydro,SE,stInflow,4.98
h2416,pumpedHydro,AT,stInflow,7.846
h2416,pumpedHydro,CH,stInflow,10.39
h2416,pumpedHydro,FR,stInflow,12.716
h2416,pumpedHydro,IT,stInflow,15.102
h2416,pumpedHydro,NO,stInflow,24.7
h2416,pumpedHydro,SE,stInflow,4.98
h2417,pumpedHydro,AT,stInflow,7.846
h2417,pumpedHydro,CH,stInflow,10.39
h2417,pumpedHydro,FR,stInflow,12.716
h2417,pumpedHydro,IT,stInflow,15.102
h2417,pumpedHydro,NO,stInflow,24.7
h2417,pumpedHydro,SE,stInflow,4.98
h2418,pumpedHydro,AT,stInflow,7.846
h2418,pumpedHydro,CH,stInflow,10.39
h2418,pumpedHydro,FR,stInflow,12.716
h2418,pumpedHydro,IT,stInflow,15.102
h2418,pumpedHydro,NO,stInflow,24.7
h2418,pumpedHydro,SE,stInflow,4.98
h2419,pumpedHydro,AT,stInflow,7.846
h2419,pumpedHydro,CH,stInflow,10.39
h2419,pumpedHydro,FR,stInflow,12.716
h2419,pumpedHydro,IT,stInflow,15.102
h2419,pumpedHydro,NO,stInflow,24.7
h2419,pumpedHydro,SE,stInflow,4.98
h2420,pumpedHydro,AT,stInflow,7.846
h2420,pumpedHydro,CH,stInflow,10.39
h2420,pumpedHydro,FR,stInflow,12.716
h2420,pumpedHydro,IT,stInflow,15.102
h2420,pumpedHydro,NO,stInflow,24.7
h2420,pumpedHydro,SE,stInflow,4.98
h2421,pumpedHydro,AT,stInflow,7.846
h2421,pumpedHydro,CH,stInflow,10.39
h2421,pumpedHydro,FR,stInflow,12.716
h2421,pumpedHydro,IT,stInflow,15.102
h2421,pumpedHydro,NO,stInflow,24.7
h2421,pumpedHydro,SE,stInflow,4.98
h2422,pumpedHydro,AT,stInflow,7.846
h2422,pumpedHydro,CH,stInflow,10.39
h2422,pumpedHydro,FR,stInflow,12.716
h2422,pumpedHydro,IT,stInflow,15.102
h2422,pumpedHydro,NO,stInflow,24.7
h2422,pumpedHydro,SE,stInflow,4.98
h2423,pumpedHydro,AT,stInflow,7.846
h2423,pumpedHydro,CH,stInflow,10.39
h2423,pumpedHydro,FR,stInflow,12.716
h2423,pumpedHydro,IT,stInflow,15.102
h2423,pumpedHydro,NO,stInflow,24.7
h2423,pumpedHydro,SE,stInflow,4.98
h2424,pumpedHydro,AT,stInflow,7.846
h2424,pumpedHydro,CH,stInflow,10.39
h2424,pumpedHydro,FR,stInflow,12.716
h2424,pumpedHydro,IT,stInflow,15.102
h2424,pumpedHydro,NO,stInflow,24.7
h2424,pumpedHydro,SE,stInflow,4.98
h2425,pumpedHydro,AT,stInflow,7.846
h2425,pumpedHydro,CH,stInflow,10.39
h2425,pumpedHydro,FR,stInflow,12.716
h2425,pumpedHydro,IT,stInflow,15.102
h2425,pumpedHydro,NO,stInflow,24.7
h2425,pumpedHydro,SE,stInflow,4.98
h2426,pumpedHydro,AT,stInflow,7.846
h2426,pumpedHydro,CH,stInflow,10.39
h2426,pumpedHydro,FR,stInflow,12.716
h2426,pumpedHydro,IT,stInflow,15.102
h2426,pumpedHydro,NO,stInflow,24.7
h2426,pumpedHydro,SE,stInflow,4.98
h2427,pumpedHydro,AT,stInflow,7.846
h2427,pumpedHydro,CH,stInflow,10.39
h2427,pumpedHydro,FR,stInflow,12.716
h2427,pumpedHydro,IT,stInflow,15.102
h2427,pumpedHydro,NO,stInflow,24.7
h2427,pumpedHydro,SE,stInflow,4.98
h2428,pumpedHydro,AT,stInflow,7.846
h2428,pumpedHydro,CH,stInflow,10.39
h2428,pumpedHydro,FR,stInflow,12.716
h2428,pumpedHydro,IT,stInflow,15.102
h2428,pumpedHydro,NO,stInflow,24.7
h2428,pumpedHydro,SE,stInflow,4.98
h2429,pumpedHydro,AT,stInflow,7.846
h2429,pumpedHydro,CH,stInflow,10.39
h2429,pumpedHydro,FR,stInflow,12.716
h2429,pumpedHydro,IT,stInflow,15.102
h2429,pumpedHydro,NO,stInflow,24.7
h2429,pumpedHydro,SE,stInflow,4.98
h2430,pumpedHydro,AT,stInflow,7.846
h2430,pumpedHydro,CH,stInflow,10.39
h2430,pumpedHydro,FR,stInflow,12.716
h2430,pumpedHydro,IT,stInflow,15.102
h2430,pumpedHydro,NO,stInflow,24.7
h2430,pumpedHydro,SE,stInflow,4.98
h2431,pumpedHydro,AT,stInflow,7.846
h2431,pumpedHydro,CH,stInflow,10.39
h2431,pumpedHydro,FR,stInflow,12.716
h2431,pumpedHydro,IT,stInflow,15.102
h2431,pumpedHydro,NO,stInflow,24.7
h2431,pumpedHydro,SE,stInflow,4.98
h2432,pumpedHydro,AT,stInflow,7.846
h2432,pumpedHydro,CH,stInflow,10.39
h2432,pumpedHydro,FR,stInflow,12.716
h2432,pumpedHydro,IT,stInflow,15.102
h2432,pumpedHydro,NO,stInflow,24.7
h2432,pumpedHydro,SE,stInflow,4.98
h2433,pumpedHydro,AT,stInflow,7.846
h2433,pumpedHydro,CH,stInflow,10.39
h2433,pumpedHydro,FR,stInflow,12.716
h2433,pumpedHydro,IT,stInflow,15.102
h2433,pumpedHydro,NO,stInflow,24.7
h2433,pumpedHydro,SE,stInflow,4.98
h2434,pumpedHydro,AT,stInflow,7.846
h2434,pumpedHydro,CH,stInflow,10.39
h2434,pumpedHydro,FR,stInflow,12.716
h2434,pumpedHydro,IT,stInflow,15.102
h2434,pumpedHydro,NO,stInflow,24.7
h2434,pumpedHydro,SE,stInflow,4.98
h2435,pumpedHydro,AT,stInflow,7.846
h2435,pumpedHydro,CH,stInflow,10.39
h2435,pumpedHydro,FR,stInflow,12.716
h2435,pumpedHydro,IT,stInflow,15.102
h2435,pumpedHydro,NO,stInflow,24.7
h2435,pumpedHydro,SE,stInflow,4.98
h2436,pumpedHydro,AT,stInflow,7.846
h2436,pumpedHydro,CH,stInflow,10.39
h2436,pumpedHydro,FR,stInflow,12.716
h2436,pumpedHydro,IT,stInflow,15.102
h2436,pumpedHydro,NO,stInflow,24.7
h2436,pumpedHydro,SE,stInflow,4.98
h2437,pumpedHydro,AT,stInflow,7.846
h2437,pumpedHydro,CH,stInflow,10.39
h2437,pumpedHydro,FR,stInflow,12.716
h2437,pumpedHydro,IT,stInflow,15.102
h2437,pumpedHydro,NO,stInflow,24.7
h2437,pumpedHydro,SE,stInflow,4.98
h2438,pumpedHydro,AT,stInflow,7.846
h2438,pumpedHydro,CH,stInflow,10.39
h2438,pumpedHydro,FR,stInflow,12.716
h2438,pumpedHydro,IT,stInflow,15.102
h2438,pumpedHydro,NO,stInflow,24.7
h2438,pumpedHydro,SE,stInflow,4.98
h2439,pumpedHydro,AT,stInflow,7.846
h2439,pumpedHydro,CH,stInflow,10.39
h2439,pumpedHydro,FR,stInflow,12.716
h2439,pumpedHydro,IT,stInflow,15.102
h2439,pumpedHydro,NO,stInflow,24.7
h2439,pumpedHydro,SE,stInflow,4.98
h2440,pumpedHydro,AT,stInflow,7.846
h2440,pumpedHydro,CH,stInflow,10.39
h2440,pumpedHydro,FR,stInflow,12.716
h2440,pumpedHydro,IT,stInflow,15.102
h2440,pumpedHydro,NO,stInflow,24.7
h2440,pumpedHydro,SE,stInflow,4.98
h2441,pumpedHydro,AT,stInflow,7.846
h2441,pumpedHydro,CH,stInflow,10.39
h2441,pumpedHydro,FR,stInflow,12.716
h2441,pumpedHydro,IT,stInflow,15.102
h2441,pumpedHydro,NO,stInflow,24.7
h2441,pumpedHydro,SE,stInflow,4.98
h2442,pumpedHydro,AT,stInflow,7.846
h2442,pumpedHydro,CH,stInflow,10.39
h2442,pumpedHydro,FR,stInflow,12.716
h2442,pumpedHydro,IT,stInflow,15.102
h2442,pumpedHydro,NO,stInflow,24.7
h2442,pumpedHydro,SE,stInflow,4.98
h2443,pumpedHydro,AT,stInflow,7.846
h2443,pumpedHydro,CH,stInflow,10.39
h2443,pumpedHydro,FR,stInflow,12.716
h2443,pumpedHydro,IT,stInflow,15.102
h2443,pumpedHydro,NO,stInflow,24.7
h2443,pumpedHydro,SE,stInflow,4.98
h2444,pumpedHydro,AT,stInflow,7.846
h2444,pumpedHydro,CH,stInflow,10.39
h2444,pumpedHydro,FR,stInflow,12.716
h2444,pumpedHydro,IT,stInflow,15.102
h2444,pumpedHydro,NO,stInflow,24.7
h2444,pumpedHydro,SE,stInflow,4.98
h2445,pumpedHydro,AT,stInflow,7.846
h2445,pumpedHydro,CH,stInflow,10.39
h2445,pumpedHydro,FR,stInflow,12.716
h2445,pumpedHydro,IT,stInflow,15.102
h2445,pumpedHydro,NO,stInflow,24.7
h2445,pumpedHydro,SE,stInflow,4.98
h2446,pumpedHydro,AT,stInflow,7.846
h2446,pumpedHydro,CH,stInflow,10.39
h2446,pumpedHydro,FR,stInflow,12.716
h2446,pumpedHydro,IT,stInflow,15.102
h2446,pumpedHydro,NO,stInflow,24.7
h2446,pumpedHydro,SE,stInflow,4.98
h2447,pumpedHydro,AT,stInflow,7.846
h2447,pumpedHydro,CH,stInflow,10.39
h2447,pumpedHydro,FR,stInflow,12.716
h2447,pumpedHydro,IT,stInflow,15.102
h2447,pumpedHydro,NO,stInflow,24.7
h2447,pumpedHydro,SE,stInflow,4.98
h2448,pumpedHydro,AT,stInflow,7.846
h2448,pumpedHydro,CH,stInflow,10.39
h2448,pumpedHydro,FR,stInflow,12.716
h2448,pumpedHydro,IT,stInflow,15.102
h2448,pumpedHydro,NO,stInflow,24.7
h2448,pumpedHydro,SE,stInflow,4.98
h2449,pumpedHydro,AT,stInflow,7.846
h2449,pumpedHydro,CH,stInflow,10.39
h2449,pumpedHydro,FR,stInflow,12.716
h2449,pumpedHydro,IT,stInflow,15.102
h2449,pumpedHydro,NO,stInflow,24.7
h2449,pumpedHydro,SE,stInflow,4.98
h2450,pumpedHydro,AT,stInflow,7.846
h2450,pumpedHydro,CH,stInflow,10.39
h2450,pumpedHydro,FR,stInflow,12.716
h2450,pumpedHydro,IT,stInflow,15.102
h2450,pumpedHydro,NO,stInflow,24.7
h2450,pumpedHydro,SE,stInflow,4.98
h2451,pumpedHydro,AT,stInflow,7.846
h2451,pumpedHydro,CH,stInflow,10.39
h2451,pumpedHydro,FR,stInflow,12.716
h2451,pumpedHydro,IT,stInflow,15.102
h2451,pumpedHydro,NO,stInflow,24.7
h2451,pumpedHydro,SE,stInflow,4.98
h2452,pumpedHydro,AT,stInflow,7.846
h2452,pumpedHydro,CH,stInflow,10.39
h2452,pumpedHydro,FR,stInflow,12.716
h2452,pumpedHydro,IT,stInflow,15.102
h2452,pumpedHydro,NO,stInflow,24.7
h2452,pumpedHydro,SE,stInflow,4.98
h2453,pumpedHydro,AT,stInflow,7.846
h2453,pumpedHydro,CH,stInflow,10.39
h2453,pumpedHydro,FR,stInflow,12.716
h2453,pumpedHydro,IT,stInflow,15.102
h2453,pumpedHydro,NO,stInflow,24.7
h2453,pumpedHydro,SE,stInflow,4.98
h2454,pumpedHydro,AT,stInflow,7.846
h2454,pumpedHydro,CH,stInflow,10.39
h2454,pumpedHydro,FR,stInflow,12.716
h2454,pumpedHydro,IT,stInflow,15.102
h2454,pumpedHydro,NO,stInflow,24.7
h2454,pumpedHydro,SE,stInflow,4.98
h2455,pumpedHydro,AT,stInflow,7.846
h2455,pumpedHydro,CH,stInflow,10.39
h2455,pumpedHydro,FR,stInflow,12.716
h2455,pumpedHydro,IT,stInflow,15.102
h2455,pumpedHydro,NO,stInflow,24.7
h2455,pumpedHydro,SE,stInflow,4.98
h2456,pumpedHydro,AT,stInflow,7.846
h2456,pumpedHydro,CH,stInflow,10.39
h2456,pumpedHydro,FR,stInflow,12.716
h2456,pumpedHydro,IT,stInflow,15.102
h2456,pumpedHydro,NO,stInflow,24.7
h2456,pumpedHydro,SE,stInflow,4.98
h2457,pumpedHydro,AT,stInflow,7.846
h2457,pumpedHydro,CH,stInflow,10.39
h2457,pumpedHydro,FR,stInflow,12.716
h2457,pumpedHydro,IT,stInflow,15.102
h2457,pumpedHydro,NO,stInflow,24.7
h2457,pumpedHydro,SE,stInflow,4.98
h2458,pumpedHydro,AT,stInflow,7.846
h2458,pumpedHydro,CH,stInflow,10.39
h2458,pumpedHydro,FR,stInflow,12.716
h2458,pumpedHydro,IT,stInflow,15.102
h2458,pumpedHydro,NO,stInflow,24.7
h2458,pumpedHydro,SE,stInflow,4.98
h2459,pumpedHydro,AT,stInflow,7.846
h2459,pumpedHydro,CH,stInflow,10.39
h2459,pumpedHydro,FR,stInflow,12.716
h2459,pumpedHydro,IT,stInflow,15.102
h2459,pumpedHydro,NO,stInflow,24.7
h2459,pumpedHydro,SE,stInflow,4.98
h2460,pumpedHydro,AT,stInflow,7.846
h2460,pumpedHydro,CH,stInflow,10.39
h2460,pumpedHydro,FR,stInflow,12.716
h2460,pumpedHydro,IT,stInflow,15.102
h2460,pumpedHydro,NO,stInflow,24.7
h2460,pumpedHydro,SE,stInflow,4.98
h2461,pumpedHydro,AT,stInflow,7.846
h2461,pumpedHydro,CH,stInflow,10.39
h2461,pumpedHydro,FR,stInflow,12.716
h2461,pumpedHydro,IT,stInflow,15.102
h2461,pumpedHydro,NO,stInflow,24.7
h2461,pumpedHydro,SE,stInflow,4.98
h2462,pumpedHydro,AT,stInflow,7.846
h2462,pumpedHydro,CH,stInflow,10.39
h2462,pumpedHydro,FR,stInflow,12.716
h2462,pumpedHydro,IT,stInflow,15.102
h2462,pumpedHydro,NO,stInflow,24.7
h2462,pumpedHydro,SE,stInflow,4.98
h2463,pumpedHydro,AT,stInflow,7.846
h2463,pumpedHydro,CH,stInflow,10.39
h2463,pumpedHydro,FR,stInflow,12.716
h2463,pumpedHydro,IT,stInflow,15.102
h2463,pumpedHydro,NO,stInflow,24.7
h2463,pumpedHydro,SE,stInflow,4.98
h2464,pumpedHydro,AT,stInflow,7.846
h2464,pumpedHydro,CH,stInflow,10.39
h2464,pumpedHydro,FR,stInflow,12.716
h2464,pumpedHydro,IT,stInflow,15.102
h2464,pumpedHydro,NO,stInflow,24.7
h2464,pumpedHydro,SE,stInflow,4.98
h2465,pumpedHydro,AT,stInflow,7.846
h2465,pumpedHydro,CH,stInflow,10.39
h2465,pumpedHydro,FR,stInflow,12.716
h2465,pumpedHydro,IT,stInflow,15.102
h2465,pumpedHydro,NO,stInflow,24.7
h2465,pumpedHydro,SE,stInflow,4.98
h2466,pumpedHydro,AT,stInflow,7.846
h2466,pumpedHydro,CH,stInflow,10.39
h2466,pumpedHydro,FR,stInflow,12.716
h2466,pumpedHydro,IT,stInflow,15.102
h2466,pumpedHydro,NO,stInflow,24.7
h2466,pumpedHydro,SE,stInflow,4.98
h2467,pumpedHydro,AT,stInflow,7.846
h2467,pumpedHydro,CH,stInflow,10.39
h2467,pumpedHydro,FR,stInflow,12.716
h2467,pumpedHydro,IT,stInflow,15.102
h2467,pumpedHydro,NO,stInflow,24.7
h2467,pumpedHydro,SE,stInflow,4.98
h2468,pumpedHydro,AT,stInflow,7.846
h2468,pumpedHydro,CH,stInflow,10.39
h2468,pumpedHydro,FR,stInflow,12.716
h2468,pumpedHydro,IT,stInflow,15.102
h2468,pumpedHydro,NO,stInflow,24.7
h2468,pumpedHydro,SE,stInflow,4.98
h2469,pumpedHydro,AT,stInflow,7.846
h2469,pumpedHydro,CH,stInflow,10.39
h2469,pumpedHydro,FR,stInflow,12.716
h2469,pumpedHydro,IT,stInflow,15.102
h2469,pumpedHydro,NO,stInflow,24.7
h2469,pumpedHydro,SE,stInflow,4.98
h2470,pumpedHydro,AT,stInflow,7.846
h2470,pumpedHydro,CH,stInflow,10.39
h2470,pumpedHydro,FR,stInflow,12.716
h2470,pumpedHydro,IT,stInflow,15.102
h2470,pumpedHydro,NO,stInflow,24.7
h2470,pumpedHydro,SE,stInflow,4.98
h2471,pumpedHydro,AT,stInflow,7.846
h2471,pumpedHydro,CH,stInflow,10.39
h2471,pumpedHydro,FR,stInflow,12.716
h2471,pumpedHydro,IT,stInflow,15.102
h2471,pumpedHydro,NO,stInflow,24.7
h2471,pumpedHydro,SE,stInflow,4.98
h2472,pumpedHydro,AT,stInflow,7.846
h2472,pumpedHydro,CH,stInflow,10.39
h2472,pumpedHydro,FR,stInflow,12.716
h2472,pumpedHydro,IT,stInflow,15.102
h2472,pumpedHydro,NO,stInflow,24.7
h2472,pumpedHydro,SE,stInflow,4.98
h2473,pumpedHydro,AT,stInflow,7.846
h2473,pumpedHydro,CH,stInflow,10.39
h2473,pumpedHydro,FR,stInflow,12.716
h2473,pumpedHydro,IT,stInflow,15.102
h2473,pumpedHydro,NO,stInflow,24.7
h2473,pumpedHydro,SE,stInflow,4.98
h2474,pumpedHydro,AT,stInflow,7.846
h2474,pumpedHydro,CH,stInflow,10.39
h2474,pumpedHydro,FR,stInflow,12.716
h2474,pumpedHydro,IT,stInflow,15.102
h2474,pumpedHydro,NO,stInflow,24.7
h2474,pumpedHydro,SE,stInflow,4.98
h2475,pumpedHydro,AT,stInflow,7.846
h2475,pumpedHydro,CH,stInflow,10.39
h2475,pumpedHydro,FR,stInflow,12.716
h2475,pumpedHydro,IT,stInflow,15.102
h2475,pumpedHydro,NO,stInflow,24.7
h2475,pumpedHydro,SE,stInflow,4.98
h2476,pumpedHydro,AT,stInflow,7.846
h2476,pumpedHydro,CH,stInflow,10.39
h2476,pumpedHydro,FR,stInflow,12.716
h2476,pumpedHydro,IT,stInflow,15.102
h2476,pumpedHydro,NO,stInflow,24.7
h2476,pumpedHydro,SE,stInflow,4.98
h2477,pumpedHydro,AT,stInflow,7.846
h2477,pumpedHydro,CH,stInflow,10.39
h2477,pumpedHydro,FR,stInflow,12.716
h2477,pumpedHydro,IT,stInflow,15.102
h2477,pumpedHydro,NO,stInflow,24.7
h2477,pumpedHydro,SE,stInflow,4.98
h2478,pumpedHydro,AT,stInflow,7.846
h2478,pumpedHydro,CH,stInflow,10.39
h2478,pumpedHydro,FR,stInflow,12.716
h2478,pumpedHydro,IT,stInflow,15.102
h2478,pumpedHydro,NO,stInflow,24.7
h2478,pumpedHydro,SE,stInflow,4.98
h2479,pumpedHydro,AT,stInflow,7.846
h2479,pumpedHydro,CH,stInflow,10.39
h2479,pumpedHydro,FR,stInflow,12.716
h2479,pumpedHydro,IT,stInflow,15.102
h2479,pumpedHydro,NO,stInflow,24.7
h2479,pumpedHydro,SE,stInflow,4.98
h2480,pumpedHydro,AT,stInflow,7.846
h2480,pumpedHydro,CH,stInflow,10.39
h2480,pumpedHydro,FR,stInflow,12.716
h2480,pumpedHydro,IT,stInflow,15.102
h2480,pumpedHydro,NO,stInflow,24.7
h2480,pumpedHydro,SE,stInflow,4.98
h2481,pumpedHydro,AT,stInflow,7.846
h2481,pumpedHydro,CH,stInflow,10.39
h2481,pumpedHydro,FR,stInflow,12.716
h2481,pumpedHydro,IT,stInflow,15.102
h2481,pumpedHydro,NO,stInflow,24.7
h2481,pumpedHydro,SE,stInflow,4.98
h2482,pumpedHydro,AT,stInflow,7.846
h2482,pumpedHydro,CH,stInflow,10.39
h2482,pumpedHydro,FR,stInflow,12.716
h2482,pumpedHydro,IT,stInflow,15.102
h2482,pumpedHydro,NO,stInflow,24.7
h2482,pumpedHydro,SE,stInflow,4.98
h2483,pumpedHydro,AT,stInflow,7.846
h2483,pumpedHydro,CH,stInflow,10.39
h2483,pumpedHydro,FR,stInflow,12.716
h2483,pumpedHydro,IT,stInflow,15.102
h2483,pumpedHydro,NO,stInflow,24.7
h2483,pumpedHydro,SE,stInflow,4.98
h2484,pumpedHydro,AT,stInflow,7.846
h2484,pumpedHydro,CH,stInflow,10.39
h2484,pumpedHydro,FR,stInflow,12.716
h2484,pumpedHydro,IT,stInflow,15.102
h2484,pumpedHydro,NO,stInflow,24.7
h2484,pumpedHydro,SE,stInflow,4.98
h2485,pumpedHydro,AT,stInflow,7.846
h2485,pumpedHydro,CH,stInflow,10.39
h2485,pumpedHydro,FR,stInflow,12.716
h2485,pumpedHydro,IT,stInflow,15.102
h2485,pumpedHydro,NO,stInflow,24.7
h2485,pumpedHydro,SE,stInflow,4.98
h2486,pumpedHydro,AT,stInflow,7.846
h2486,pumpedHydro,CH,stInflow,10.39
h2486,pumpedHydro,FR,stInflow,12.716
h2486,pumpedHydro,IT,stInflow,15.102
h2486,pumpedHydro,NO,stInflow,24.7
h2486,pumpedHydro,SE,stInflow,4.98
h2487,pumpedHydro,AT,stInflow,7.846
h2487,pumpedHydro,CH,stInflow,10.39
h2487,pumpedHydro,FR,stInflow,12.716
h2487,pumpedHydro,IT,stInflow,15.102
