carrier_1,carrier_2,timestep_dispatch,timestep_expansion,region_dispatch,region_expansion,carrier_equality
electricity,electricity_central,2,1,1,1,no
electricity,electricity_decentral,2,1,1,1,no
heatResidental,,2,1,1,1,no
heatIndustry,,2,1,1,1,no
mobility,,2,1,1,1,no
gas,hydrogen,1,1,1,1,no
gas,synthGas,1,1,1,1,no
biomass,,1,1,1,1,no
