timestep_1,technology_1,technology_2,region_3,parameter,value
all,photovoltaik,RES_PV_Utility_Avg,FR,capaConvUp,76.12678385
all,photovoltaik,RES_PV_Utility_Inf,FR,capaConvUp,76.12678385
all,photovoltaik,RES_PV_Utility_Opt,FR,capaConvUp,76.12678385
all,wind_offshore,RES_Wind_Offshore_Transitional,FR,capaConvUp,44.56666667
all,wind_offshore,RES_Wind_Offshore_Shallow,FR,capaConvUp,44.56666667
all,wind_offshore,RES_Wind_Offshore_Deep,FR,capaConvUp,44.56666667
all,wind_onshore,RES_Wind_Onshore_Avg,FR,capaConvUp,254.4666667
all,wind_onshore,RES_Wind_Onshore_Inf,FR,capaConvUp,127.2333333
all,wind_onshore,RES_Wind_Onshore_Opt,FR,capaConvUp,127.2333333
all,photovoltaik,RES_PV_Utility_Avg,GR,capaConvUp,26
all,photovoltaik,RES_PV_Utility_Inf,GR,capaConvUp,26
all,photovoltaik,RES_PV_Utility_Opt,GR,capaConvUp,26
all,wind_offshore,RES_Wind_Offshore_Transitional,GR,capaConvUp,9.2
all,wind_offshore,RES_Wind_Offshore_Shallow,GR,capaConvUp,9.2
all,wind_offshore,RES_Wind_Offshore_Deep,GR,capaConvUp,9.2
all,wind_onshore,RES_Wind_Onshore_Avg,GR,capaConvUp,70.4
all,wind_onshore,RES_Wind_Onshore_Inf,GR,capaConvUp,35.2
all,wind_onshore,RES_Wind_Onshore_Opt,GR,capaConvUp,35.2
all,photovoltaik,RES_PV_Utility_Avg,HR,capaConvUp,3.884105143
all,photovoltaik,RES_PV_Utility_Inf,HR,capaConvUp,3.884105143
all,photovoltaik,RES_PV_Utility_Opt,HR,capaConvUp,3.884105143
all,wind_offshore,RES_Wind_Offshore_Transitional,HR,capaConvUp,15.7
all,wind_offshore,RES_Wind_Offshore_Shallow,HR,capaConvUp,15.7
all,wind_offshore,RES_Wind_Offshore_Deep,HR,capaConvUp,15.7
all,wind_onshore,RES_Wind_Onshore_Avg,HR,capaConvUp,13.2
all,wind_onshore,RES_Wind_Onshore_Inf,HR,capaConvUp,6.6
all,wind_onshore,RES_Wind_Onshore_Opt,HR,capaConvUp,6.6
all,photovoltaik,RES_PV_Utility_Avg,HU,capaConvUp,7.77594987
all,photovoltaik,RES_PV_Utility_Inf,HU,capaConvUp,7.77594987
all,photovoltaik,RES_PV_Utility_Opt,HU,capaConvUp,7.77594987
all,wind_offshore,RES_Wind_Offshore_Transitional,HU,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,HU,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,HU,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,HU,capaConvUp,45.46666667
all,wind_onshore,RES_Wind_Onshore_Inf,HU,capaConvUp,22.73333333
all,wind_onshore,RES_Wind_Onshore_Opt,HU,capaConvUp,22.73333333
all,photovoltaik,RES_PV_Utility_Avg,IE,capaConvUp,5.426926107
all,photovoltaik,RES_PV_Utility_Inf,IE,capaConvUp,5.426926107
all,photovoltaik,RES_PV_Utility_Opt,IE,capaConvUp,5.426926107
all,wind_offshore,RES_Wind_Offshore_Transitional,IE,capaConvUp,17.4
all,wind_offshore,RES_Wind_Offshore_Shallow,IE,capaConvUp,17.4
all,wind_offshore,RES_Wind_Offshore_Deep,IE,capaConvUp,17.4
all,wind_onshore,RES_Wind_Onshore_Avg,IE,capaConvUp,37.53333333
all,wind_onshore,RES_Wind_Onshore_Inf,IE,capaConvUp,18.76666667
all,wind_onshore,RES_Wind_Onshore_Opt,IE,capaConvUp,18.76666667
all,photovoltaik,RES_PV_Utility_Avg,IT,capaConvUp,49.39990625
all,photovoltaik,RES_PV_Utility_Inf,IT,capaConvUp,49.39990625
all,photovoltaik,RES_PV_Utility_Opt,IT,capaConvUp,49.39990625
all,wind_offshore,RES_Wind_Offshore_Transitional,IT,capaConvUp,25.9
all,wind_offshore,RES_Wind_Offshore_Shallow,IT,capaConvUp,25.9
all,wind_offshore,RES_Wind_Offshore_Deep,IT,capaConvUp,25.9
all,wind_onshore,RES_Wind_Onshore_Avg,IT,capaConvUp,126.8
all,wind_onshore,RES_Wind_Onshore_Inf,IT,capaConvUp,63.4
all,wind_onshore,RES_Wind_Onshore_Opt,IT,capaConvUp,63.4
all,photovoltaik,RES_PV_Utility_Avg,LT,capaConvUp,10
all,photovoltaik,RES_PV_Utility_Inf,LT,capaConvUp,10
all,photovoltaik,RES_PV_Utility_Opt,LT,capaConvUp,10
all,wind_offshore,RES_Wind_Offshore_Transitional,LT,capaConvUp,3.066666667
all,wind_offshore,RES_Wind_Offshore_Shallow,LT,capaConvUp,3.066666667
all,wind_offshore,RES_Wind_Offshore_Deep,LT,capaConvUp,3.066666667
all,wind_onshore,RES_Wind_Onshore_Avg,LT,capaConvUp,25.06666667
all,wind_onshore,RES_Wind_Onshore_Inf,LT,capaConvUp,12.53333333
all,wind_onshore,RES_Wind_Onshore_Opt,LT,capaConvUp,12.53333333
all,photovoltaik,RES_PV_Utility_Avg,LU,capaConvUp,0.714479187
all,photovoltaik,RES_PV_Utility_Inf,LU,capaConvUp,0.714479187
all,photovoltaik,RES_PV_Utility_Opt,LU,capaConvUp,0.714479187
all,wind_offshore,RES_Wind_Offshore_Transitional,LU,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,LU,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,LU,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,LU,capaConvUp,1.133333333
all,wind_onshore,RES_Wind_Onshore_Inf,LU,capaConvUp,0.566666667
all,wind_onshore,RES_Wind_Onshore_Opt,LU,capaConvUp,0.566666667
all,photovoltaik,RES_PV_Utility_Avg,LV,capaConvUp,8
all,photovoltaik,RES_PV_Utility_Inf,LV,capaConvUp,8
all,photovoltaik,RES_PV_Utility_Opt,LV,capaConvUp,8
all,wind_offshore,RES_Wind_Offshore_Transitional,LV,capaConvUp,14.36666667
all,wind_offshore,RES_Wind_Offshore_Shallow,LV,capaConvUp,14.36666667
all,wind_offshore,RES_Wind_Offshore_Deep,LV,capaConvUp,14.36666667
all,wind_onshore,RES_Wind_Onshore_Avg,LV,capaConvUp,18.93333333
all,wind_onshore,RES_Wind_Onshore_Inf,LV,capaConvUp,9.466666667
all,wind_onshore,RES_Wind_Onshore_Opt,LV,capaConvUp,9.466666667
all,photovoltaik,RES_PV_Utility_Avg,NL,capaConvUp,12.04002604
all,photovoltaik,RES_PV_Utility_Inf,NL,capaConvUp,12.04002604
all,photovoltaik,RES_PV_Utility_Opt,NL,capaConvUp,12.04002604
all,wind_offshore,RES_Wind_Offshore_Transitional,NL,capaConvUp,19.03333333
all,wind_offshore,RES_Wind_Offshore_Shallow,NL,capaConvUp,19.03333333
all,wind_offshore,RES_Wind_Offshore_Deep,NL,capaConvUp,19.03333333
all,wind_onshore,RES_Wind_Onshore_Avg,NL,capaConvUp,15.73333333
all,wind_onshore,RES_Wind_Onshore_Inf,NL,capaConvUp,7.866666667
all,wind_onshore,RES_Wind_Onshore_Opt,NL,capaConvUp,7.866666667
all,photovoltaik,RES_PV_Utility_Avg,NO,capaConvUp,4
all,photovoltaik,RES_PV_Utility_Inf,NO,capaConvUp,4
all,photovoltaik,RES_PV_Utility_Opt,NO,capaConvUp,4
all,wind_offshore,RES_Wind_Offshore_Transitional,NO,capaConvUp,40.73333333
all,wind_offshore,RES_Wind_Offshore_Shallow,NO,capaConvUp,40.73333333
all,wind_offshore,RES_Wind_Offshore_Deep,NO,capaConvUp,40.73333333
all,wind_onshore,RES_Wind_Onshore_Avg,NO,capaConvUp,21.46666667
all,wind_onshore,RES_Wind_Onshore_Inf,NO,capaConvUp,10.73333333
all,wind_onshore,RES_Wind_Onshore_Opt,NO,capaConvUp,10.73333333
all,photovoltaik,RES_PV_Utility_Avg,NONEU_Balkan,capaConvUp,29.19570245
all,photovoltaik,RES_PV_Utility_Inf,NONEU_Balkan,capaConvUp,29.19570245
all,photovoltaik,RES_PV_Utility_Opt,NONEU_Balkan,capaConvUp,29.19570245
all,wind_offshore,RES_Wind_Offshore_Transitional,NONEU_Balkan,capaConvUp,1.848712342
all,wind_offshore,RES_Wind_Offshore_Shallow,NONEU_Balkan,capaConvUp,1.848712342
all,wind_offshore,RES_Wind_Offshore_Deep,NONEU_Balkan,capaConvUp,1.848712342
all,wind_onshore,RES_Wind_Onshore_Avg,NONEU_Balkan,capaConvUp,46.98519857
all,wind_onshore,RES_Wind_Onshore_Inf,NONEU_Balkan,capaConvUp,46.98519857
all,wind_onshore,RES_Wind_Onshore_Opt,NONEU_Balkan,capaConvUp,46.98519857
all,photovoltaik,RES_PV_Utility_Avg,PL,capaConvUp,50
all,photovoltaik,RES_PV_Utility_Inf,PL,capaConvUp,50
all,photovoltaik,RES_PV_Utility_Opt,PL,capaConvUp,50
all,wind_offshore,RES_Wind_Offshore_Transitional,PL,capaConvUp,13.56666667
all,wind_offshore,RES_Wind_Offshore_Shallow,PL,capaConvUp,13.56666667
all,wind_offshore,RES_Wind_Offshore_Deep,PL,capaConvUp,13.56666667
all,wind_onshore,RES_Wind_Onshore_Avg,PL,capaConvUp,129.2666667
all,wind_onshore,RES_Wind_Onshore_Inf,PL,capaConvUp,64.63333333
all,wind_onshore,RES_Wind_Onshore_Opt,PL,capaConvUp,64.63333333
all,photovoltaik,RES_PV_Utility_Avg,PT,capaConvUp,8.379640951
all,photovoltaik,RES_PV_Utility_Inf,PT,capaConvUp,8.379640951
all,photovoltaik,RES_PV_Utility_Opt,PT,capaConvUp,8.379640951
all,wind_offshore,RES_Wind_Offshore_Transitional,PT,capaConvUp,5.566666667
all,wind_offshore,RES_Wind_Offshore_Shallow,PT,capaConvUp,5.566666667
all,wind_offshore,RES_Wind_Offshore_Deep,PT,capaConvUp,5.566666667
all,wind_onshore,RES_Wind_Onshore_Avg,PT,capaConvUp,34
all,wind_onshore,RES_Wind_Onshore_Inf,PT,capaConvUp,17
all,wind_onshore,RES_Wind_Onshore_Opt,PT,capaConvUp,17
all,photovoltaik,RES_PV_Utility_Avg,RO,capaConvUp,42
all,photovoltaik,RES_PV_Utility_Inf,RO,capaConvUp,42
all,photovoltaik,RES_PV_Utility_Opt,RO,capaConvUp,42
all,wind_offshore,RES_Wind_Offshore_Transitional,RO,capaConvUp,8.1
all,wind_offshore,RES_Wind_Offshore_Shallow,RO,capaConvUp,8.1
all,wind_offshore,RES_Wind_Offshore_Deep,RO,capaConvUp,8.1
all,wind_onshore,RES_Wind_Onshore_Avg,RO,capaConvUp,122
all,wind_onshore,RES_Wind_Onshore_Inf,RO,capaConvUp,61
all,wind_onshore,RES_Wind_Onshore_Opt,RO,capaConvUp,61
all,photovoltaik,RES_PV_Utility_Avg,SE,capaConvUp,14.30764323
all,photovoltaik,RES_PV_Utility_Inf,SE,capaConvUp,14.30764323
all,photovoltaik,RES_PV_Utility_Opt,SE,capaConvUp,14.30764323
all,wind_offshore,RES_Wind_Offshore_Transitional,SE,capaConvUp,55.9
all,wind_offshore,RES_Wind_Offshore_Shallow,SE,capaConvUp,55.9
all,wind_offshore,RES_Wind_Offshore_Deep,SE,capaConvUp,55.9
all,wind_onshore,RES_Wind_Onshore_Avg,SE,capaConvUp,62.26666667
all,wind_onshore,RES_Wind_Onshore_Inf,SE,capaConvUp,31.13333333
all,wind_onshore,RES_Wind_Onshore_Opt,SE,capaConvUp,31.13333333
all,photovoltaik,RES_PV_Utility_Avg,SI,capaConvUp,1.88447286
all,photovoltaik,RES_PV_Utility_Inf,SI,capaConvUp,1.88447286
all,photovoltaik,RES_PV_Utility_Opt,SI,capaConvUp,1.88447286
all,wind_offshore,RES_Wind_Offshore_Transitional,SI,capaConvUp,0.1
all,wind_offshore,RES_Wind_Offshore_Shallow,SI,capaConvUp,0.1
all,wind_offshore,RES_Wind_Offshore_Deep,SI,capaConvUp,0.1
all,wind_onshore,RES_Wind_Onshore_Avg,SI,capaConvUp,5.533333333
all,wind_onshore,RES_Wind_Onshore_Inf,SI,capaConvUp,2.766666667
all,wind_onshore,RES_Wind_Onshore_Opt,SI,capaConvUp,2.766666667
all,photovoltaik,RES_PV_Utility_Avg,SK,capaConvUp,5.866235352
all,photovoltaik,RES_PV_Utility_Inf,SK,capaConvUp,5.866235352
all,photovoltaik,RES_PV_Utility_Opt,SK,capaConvUp,5.866235352
all,wind_offshore,RES_Wind_Offshore_Transitional,SK,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Shallow,SK,capaConvUp,0
all,wind_offshore,RES_Wind_Offshore_Deep,SK,capaConvUp,0
all,wind_onshore,RES_Wind_Onshore_Avg,SK,capaConvUp,18.13333333
all,wind_onshore,RES_Wind_Onshore_Inf,SK,capaConvUp,9.066666667
all,wind_onshore,RES_Wind_Onshore_Opt,SK,capaConvUp,9.066666667
all,photovoltaik,RES_PV_Utility_Avg,TR,capaConvUp,146.95
all,photovoltaik,RES_PV_Utility_Inf,TR,capaConvUp,146.95
all,photovoltaik,RES_PV_Utility_Opt,TR,capaConvUp,146.95
all,wind_offshore,RES_Wind_Offshore_Transitional,TR,capaConvUp,10
all,wind_offshore,RES_Wind_Offshore_Shallow,TR,capaConvUp,10
all,wind_offshore,RES_Wind_Offshore_Deep,TR,capaConvUp,10
all,wind_onshore,RES_Wind_Onshore_Avg,TR,capaConvUp,77.8
all,wind_onshore,RES_Wind_Onshore_Inf,TR,capaConvUp,77.8
all,wind_onshore,RES_Wind_Onshore_Opt,TR,capaConvUp,77.8
all,photovoltaik,RES_PV_Utility_Avg,UK,capaConvUp,51.01627865
all,photovoltaik,RES_PV_Utility_Inf,UK,capaConvUp,51.01627865
all,photovoltaik,RES_PV_Utility_Opt,UK,capaConvUp,51.01627865
all,wind_offshore,RES_Wind_Offshore_Transitional,UK,capaConvUp,33
all,wind_offshore,RES_Wind_Offshore_Shallow,UK,capaConvUp,33
all,wind_offshore,RES_Wind_Offshore_Deep,UK,capaConvUp,33
all,wind_onshore,RES_Wind_Onshore_Avg,UK,capaConvUp,141.6666667
all,wind_onshore,RES_Wind_Onshore_Inf,UK,capaConvUp,70.83333333
all,wind_onshore,RES_Wind_Onshore_Opt,UK,capaConvUp,70.83333333
all,photovoltaik,RES_PV_Rooftop,AT,capaConvUp,25.77187433
all,photovoltaik,RES_PV_Rooftop,BE,capaConvUp,18.88760653
all,photovoltaik,RES_PV_Rooftop,BG,capaConvUp,34.95089806
all,photovoltaik,RES_PV_Rooftop,CH,capaConvUp,16.50459075
all,photovoltaik,RES_PV_Rooftop,CZ,capaConvUp,33.80352009
all,photovoltaik,RES_PV_Rooftop,DE,capaConvUp,176.8727265
all,photovoltaik,RES_PV_Rooftop,DK,capaConvUp,19.85846481
all,photovoltaik,RES_PV_Rooftop,EE,capaConvUp,6.442968582
all,photovoltaik,RES_PV_Rooftop,ES,capaConvUp,195.5838134
all,photovoltaik,RES_PV_Rooftop,FI,capaConvUp,17.91674825
all,photovoltaik,RES_PV_Rooftop,FR,capaConvUp,222.2382861
all,photovoltaik,RES_PV_Rooftop,GR,capaConvUp,55.42718177
all,photovoltaik,RES_PV_Rooftop,HR,capaConvUp,11.82681904
all,photovoltaik,RES_PV_Rooftop,HU,capaConvUp,39.09911071
all,photovoltaik,RES_PV_Rooftop,IE,capaConvUp,29.03748854
all,photovoltaik,RES_PV_Rooftop,IT,capaConvUp,141.1274899
all,photovoltaik,RES_PV_Rooftop,LT,capaConvUp,18.26978762
all,photovoltaik,RES_PV_Rooftop,LU,capaConvUp,1.23563781
all,photovoltaik,RES_PV_Rooftop,LV,capaConvUp,12.00333873
all,photovoltaik,RES_PV_Rooftop,NL,capaConvUp,28.06663026
all,photovoltaik,RES_PV_Rooftop,NO,capaConvUp,10.59118123
all,photovoltaik,RES_PV_Rooftop,PL,capaConvUp,118.6212298
all,photovoltaik,RES_PV_Rooftop,PT,capaConvUp,30.9792051
all,photovoltaik,RES_PV_Rooftop,RO,capaConvUp,98.14494607
all,photovoltaik,RES_PV_Rooftop,SE,capaConvUp,26.47795308
all,photovoltaik,RES_PV_Rooftop,SI,capaConvUp,4.766031554
all,photovoltaik,RES_PV_Rooftop,SK,capaConvUp,16.15155138
all,photovoltaik,RES_PV_Rooftop,TR,capaConvUp,42.70702848
all,photovoltaik,RES_PV_Rooftop,UK,capaConvUp,158.2498995
all,photovoltaik,RES_PV_Rooftop,NONEU_Balkan,capaConvUp,73.87
all,RES_Geothermal,,all,capaConvFix,0
all,RES_CSP,,all,capaConvFix,0
