technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DED2,stInflow,d008,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d008,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d008,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d008,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d008,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d008,0.077229545
pumpedHydro,DE,DE23,stInflow,d008,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d008,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d008,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d008,0.131992313
pumpedHydro,DE,DE13,stInflow,d008,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d008,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d009,0.042265624
pumpedHydro,DE,DEA5,stInflow,d009,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d009,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d009,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d009,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d009,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d009,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d009,0.077229545
pumpedHydro,DE,DE23,stInflow,d009,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d009,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d009,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d009,0.131992313
pumpedHydro,DE,DE13,stInflow,d009,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d009,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d010,0.042265624
pumpedHydro,DE,DEA5,stInflow,d010,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d010,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d010,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d010,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d010,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d010,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d010,0.077229545
pumpedHydro,DE,DE23,stInflow,d010,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d010,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d010,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d010,0.131992313
pumpedHydro,DE,DE13,stInflow,d010,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d010,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d011,0.042265624
pumpedHydro,DE,DEA5,stInflow,d011,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d011,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d011,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d011,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d011,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d011,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d011,0.077229545
pumpedHydro,DE,DE23,stInflow,d011,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d011,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d011,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d011,0.131992313
pumpedHydro,DE,DE13,stInflow,d011,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d011,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d012,0.042265624
pumpedHydro,DE,DEA5,stInflow,d012,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d012,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d012,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d012,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d012,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d012,0.6494302639999998
