region_2,technology_1,technology_2,parameter,timestep_2,value
DE11,openspace,openspace_a,avaConv,d103,0.09107749053020377
DE11,openspace,openspace_a,avaConv,d104,0.18696369292369508
DE11,openspace,openspace_a,avaConv,d105,0.10530322957330955
DE11,openspace,openspace_a,avaConv,d106,0.12288873491889206
DE11,openspace,openspace_a,avaConv,d107,0.09746198198639854
DE11,openspace,openspace_a,avaConv,d108,0.18335576826860836
DE11,openspace,openspace_a,avaConv,d109,0.2393569634071758
DE11,openspace,openspace_a,avaConv,d110,0.2487711667497626
DE11,openspace,openspace_a,avaConv,d111,0.2462448775107049
DE11,openspace,openspace_a,avaConv,d112,0.12119990413411334
DE11,openspace,openspace_a,avaConv,d113,0.06720759180204068
DE11,openspace,openspace_a,avaConv,d114,0.142699819087552
DE11,openspace,openspace_a,avaConv,d115,0.1426199489622835
DE11,openspace,openspace_a,avaConv,d116,0.11850723723901178
DE11,openspace,openspace_a,avaConv,d117,0.16322826841151805
DE11,openspace,openspace_a,avaConv,d118,0.16722877225942237
DE11,openspace,openspace_a,avaConv,d119,0.25211948053309347
DE11,openspace,openspace_a,avaConv,d120,0.19021318782338445
DE11,openspace,openspace_a,avaConv,d121,0.13953939750865232
DE11,openspace,openspace_a,avaConv,d122,0.2434612402529259
DE11,openspace,openspace_a,avaConv,d123,0.14468733813142617
DE11,openspace,openspace_a,avaConv,d124,0.25706785765327295
DE11,openspace,openspace_a,avaConv,d125,0.255700702980836
DE11,openspace,openspace_a,avaConv,d126,0.24796834164736073
DE11,openspace,openspace_a,avaConv,d127,0.24466528172600974
DE11,openspace,openspace_a,avaConv,d128,0.24746232623395303
DE11,openspace,openspace_a,avaConv,d129,0.19260518641584848
DE11,openspace,openspace_a,avaConv,d130,0.08536968932517996
DE11,openspace,openspace_a,avaConv,d131,0.15368039939252623
DE11,openspace,openspace_a,avaConv,d132,0.11716533103247752
DE11,openspace,openspace_a,avaConv,d133,0.0952941717745593
DE11,openspace,openspace_a,avaConv,d134,0.17325595351593373
DE11,openspace,openspace_a,avaConv,d135,0.21977922144775872
DE11,openspace,openspace_a,avaConv,d136,0.0827070085009476
DE11,openspace,openspace_a,avaConv,d137,0.23580243089048905
DE11,openspace,openspace_a,avaConv,d138,0.21500576153699966
DE11,openspace,openspace_a,avaConv,d139,0.16637912650544645
DE11,openspace,openspace_a,avaConv,d140,0.23248811866740568
DE11,openspace,openspace_a,avaConv,d141,0.23905258056333203
DE11,openspace,openspace_a,avaConv,d142,0.20233425882337633
DE11,openspace,openspace_a,avaConv,d143,0.1434651250384671
DE11,openspace,openspace_a,avaConv,d144,0.05993744062969104
DE11,openspace,openspace_a,avaConv,d145,0.1878023436230877
DE11,openspace,openspace_a,avaConv,d146,0.23623699255236444
DE11,openspace,openspace_a,avaConv,d147,0.16624734596477594
DE11,openspace,openspace_a,avaConv,d148,0.1483369304375691
DE11,openspace,openspace_a,avaConv,d149,0.10612815375821383
DE11,openspace,openspace_a,avaConv,d150,0.16719042287148655
DE11,openspace,openspace_a,avaConv,d151,0.20781429178669794
DE11,openspace,openspace_a,avaConv,d152,0.17569221280168387
DE11,openspace,openspace_a,avaConv,d153,0.14386331814549566
DE11,openspace,openspace_a,avaConv,d154,0.1508292297562962
DE11,openspace,openspace_a,avaConv,d155,0.1466250360235688
DE11,openspace,openspace_a,avaConv,d156,0.1308911367301867
DE11,openspace,openspace_a,avaConv,d157,0.23530724085732194
DE11,openspace,openspace_a,avaConv,d158,0.21810738751834055
DE11,openspace,openspace_a,avaConv,d159,0.08124613382946018
DE11,openspace,openspace_a,avaConv,d160,0.18842389828560702
DE11,openspace,openspace_a,avaConv,d161,0.25631808326660455
DE11,openspace,openspace_a,avaConv,d162,0.10611390305814979
DE11,openspace,openspace_a,avaConv,d163,0.13111630684061962
DE11,openspace,openspace_a,avaConv,d164,0.15033491283914002
DE11,openspace,openspace_a,avaConv,d165,0.156998111827704
DE11,openspace,openspace_a,avaConv,d166,0.1729518640101464
DE11,openspace,openspace_a,avaConv,d167,0.10347854422919021
DE11,openspace,openspace_a,avaConv,d168,0.1387745986507125
DE11,openspace,openspace_a,avaConv,d169,0.15760322931523832
DE11,openspace,openspace_a,avaConv,d170,0.22337419415824064
DE11,openspace,openspace_a,avaConv,d171,0.24597181782131838
DE11,openspace,openspace_a,avaConv,d172,0.19697045308089403
DE11,openspace,openspace_a,avaConv,d173,0.24553989387103203
DE11,openspace,openspace_a,avaConv,d174,0.2518799662221416
DE11,openspace,openspace_a,avaConv,d175,0.2265482900346484
DE11,openspace,openspace_a,avaConv,d176,0.12791056319915287
DE11,openspace,openspace_a,avaConv,d177,0.2214434880123524
DE11,openspace,openspace_a,avaConv,d178,0.24539187776501017
DE11,openspace,openspace_a,avaConv,d179,0.18976821256947798
DE11,openspace,openspace_a,avaConv,d180,0.21417483156107656
DE11,openspace,openspace_a,avaConv,d181,0.1815018622582064
DE11,openspace,openspace_a,avaConv,d182,0.2483279822724551
DE11,openspace,openspace_a,avaConv,d183,0.1153086171267661
DE11,openspace,openspace_a,avaConv,d184,0.20768313982074268
DE11,openspace,openspace_a,avaConv,d185,0.23696968245653074
DE11,openspace,openspace_a,avaConv,d186,0.22387449261682488
DE11,openspace,openspace_a,avaConv,d187,0.2401922518988854
DE11,openspace,openspace_a,avaConv,d188,0.24368630809190064
DE11,openspace,openspace_a,avaConv,d189,0.20327577699376778
DE11,openspace,openspace_a,avaConv,d190,0.2487760970622873
DE11,openspace,openspace_a,avaConv,d191,0.2356014631299519
DE11,openspace,openspace_a,avaConv,d192,0.15574204069402872
DE11,openspace,openspace_a,avaConv,d193,0.12798815030074687
DE11,openspace,openspace_a,avaConv,d194,0.16291022682800974
DE11,openspace,openspace_a,avaConv,d195,0.18893825552466556
DE11,openspace,openspace_a,avaConv,d196,0.25041843879356857
DE11,openspace,openspace_a,avaConv,d197,0.23350891895078607
DE11,openspace,openspace_a,avaConv,d198,0.22149025265001332
DE11,openspace,openspace_a,avaConv,d199,0.22533778849108035
DE11,openspace,openspace_a,avaConv,d200,0.24487780840166465
DE11,openspace,openspace_a,avaConv,d201,0.24105506072644414
DE11,openspace,openspace_a,avaConv,d202,0.11751174071414784
DE11,openspace,openspace_a,avaConv,d203,0.13730253406634246
DE11,openspace,openspace_a,avaConv,d204,0.12348744605835134
DE11,openspace,openspace_a,avaConv,d205,0.19354261152416474
DE11,openspace,openspace_a,avaConv,d206,0.19388829455637432
DE11,openspace,openspace_a,avaConv,d207,0.21191458622823375
DE11,openspace,openspace_a,avaConv,d208,0.18460700399420812
DE11,openspace,openspace_a,avaConv,d209,0.174720526269485
DE11,openspace,openspace_a,avaConv,d210,0.2147413136407186
DE11,openspace,openspace_a,avaConv,d211,0.23006721897412372
DE11,openspace,openspace_a,avaConv,d212,0.1709834324598873
DE11,openspace,openspace_a,avaConv,d213,0.23045654728451678
DE11,openspace,openspace_a,avaConv,d214,0.09067749635653939
DE11,openspace,openspace_a,avaConv,d215,0.1752655903452817
DE11,openspace,openspace_a,avaConv,d216,0.16602740589445728
DE11,openspace,openspace_a,avaConv,d217,0.08360011784076539
DE11,openspace,openspace_a,avaConv,d218,0.17627407498469624
DE11,openspace,openspace_a,avaConv,d219,0.23711172523296278
DE11,openspace,openspace_a,avaConv,d220,0.21780049350433361
DE11,openspace,openspace_a,avaConv,d221,0.16327272924436628
DE11,openspace,openspace_a,avaConv,d222,0.19688783465871118
DE11,openspace,openspace_a,avaConv,d223,0.2130869238350737
